,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),X(1),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H_X(19),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],NO2(8) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NO2(8) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],H2OX(9) ROP [kmol/m^2 s],NOX(10) ROP [kmol/m^2 s],OX(11) ROP [kmol/m^2 s],NX(12) ROP [kmol/m^2 s],OHX(13) ROP [kmol/m^2 s],NH3X(14) ROP [kmol/m^2 s],NH2X(15) ROP [kmol/m^2 s],NHX(16) ROP [kmol/m^2 s],N2OX(17) ROP [kmol/m^2 s],NO2X(18) ROP [kmol/m^2 s],H_X(19) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(11) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X(14) ROP [kmol/m^2 s],NH3X(14) + OX(11) <=> NH2X(15) + OHX(13) ROP [kmol/m^2 s],NH2X(15) + OX(11) <=> NHX(16) + OHX(13) ROP [kmol/m^2 s],NHX(16) + OX(11) <=> NX(12) + OHX(13) ROP [kmol/m^2 s],NH3X(14) + OHX(13) <=> H2OX(9) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + OHX(13) <=> H2OX(9) + NHX(16) ROP [kmol/m^2 s],NHX(16) + OHX(13) <=> H2OX(9) + NX(12) ROP [kmol/m^2 s],2 OHX(13) <=> H2OX(9) + OX(11) ROP [kmol/m^2 s],H2OX(9) <=> H2O(3) + X(1) ROP [kmol/m^2 s],2 NX(12) <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX(12) + OX(11) <=> NOX(10) + X(1) ROP [kmol/m^2 s],NOX(10) <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX(10) + NX(12) <=> N2OX(17) + X(1) ROP [kmol/m^2 s],N2OX(17) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X(14) + X(1) <=> H_X(19) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + X(1) <=> H_X(19) + NHX(16) ROP [kmol/m^2 s],NHX(16) + X(1) <=> H_X(19) + NX(12) ROP [kmol/m^2 s],H_X(19) + OX(11) <=> OHX(13) + X(1) ROP [kmol/m^2 s],H_X(19) + OHX(13) <=> H2OX(9) + X(1) ROP [kmol/m^2 s],NO2(8) + X(1) <=> NO2X(18) ROP [kmol/m^2 s],NO2X(18) <=> NO(5) + OX(11) ROP [kmol/m^2 s],NOX(10) + OX(11) <=> NO2X(18) + X(1) ROP [kmol/m^2 s],H_X(19) + NOX(10) <=> NX(12) + OHX(13) ROP [kmol/m^2 s],H_X(19) + NO2X(18) <=> NOX(10) + OHX(13) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX(11) Coverage,NOX(10) Coverage,NX(12) Coverage,X Coverage
999,1000.0,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1000.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289912571863728,0.0,0.0,0.019952598018033164,0.050056154313338326,2.9684494948421157e-12,3.769683306375506e-05,0.0009622406803063486,1.037818186852354e-10,5.2862135143433774e-08,0.0037021678985273906,6.629896705100999e-07,0.00019386230413230137,0.996060943899062,3.745257576422685e-05,1.1404326386635056e-06,2.0483637487960937e-09,1.1414207250523292e-08,2.304246379160972e-06,1.6861220861527223e-15,1.2399346714468201e-06,2.1225658145587105e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.754857104527617e-08,8.101300163118965e-08,4.246950735386567e-15,5.393273262107331e-08,-5.4008667754133584e-08,1.4848029988412079e-13,7.5629679437603e-11,-6.167458647195373e-21,-1.7205356741102973e-22,-7.080666043453917e-22,8.842911782964318e-19,4.0053207083133697e-22,1.4635280728506573e-21,6.95448949609047e-21,2.522383880403889e-22,-2.1423977865123417e-22,-2.0194839173657902e-28,-8.852586177216009e-19,-8.205631676526035e-22,6.754857104527617e-08,5.4008667754133584e-08,5.39948082974303e-08,5.175408632643131e-08,5.0311089997172414e-08,1.3428003873522009e-11,1.9551621251086427e-09,1.4970768868181465e-09,7.753559816093214e-08,8.101300163118965e-08,4.246950735386567e-15,8.965671087111857e-10,2.9926871233180404e-08,1.484802998841206e-13,1.4848029988412079e-13,4.314528228016469e-13,2.994193025864143e-10,2.2005008701360244e-09,7.951532914446447e-08,1.1736454457026644e-11,-7.5629679437603e-11,2.4005861387892897e-08,1.6672076428345858e-10,-5.3111943671213635e-08,-2.3914770302161784e-08,3.7759319693651383,1.574897646016328e-05,99.99943364121113,0.0005506098123975895,0.9960664952988857,0.00019386338459546738,3.745278450067392e-05,0.0037021885320180875
999,1004.3478260869563,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1004.3478260869563,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928991084137356,0.0,0.0,0.019951651982906743,0.050057273578213615,2.8335845787332567e-12,3.8445580622124966e-05,0.0009614881082980912,9.837403688460093e-11,5.651139581759143e-08,0.003744090630825626,6.688133167205901e-07,0.0001802223073412745,0.9960355803427708,3.4659423951073996e-05,1.158044316685795e-06,2.006034915010703e-09,1.1142196415742267e-08,2.19446999731116e-06,1.588658701251775e-15,1.2048515643479255e-06,2.079676834264845e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.889674311498874e-08,8.262767064114356e-08,4.054000707441799e-15,5.5003973485766753e-08,-5.508511376072136e-08,1.4074343081806006e-13,8.085067950409795e-11,4.118697706024035e-20,-2.117582368135751e-22,-6.551270451419979e-22,-6.291220376469793e-19,1.0245885481110953e-21,1.632095203226747e-21,-4.107681572716098e-20,6.881108720675499e-23,-1.6957202557337067e-22,2.776790386377961e-28,6.282602188462756e-19,-9.661469554619363e-22,6.889674311498874e-08,5.508511376072136e-08,5.507098664643166e-08,5.283014052712134e-08,5.135308370708432e-08,1.3663998920719631e-11,1.9458460922789173e-09,1.4831112915854358e-09,7.917305073394625e-08,8.262767064114356e-08,4.054000707441799e-15,9.149631153957488e-10,3.1223623129521037e-08,1.4074343081806036e-13,1.4074343081806006e-13,4.631154100496485e-13,3.09127141362113e-10,2.248918762092793e-09,8.041164135114684e-08,1.1998524412009664e-11,-8.085067950409795e-11,2.378035035624572e-08,1.660719736186569e-10,-5.4170001793933535e-08,-2.3695129062759417e-08,3.851189170190879,1.4740678196157666e-05,99.99947350469431,0.0005117546274976784,0.9960410060720738,0.00018022328907071598,3.46596127522131e-05,0.0037441110261033144
999,1005.5276381909547,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1005.5276381909547,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289910370435148,0.0,0.0,0.019951394428851132,0.0500575782753769,2.799858706652164e-12,3.864937878292e-05,0.0009612832363945918,9.698115710851923e-11,5.753729868580796e-08,0.0037554786121127143,6.703814372615092e-07,0.00017668999856605444,0.9960284652498114,3.395176162998432e-05,1.1628597700692736e-06,1.99476605377362e-09,1.1069639522355891e-08,2.1656997852836237e-06,1.5636194646777484e-15,1.1955328703770167e-06,2.0683960972791664e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.926377789059903e-08,8.306723046216169e-08,4.005749409457839e-15,5.529554968877361e-08,-5.5378153641411445e-08,1.3875064905703615e-13,8.231843974298383e-11,2.8984408663858084e-20,2.2499312661442353e-22,4.566036981292713e-22,-1.2647103012386504e-19,-4.656730489408671e-22,-1.3862173817324935e-21,-2.9515431253110053e-20,-1.5426918424113966e-22,1.282129949457193e-22,-5.048709793414476e-29,1.2746853239442154e-19,6.716706573930585e-22,6.926377789059903e-08,5.5378153641411445e-08,5.536395312538049e-08,5.312304167401276e-08,5.1636696885676215e-08,1.3728635977205116e-11,1.943319764521397e-09,1.4793498796087981e-09,7.961876163437552e-08,8.306723046216169e-08,4.005749409457839e-15,9.204230399826962e-10,3.157949830746884e-08,1.3875064905703615e-13,1.3875064905703615e-13,4.718800832512896e-13,3.117922029069708e-10,2.262106876155976e-09,8.065237571923394e-08,1.2070547678969642e-11,-8.231843974298383e-11,2.371605138130477e-08,1.658783527187423e-10,-5.4457583839310885e-08,-2.363249146845648e-08,3.8716763605408233,1.4488430800821202e-05,99.99948366310791,0.0005018484612855446,0.9960338581535007,0.00017669095523765408,3.395194545864679e-05,0.0037554989458031345
999,1008.695652173913,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1008.695652173913,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289909102761392,0.0,0.0,0.01995070093122337,0.050058398673161184,2.715048659583388e-12,3.9198034198008174e-05,0.0009607316195582588,9.339117378441872e-11,6.03696137848395e-08,0.0037860954631224538,6.745689169369048e-07,0.0001675453576348022,0.9960088805162493,3.215004500013773e-05,1.1758706475773908e-06,1.964961503109164e-09,1.08774550050633e-08,2.090521112186343e-06,1.4992045419828616e-15,1.1709296990836383e-06,2.0388519967527516e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.025206790587595e-08,8.425074393531912e-08,3.8844124608916825e-15,5.6080516989922617e-08,-5.616716262354784e-08,1.3361448897242454e-13,8.637063620107862e-11,-1.1117307432712692e-21,3.705769144237564e-22,-1.3896634290890863e-22,3.8031743142566286e-19,-2.658378704189687e-22,-1.1006138882029538e-21,1.5828393846370204e-21,2.7700210762869514e-22,5.542110104105284e-23,5.048709793414476e-29,-3.802251490885749e-19,2.448454613156962e-22,7.025206790587595e-08,5.616716262354784e-08,5.6152763277967216e-08,5.3911593839521895e-08,5.2400205704322926e-08,1.3903556021258034e-11,1.93655313092001e-09,1.4693188568505464e-09,8.081870239364773e-08,8.425074393531912e-08,3.8844124608916825e-15,9.361297254209436e-10,3.2543266016797717e-08,1.3361448897242462e-13,1.3361448897242454e-13,4.957895577747229e-13,3.190156531040746e-10,2.2976380623724508e-09,8.129407431941277e-08,1.2265997879970435e-11,-8.637063620107862e-11,2.353725097312491e-08,1.6532231149843657e-10,-5.523089151481136e-08,-2.3458299297447322e-08,3.9268380441741226,1.3852915849483265e-05,99.99950963994422,0.00047650713991938276,0.9960141878953724,0.00016754625042476694,3.2150216316358884e-05,0.0037861156378863666
999,1013.0434782608696,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1013.0434782608696,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289907354918421,0.0,0.0,0.01994974423530996,0.050059530336823366,2.6116175193474398e-12,3.9954680735713015e-05,0.0009599707175607806,8.880392978739357e-11,6.444631249995793e-08,0.0038282378179852147,6.802671355179698e-07,0.00015576503048126306,0.9959808859218884,2.989424633467633e-05,1.1939269632638658e-06,1.9251251914971413e-09,1.061995493496906e-08,1.992093683720266e-06,1.417145592454981e-15,1.1381446491939352e-06,2.0000579711957946e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.161544002920353e-08,8.58832868447558e-08,3.7364345232248064e-15,5.71630598263219e-08,-5.7255524563243545e-08,1.2705155582607618e-13,9.220317490491464e-11,-6.953611101365772e-20,-5.293955920339377e-23,-4.182225177068108e-21,1.4033107252939594e-17,1.8789220307008686e-22,6.839297325650358e-22,7.288645442156156e-20,1.5251142543946448e-23,2.1920286232655233e-23,-5.806016262426647e-28,-1.4032910642447748e-17,-2.514629062161204e-22,7.161544002920353e-08,5.7255524563243545e-08,5.7240847964197625e-08,5.499909002666546e-08,5.34530655351463e-08,1.4147081275546985e-11,1.927339558107927e-09,1.4557383595252613e-09,8.2473522392743e-08,8.58832868447558e-08,3.7364345232248064e-15,9.603071600907208e-10,3.388478279051683e-08,1.270515558260756e-13,1.2705155582607618e-13,5.295176974930803e-13,3.2909497839725035e-10,2.346720668499054e-09,8.216489271748171e-08,1.2539453104010565e-11,-9.220317490491464e-11,2.3278277035805066e-08,1.6447606934023346e-10,-5.6295082878654826e-08,-2.320600412733684e-08,4.0029282439219385,1.3072839126784186e-05,99.99954240590945,0.0004445212514224494,0.9959860819646553,0.0001557658431090669,2.9894402293274165e-05,0.0038282577899422126
999,1017.3913043478259,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1017.3913043478259,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289905596525048,0.0,0.0,0.019948781152583167,0.05006066944385716,2.5222077187253862e-12,4.071609827523648e-05,0.0009592048143241414,8.458483697468366e-11,6.87513485400537e-08,0.003870580356279117,6.85919741543434e-07,0.00014481974993856578,0.9959516226496148,2.7865140822813014e-05,1.2122298080286673e-06,1.8865095066045746e-09,1.0369667116161007e-08,1.8988985694604428e-06,1.3419120138079481e-15,1.1064727300431628e-06,1.9632631758362838e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.298791785163793e-08,8.752656092282362e-08,3.608516832563889e-15,5.825242899072149e-08,-5.835104061528537e-08,1.210153334068668e-13,9.836239760467468e-11,-6.262749853761482e-20,-1.1911400820763599e-22,-6.213780761498343e-21,2.0804349482764285e-17,-5.362923820472316e-23,-4.269302092410653e-22,6.983724716578929e-20,-7.553192968374834e-23,5.211237859084074e-23,-2.5243548967072382e-28,-2.080481332429277e-17,8.271806125530276e-23,7.298791785163793e-08,5.835104061528537e-08,5.833608124042914e-08,5.6093400392923986e-08,5.4512392052838496e-08,1.4395026385828076e-11,1.9182629970866088e-09,1.4424088217177418e-09,8.413867455345304e-08,8.752656092282362e-08,3.608516832563889e-15,9.877463482759677e-10,3.524725537026344e-08,1.2101533340686656e-13,1.210153334068668e-13,5.643484005660612e-13,3.393772252050187e-10,2.396239740659315e-09,8.302652562087525e-08,1.2819524180301152e-11,-9.836239760467468e-11,2.300517362045804e-08,1.6353820103975247e-10,-5.736316603457258e-08,-2.2939997796218158e-08,4.079518567585863,1.2389187730715545e-05,99.99957212662488,0.000415484187393287,0.9959567140832641,0.00014482049027587853,2.786528327302084e-05,0.0038706001431870556
999,1018.5929648241206,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1018.5929648241206,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289905108474218,0.0,0.0,0.019948513734306183,0.05006098571862512,2.499838986401085e-12,4.092747007799053e-05,0.0009589921607746556,8.348020659430431e-11,6.998281419671251e-08,0.0038823276317108955,6.874756798740196e-07,0.00014193420966428515,0.9959433128409441,2.734104617891712e-05,1.217334226486161e-06,1.876050135800467e-09,1.0301760313554885e-08,1.8740271009113113e-06,1.3222509894664282e-15,1.0979124423461209e-06,1.9534424058558773e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.336901318897839e-08,8.798281722477697e-08,3.576514126113323e-15,5.855484120258503e-08,-5.865521148318594e-08,1.1943494751445038e-13,1.0012425797074328e-10,-1.2970192004831474e-21,-4.632211430296955e-22,-2.779326858178173e-22,2.936888221257273e-19,3.2339679713494507e-22,1.5921352710570467e-21,1.2137198307822307e-21,-1.871496135901225e-23,2.3574647457761286e-23,1.0097419586828951e-28,-2.943803451178217e-19,-4.433688083284227e-22,7.336901318897839e-08,5.865521148318594e-08,5.864017290698843e-08,5.6397168326421285e-08,5.4806423121786e-08,1.4464399490334656e-11,1.9157864516217246e-09,1.4387743155730135e-09,8.460089386878057e-08,8.798281722477697e-08,3.576514126113323e-15,9.959401597718562e-10,3.5627404778200114e-08,1.1943494751445045e-13,1.1943494751445038e-13,5.741767059584548e-13,3.422567051417488e-10,2.410014045825709e-09,8.326338859559345e-08,1.2898189310842755e-11,-1.0012425797074328e-10,2.2927436424384918e-08,1.6326356026760766e-10,-5.765914473543677e-08,-2.2864297121793674e-08,4.100783922534441,1.2215895477499309e-05,99.99957984363967,0.00040794046486338767,0.995948376512892,0.00014193493130001147,2.73411851889258e-05,0.003882347370618992
999,1021.7391304347825,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1021.7391304347825,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289903826028628,0.0,0.0,0.01994781081350756,0.05006181701920229,2.4458655297172497e-12,4.1482965536621915e-05,0.0009584332208170284,8.070815381883945e-11,7.32949194340406e-08,0.003913193781845426,6.915397097721296e-07,0.00013465234537973542,0.9959211013893386,2.603877338313457e-05,1.2307970703124284e-06,1.849099914517676e-09,1.0126562487296865e-08,1.8106627021222507e-06,1.2729751095166804e-15,1.0758910778274454e-06,1.9284382904623703e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.437074065562189e-08,8.918204453083185e-08,3.499294903704481e-15,5.934959551889808e-08,-5.9454696353872585e-08,1.154689936606171e-13,1.048628941068762e-10,1.3234889800848444e-20,-1.0587911840678754e-22,8.271806125530278e-22,-4.3033978827240235e-18,2.760813744236701e-22,-4.584777792045867e-22,-1.4968550403860288e-20,-2.6051019416591915e-22,-1.397935235214617e-22,1.2621774483536191e-28,4.3047769479015135e-18,2.580803511165446e-22,7.437074065562189e-08,5.9454696353872585e-08,5.943944812243239e-08,5.71954369230159e-08,5.557904563707732e-08,1.4647894205384663e-11,1.9093826965157187e-09,1.4293697475788034e-09,8.581553728463651e-08,8.918204453083185e-08,3.499294903704481e-15,1.0187093214305894e-09,3.662989010277236e-08,1.154689936606172e-13,1.154689936606171e-13,6.003372497794649e-13,3.498767343561863e-10,2.446280969231837e-09,8.388156974469416e-08,1.3106907895345706e-11,-1.048628941068762e-10,2.271970541612571e-08,1.625142676590273e-10,-5.843586456487361e-08,-2.2662054046878336e-08,4.156677918297166,1.1792096792755734e-05,99.9995990947855,0.00038911311772169677,0.9959260946740117,0.00013465302049093793,2.6038903934649e-05,0.003913213401562797
999,1026.086956521739,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1026.086956521739,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289902041618984,0.0,0.0,0.01994683220832109,0.05006297425380976,2.3817571990803736e-12,4.2256072484104544e-05,0.0009576551363821383,7.714977904611905e-11,7.808757326604428e-08,0.003956157722279503,6.97141331442749e-07,0.00012520966344572822,0.995889317266766,2.439379285155709e-05,1.2496481290750423e-06,1.8128839123339754e-09,9.890613006069704e-09,1.7271282979349757e-06,1.2098447053876876e-15,1.0463777222767438e-06,1.895556783962172e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.576534755694525e-08,9.085145553078737e-08,3.4075758982802702e-15,6.045568969576268e-08,-6.056763702058345e-08,1.10378055217689e-13,1.1171975578352714e-10,-5.884232005457218e-20,-1.1911400820763599e-22,-9.59529510561512e-22,2.2829120428412785e-18,1.3750784638023809e-22,1.1572482951815602e-21,5.829527296141011e-20,1.576813042679209e-23,-5.211237859084074e-23,-2.1457016622011517e-28,-2.2824163031604174e-18,-1.621274000603934e-22,7.576534755694525e-08,6.056763702058345e-08,6.055209322773173e-08,5.830626676450493e-08,5.6654031657271275e-08,1.4906244952255872e-11,1.9007598783458537e-09,1.4166613744175407e-09,8.750572566134597e-08,9.085145553078737e-08,3.4075758982802702e-15,1.0534697298070574e-09,3.80320436382555e-08,1.103780552176888e-13,1.10378055217689e-13,6.375478411675187e-13,3.6061037767437307e-10,2.4969439888363898e-09,8.473279507047738e-08,1.3402371725621555e-11,-1.1171975578352714e-10,2.2423646057507187e-08,1.6141038066838838e-10,-5.951405009751099e-08,-2.2373955430339908e-08,4.234486361786173,1.127292762172314e-05,99.99962357487485,0.00036515219752655587,0.9958942186145956,0.00012521027967496328,2.4393912907532767e-05,0.003956177192821791
999,1030.4347826086957,101325.0,0.00035,0.001,0.02,0.05,0.929,0.05,1030.4347826086957,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289900241201507,0.0,0.0,0.01994584417249632,0.05006414252186838,2.3291603830272337e-12,4.303633189718034e-05,0.0009568696371525289,7.388718017341926e-11,8.314021852562243e-08,0.003999561686567105,7.027403346180654e-07,0.000116442227382516,0.995856249515734,2.2911163030226365e-05,1.2688040149393377e-06,1.7778511175311354e-09,9.661792587660602e-09,1.648052093804287e-06,1.152066856964071e-15,1.0179116523203442e-06,1.8645954545159906e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.71733982219804e-08,9.253677613754442e-08,3.332326370494845e-15,6.157201741751307e-08,-6.169118409165338e-08,1.0571028115005913e-13,1.1894858965511874e-10,4.454863906965586e-20,-3.9704669402545333e-22,-9.661469554619363e-22,6.851167884428375e-19,9.140116178633098e-22,1.8546019412421102e-21,-4.274132182972593e-20,-7.96161339582289e-23,-1.1291015361348828e-22,-2.9030081312133234e-28,-6.868643108844325e-19,-1.3102540902839958e-21,7.71733982219804e-08,6.169118409165338e-08,6.167533733563242e-08,5.942712808741636e-08,5.773851520550746e-08,1.5170703130360268e-11,1.892458112350117e-09,1.4043249361918187e-09,8.921111562276141e-08,9.253677613754442e-08,3.332326370494845e-15,1.0923134914033206e-09,3.945324923226732e-08,1.0571028115005883e-13,1.0571028115005913e-13,6.760529333343305e-13,3.7159789192972665e-10,2.548343949997029e-09,8.55831529865999e-08,1.3706763110332206e-11,-1.1894858965511874e-10,2.2118768185245755e-08,1.6023314472335598e-10,-6.059875822535819e-08,-2.2077483629490648e-08,4.313036284747109,1.0824120135599746e-05,99.9996458059168,0.00034336996305867556,0.9958610649095833,0.00011644279043083326,2.2911273815566708e-05,0.0039995810261703405
