,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),X(1),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H_X(19),N2X2(45),N2X(46),NOX2(52),O2X2(70),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],NO2(8) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NO2(8) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],H2OX(9) ROP [kmol/m^2 s],NOX(10) ROP [kmol/m^2 s],OX(11) ROP [kmol/m^2 s],NX(12) ROP [kmol/m^2 s],OHX(13) ROP [kmol/m^2 s],NH3X(14) ROP [kmol/m^2 s],NH2X(15) ROP [kmol/m^2 s],NHX(16) ROP [kmol/m^2 s],N2OX(17) ROP [kmol/m^2 s],NO2X(18) ROP [kmol/m^2 s],H_X(19) ROP [kmol/m^2 s],N2X2(45) ROP [kmol/m^2 s],N2X(46) ROP [kmol/m^2 s],NOX2(52) ROP [kmol/m^2 s],O2X2(70) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(11) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X(14) ROP [kmol/m^2 s],NH3X(14) + OX(11) <=> NH2X(15) + OHX(13) ROP [kmol/m^2 s],NH2X(15) + OX(11) <=> NHX(16) + OHX(13) ROP [kmol/m^2 s],NHX(16) + OX(11) <=> NX(12) + OHX(13) ROP [kmol/m^2 s],NH3X(14) + OHX(13) <=> H2OX(9) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + OHX(13) <=> H2OX(9) + NHX(16) ROP [kmol/m^2 s],NHX(16) + OHX(13) <=> H2OX(9) + NX(12) ROP [kmol/m^2 s],2 OHX(13) <=> H2OX(9) + OX(11) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(9) ROP [kmol/m^2 s],2 NX(12) <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX(12) + OX(11) <=> NOX(10) + X(1) ROP [kmol/m^2 s],NOX(10) <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX(10) + NX(12) <=> N2OX(17) + X(1) ROP [kmol/m^2 s],N2OX(17) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X(14) + X(1) <=> H_X(19) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + X(1) <=> H_X(19) + NHX(16) ROP [kmol/m^2 s],NHX(16) + X(1) <=> H_X(19) + NX(12) ROP [kmol/m^2 s],H_X(19) + OX(11) <=> OHX(13) + X(1) ROP [kmol/m^2 s],H_X(19) + OHX(13) <=> H2OX(9) + X(1) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX(11) Coverage,NOX(10) Coverage,NX(12) Coverage,X Coverage
999,1004.3478260869563,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1004.3478260869563,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287691682497204,0.0,0.0,0.018752673197130167,0.051478416864022165,9.711029337666661e-09,0.0009938740129452606,5.8578386680908825e-06,1.2648461097116595e-10,0.0,0.002821033330267094,3.348023259911534e-08,0.00030465410492130354,0.9967968558366628,2.1162958934684768e-06,7.506881270800428e-05,8.475549269207863e-12,1.2139457845445358e-11,8.576383054144332e-10,1.4463060214335481e-18,0.0,2.3726106142989673e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.482939141821528e-10,1.0179607048724463e-09,6.630787174752468e-15,6.786270362118886e-10,-6.786404699639935e-10,8.636494730493005e-17,0.0,1.4184246230646468e-17,9.097534648367362e-19,1.4547130279357164e-17,-1.454335322605202e-17,-1.4541856347804167e-17,1.4926861894431519e-21,-5.590271332312811e-19,1.5550737207191293e-21,5.934712923770574e-23,-8.486830626327993e-26,0.0,-2.132575016738274e-25,0.0,0.0,0.0,0.0,8.482939141821528e-10,6.786404699639935e-10,6.784569786093919e-10,6.785839767667913e-10,6.076859487527865e-10,1.8166456039665624e-13,5.6401018750845526e-14,7.081607901808523e-11,9.055718161193306e-10,-1.0179607048724463e-09,6.630787174752468e-15,6.78627137123966e-10,6.786270362118886e-10,8.636494722006176e-17,8.636494730493005e-17,1.8273532321284053e-15,9.273592349195547e-17,1.3844275053458139e-13,-4.119438222594617e-11,4.1334745065636575e-11,99.41421613319092,0.0019541384467417614,99.9980204092111,2.5452342162631747e-05,0.9968719606010777,0.00030467705942265874,2.116455348129254e-06,0.002821245884151505
999,1008.695652173913,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1008.695652173913,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928769062238803,0.0,0.0,0.01875209952925212,0.05147909581302722,8.874780382116247e-09,0.0009943321371865242,5.401288120602185e-06,1.188302114196077e-10,0.0,0.0028711079459884125,3.377711595134967e-08,0.00027979047246264586,0.9967729203696238,1.9616073834142857e-06,7.394712292681838e-05,7.641851109309667e-12,1.1504942924673395e-11,7.665154081912603e-10,1.3599585292178723e-18,0.0,2.3791883671508574e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.486841588224232e-10,1.0184283114845147e-09,6.0597887827462725e-15,6.789399254924057e-10,-6.789522076093223e-10,8.113845650533974e-17,0.0,-4.981017778178928e-18,-4.680105833998629e-19,-5.189109999874982e-18,5.188410672707331e-18,5.184211751163121e-18,-1.8205599047438586e-21,2.6445235318284407e-19,5.384210007293148e-22,2.345659145717796e-21,2.2073770264426267e-26,0.0,4.52364397489937e-26,0.0,0.0,0.0,0.0,8.486841588224232e-10,6.789522076093223e-10,6.787831574123475e-10,6.788974249577869e-10,6.15125072192366e-10,1.6732181609151676e-13,5.4685593738517774e-14,6.369592453084858e-11,9.117020509454487e-10,-1.0184283114845147e-09,6.0597887827462725e-15,6.789400014417524e-10,6.789399254924057e-10,8.11384565274135e-17,8.113845650533974e-17,1.7281164311165025e-15,9.679280615498648e-17,1.3121061877148454e-13,-4.2675292602368216e-11,4.280832813037694e-11,99.45987118793978,0.0017850413378655556,99.99819105758172,2.3901080408119267e-05,0.9968469059527723,0.0002798112399422207,1.9617529839449625e-06,0.002871321054301575
999,1009.0909090909092,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1009.0909090909092,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287690528900964,0.0,0.0,0.018752048946213903,0.0514791556871682,8.807733101265305e-09,0.0009943725240542157,5.361026523632122e-06,1.1821053471523705e-10,0.0,0.002876095525266723,3.3808995281087517e-08,0.0002776816971093472,0.9967701573958514,1.9487312483983587e-06,7.384405820405561e-05,7.570362001468291e-12,1.1449216664024233e-11,7.589541610972325e-10,1.3531663549562484e-18,0.0,2.3800535104517912e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.487185685444426e-10,1.0184695477588926e-09,6.014008289618284e-15,6.789675088816022e-10,-6.789796983813662e-10,8.071533588621848e-17,0.0,4.9673667131323884e-17,-2.6641731710235907e-19,4.9459233505731325e-17,-4.94711989341205e-17,-4.94525697950847e-17,1.143723892166318e-20,4.881296156122156e-20,4.2366992770192825e-21,-7.200244078578666e-21,4.0165099508360705e-27,0.0,-7.94868869875175e-25,0.0,0.0,0.0,0.0,8.487185685444426e-10,6.789796983813662e-10,6.788119078550528e-10,6.789250698335899e-10,6.157472137456862e-10,1.6607092986603033e-13,5.4531312183899784e-14,6.310186220708297e-11,9.121994003369743e-10,-1.0184695477588926e-09,6.014008289618284e-15,6.789676390561716e-10,6.789675088816022e-10,8.071533589023499e-17,8.071533588621848e-17,1.7195476344105092e-15,9.718254288756743e-17,1.3062238274777813e-13,-4.281524359344234e-11,4.2947682706368206e-11,99.46389734763677,0.0017714839793944747,99.99820474054216,2.3775478437685268e-05,0.9968440401372013,0.0002777022794721446,1.9488756925369774e-06,0.0028763087076340062
999,1013.0434782608696,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1013.0434782608696,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287689620277868,0.0,0.0,0.018751557371517364,0.0514797376196514,8.210952546320309e-09,0.0009947649439211957,4.969713509061691e-06,1.126615966857013e-10,0.0,0.00293021395914296,3.4174788286464927e-08,0.0002578691479342636,0.9967370072823984,1.8299308788862263e-06,7.280566824403871e-05,6.8922834415183474e-12,1.0909043587229922e-11,6.89273342829924e-10,1.2942478118773169e-18,0.0,2.391295386286578e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.490529680631755e-10,1.0188703318468845e-09,5.606521103984639e-15,6.792355235425111e-10,-6.792468904045997e-10,7.692647300828566e-17,0.0,-5.4496599527505666e-17,3.810135672421419e-18,-5.071918263021843e-17,5.072319714955483e-17,5.071841305211309e-17,-3.667007977721212e-21,-3.0863560516167484e-20,-2.5499330735431197e-21,1.1175675566634357e-21,-1.5179409449682438e-28,0.0,-1.357093192469811e-25,0.0,0.0,0.0,0.0,8.490529680631755e-10,6.792468904045997e-10,6.790912189972069e-10,6.791937841285819e-10,6.215182152116587e-10,1.5403357262402272e-13,5.300502145456463e-14,5.760333229025472e-11,9.166634296529732e-10,-1.0188703318468845e-09,5.606521103984639e-15,6.792355497498015e-10,6.792355235425111e-10,7.692647300813385e-17,7.692647300828566e-17,1.6378656324175793e-15,1.012879768284055e-16,1.2534293498222976e-13,-4.4269453031121747e-11,4.439653511971336e-11,99.50302864909382,0.001650805085135433,99.99832654439585,2.2650519006047698e-05,0.9968098538271836,0.0002578879943062719,1.8300646194223441e-06,0.002930428113890747
999,1017.3913043478259,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1017.3913043478259,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287688675458752,0.0,0.0,0.01875104631626692,0.051480342736874185,7.694145109704742e-09,0.0009951727887809333,4.562810230681992e-06,1.0782694894958185e-10,0.0,0.0029991931367510877,3.4680433367190754e-08,0.00023853496998139175,0.9966886258846924,1.7184478942559029e-06,7.165130219654052e-05,6.21853939562295e-12,1.0349066968966671e-11,6.237919818630193e-10,1.2471658913084255e-18,0.0,2.409376913446125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.494006192894285e-10,1.0192871221606265e-09,5.2536403088982105e-15,6.795140734725766e-10,-6.795247488969918e-10,7.362533596132289e-17,0.0,9.028685691798187e-18,-3.0472018400645564e-17,-7.578675627932179e-19,5.5098995618055e-19,5.450805581279797e-19,-7.839022644103117e-22,2.1104040792026555e-17,5.458043794513894e-22,1.3292913612762195e-21,-1.6187391632249106e-24,0.0,4.52364397489937e-26,0.0,0.0,0.0,0.0,8.494006192894285e-10,6.795247488969918e-10,6.793814226740013e-10,6.794732586672859e-10,6.270080708946182e-10,1.4174902455033709e-13,5.136284806367629e-14,5.239591534897928e-11,9.205792808067553e-10,-1.0192871221606265e-09,5.2536403088982105e-15,6.795141463400434e-10,6.795140734725766e-10,7.362533434258371e-17,7.362533596132289e-17,1.5560943993217944e-15,1.0627705580184257e-16,1.207415474783975e-13,-4.599637974132618e-11,4.6118783660259656e-11,99.54371897693179,0.0015462690590616207,99.99843206128482,2.166965613675327e-05,0.9967603204231239,0.00023855212845408667,1.7185715069122506e-06,0.0029994088769150886
999,1021.7391304347825,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1021.7391304347825,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287687787203808,0.0,0.0,0.01875056595104536,0.05148091162986891,7.304433671262619e-09,0.0009955560245846992,4.180265483600899e-06,1.0420299735089964e-10,0.0,0.0030789036339913343,3.5301191212400034e-08,0.00022147394128719904,0.9966272288084784,1.624725178625627e-06,7.048962309542843e-05,5.613012284171239e-12,9.8225355243429e-12,5.682698903263343e-10,1.2172395825594835e-18,0.0,2.433830724013619e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.497273930546511e-10,1.0196788940416762e-09,4.987541869676891e-15,6.797758155428079e-10,-6.797859320215417e-10,7.115087006592454e-17,0.0,6.658505236132679e-17,5.364777308466228e-18,7.10522535831127e-17,-7.104581345859913e-17,-7.104080939717713e-17,2.7304779655977954e-21,-9.167233030996686e-19,6.253464399376117e-22,-2.092032715893904e-21,1.5784856496654071e-25,0.0,-6.85008944770476e-25,0.0,0.0,0.0,0.0,8.497273930546511e-10,6.797859320215417e-10,6.796540388004012e-10,6.797360595846739e-10,6.317197630484807e-10,1.3041189289814223e-13,4.976153292996548e-14,4.7948847794890784e-11,9.235554317465907e-10,-1.0196788940416762e-09,4.987541869676891e-15,6.797759577459318e-10,6.797758155428079e-10,7.115087022377309e-17,7.115087006592454e-17,1.4822449657497652e-15,1.118200359528607e-16,1.1732209636020474e-13,-4.787553027778108e-11,4.7994446439143675e-11,99.58197345163991,0.0014673860190640457,99.99851168066454,2.093331639253866e-05,0.9966977640039634,0.00022148961586169585,1.6248401667623857e-06,0.003079121540008173
999,1022.2222222222224,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1022.2222222222224,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287687691967648,0.0,0.0,0.018750514453165,0.051480972625120865,7.268270133926129e-09,0.000995597102793583,4.13925001515692e-06,1.0387057955691349e-10,0.0,0.003088460381994851,3.5377576154535965e-08,0.00021970619735085816,0.9966195781534964,1.615313626548484e-06,7.036030232032369e-05,5.5496351515761165e-12,9.765995628249418e-12,5.626467728896036e-10,1.2149258798803568e-18,0.0,2.436956723798874e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.497624250511378e-10,1.0197209038875278e-09,4.96284908795917e-15,6.798038711430968e-10,-6.798139386298463e-10,7.092389267851653e-17,0.0,3.0884037212392243e-18,4.147072928478491e-18,7.176950611162769e-18,-7.170342955482777e-18,-7.178446939641589e-18,-5.922438702469217e-21,-5.613487547411594e-20,-3.7554629410396224e-21,2.174768902017365e-21,1.1109651387743949e-26,0.0,7.108583389127582e-26,0.0,0.0,0.0,0.0,8.497624250511378e-10,6.798139386298463e-10,6.796832560386229e-10,6.797642400096661e-10,6.322001314738727e-10,1.2920814426289656e-13,4.9586207205352246e-14,4.74967952907669e-11,9.238321599624779e-10,-1.0197209038875278e-09,4.96284908795917e-15,6.798039492439402e-10,6.798038711430968e-10,7.092389268962618e-17,7.092389267851653e-17,1.4745030952859465e-15,1.124728650085045e-16,1.1701192292194825e-13,-4.809455953100539e-11,4.821315842988756e-11,99.5860749984843,0.0014600609977281273,99.99851907332457,2.086567769271839e-05,0.9966899842876716,0.00021972171848284161,1.6154277402889912e-06,0.003088678566105234
999,1026.086956521739,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1026.086956521739,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928768695474266,0.0,0.0,0.01875011584436796,0.05148144479174527,7.0264210809842664e-09,0.0009959150138272807,3.8217476809166535e-06,1.0169148671657193e-10,0.0,0.0031702117865745195,3.604406844466802e-08,0.00020640820113569636,0.9965522251073616,1.546660280974772e-06,6.932516468692124e-05,5.0687760285789386e-12,9.327167212012284e-12,5.211790451355869e-10,1.2034744538974631e-18,0.0,2.465003165247909e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.500335829675982e-10,1.0200460926363406e-09,4.79771246528734e-15,6.800209980059723e-10,-6.800307308114856e-10,6.943599092200222e-17,0.0,-4.620662644777219e-17,5.84151039510319e-18,-4.1841133616621646e-17,4.1862113617324707e-17,4.1852838530696045e-17,-5.597938333104079e-21,-1.5054656928836769e-18,-1.61069623808989e-21,3.971657577485114e-21,4.2595174433537545e-25,0.0,1.7448341046040425e-25,0.0,0.0,0.0,0.0,8.500335829675982e-10,6.800307308114856e-10,6.799093533969861e-10,6.799824116781473e-10,6.357623196300697e-10,1.1996319115907522e-13,4.8202659233243684e-14,4.4153398545240884e-11,9.256818622423677e-10,-1.0200460926363406e-09,4.79771246528734e-15,6.800210256008299e-10,6.800209980059723e-10,6.943599134795395e-17,6.943599092200222e-17,1.415728806107235e-15,1.1798118151198936e-16,1.1501413927959666e-13,-4.992612399058289e-11,5.0042671839849924e-11,99.61782523190833,0.0014110281307552573,99.99856855044192,2.04214273336916e-05,0.9966215981873889,0.00020642256984843908,1.5467679487765627e-06,0.003170432474813864
999,1030.4347826086957,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1030.4347826086957,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928768617721258,0.0,0.0,0.01874969551857756,0.05148194277483049,6.848487750748134e-09,0.0009962501512139333,3.4868854160603973e-06,1.0021622876140272e-10,0.0,0.0032739847361724327,3.6915862535297824e-08,0.0001930917819045334,0.9964629917474006,1.4824353207409357e-06,6.816157003221768e-05,4.579553590559435e-12,8.860858628690713e-12,4.812250493363971e-10,1.2053136952850431e-18,0.0,2.503186415100057e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.503195139590876e-10,1.0203890650654975e-09,4.676218151569714e-15,6.802498902216171e-10,-6.80259379663139e-10,6.842867586270111e-17,0.0,-1.0308710528634978e-16,4.2044461693028196e-18,-9.87368530315951e-17,9.874027189116667e-17,9.873278354718112e-17,-5.480510997864227e-21,1.53224241430588e-19,-3.3758481372535e-21,2.0880909862097933e-21,-6.209597501537718e-26,0.0,5.299125799167834e-25,0.0,0.0,0.0,0.0,8.503195139590876e-10,6.80259379663139e-10,6.801476802785576e-10,6.802125675695153e-10,6.39230279586356e-10,1.1034328765412708e-13,4.668711485564996e-14,4.091533901099629e-11,9.270344897182841e-10,-1.0203890650654975e-09,4.676218151569714e-15,6.802498599134399e-10,6.802498902216171e-10,6.842867580060511e-17,6.842867586270111e-17,1.3559437030160478e-15,1.2482891972571294e-16,1.1376091385017675e-13,-5.216696845168155e-11,5.228221013815394e-11,99.65131145839396,0.001374833862607471,99.99860504773022,2.0118407161533265e-05,0.9965312036099203,0.00019310499980644248,1.4825367993458916e-06,0.003274208853473893
999,1034.782608695652,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1034.782608695652,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287685453599236,0.0,0.0,0.018749304417246003,0.05148240622860669,6.76220202690407e-09,0.0009965618903487333,3.1752419522452497e-06,9.97206398716675e-11,0.0,0.003391084266374841,3.792310333007933e-08,0.00018130700136544795,0.996358883268652,1.4304774849213414e-06,6.700174144613976e-05,4.139676677017407e-12,8.421669011218069e-12,4.473124056468354e-10,1.2226100568812078e-18,0.0,2.548616996699229e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.505855645520287e-10,1.0207082589487907e-09,4.617301728098949e-15,6.804628019322429e-10,-6.804721724499298e-10,6.809028774018312e-17,0.0,-2.062710080751612e-17,1.2992928485684172e-19,-2.0760710616815863e-17,2.0762231513924613e-17,2.076416693191784e-17,1.2859621221387862e-21,-2.699183964192473e-19,7.0217738145056885e-22,-5.85323886460837e-22,1.5230001318205558e-25,0.0,-6.591595506281938e-25,0.0,0.0,0.0,0.0,8.505855645520287e-10,6.804721724499298e-10,6.803693770515203e-10,6.804268250417369e-10,6.422053185725217e-10,1.0149338070622753e-13,4.521524166555918e-14,3.815333531005262e-11,9.276769627536316e-10,-1.0207082589487907e-09,4.617301728098949e-15,6.804628492618202e-10,6.804628019322429e-10,6.809028789248315e-17,6.809028774018312e-17,1.3022876214065778e-15,1.324357435024471e-16,1.1351883715679692e-13,-5.461629883214156e-11,5.473125239266392e-11,99.68247580477546,0.001357087596886684,99.9986228997441,2.0012658994822294e-05,0.9964259377383046,0.00018131920323871372,1.4305737553623563e-06,0.0033913124847014375
