,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),X(1),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H_X(19),N2X2(45),N2X(46),NOX2(52),O2X2(70),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],NO2(8) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NO2(8) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],H2OX(9) ROP [kmol/m^2 s],NOX(10) ROP [kmol/m^2 s],OX(11) ROP [kmol/m^2 s],NX(12) ROP [kmol/m^2 s],OHX(13) ROP [kmol/m^2 s],NH3X(14) ROP [kmol/m^2 s],NH2X(15) ROP [kmol/m^2 s],NHX(16) ROP [kmol/m^2 s],N2OX(17) ROP [kmol/m^2 s],NO2X(18) ROP [kmol/m^2 s],H_X(19) ROP [kmol/m^2 s],N2X2(45) ROP [kmol/m^2 s],N2X(46) ROP [kmol/m^2 s],NOX2(52) ROP [kmol/m^2 s],O2X2(70) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(11) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X(14) ROP [kmol/m^2 s],NH3X(14) + OX(11) <=> NH2X(15) + OHX(13) ROP [kmol/m^2 s],NH2X(15) + OX(11) <=> NHX(16) + OHX(13) ROP [kmol/m^2 s],NHX(16) + OX(11) <=> NX(12) + OHX(13) ROP [kmol/m^2 s],NH3X(14) + OHX(13) <=> H2OX(9) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + OHX(13) <=> H2OX(9) + NHX(16) ROP [kmol/m^2 s],NHX(16) + OHX(13) <=> H2OX(9) + NX(12) ROP [kmol/m^2 s],2 OHX(13) <=> H2OX(9) + OX(11) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(9) ROP [kmol/m^2 s],2 NX(12) <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX(12) + OX(11) <=> NOX(10) + X(1) ROP [kmol/m^2 s],NOX(10) <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX(10) + NX(12) <=> N2OX(17) + X(1) ROP [kmol/m^2 s],N2OX(17) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X(14) + X(1) <=> H_X(19) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + X(1) <=> H_X(19) + NHX(16) ROP [kmol/m^2 s],NHX(16) + X(1) <=> H_X(19) + NX(12) ROP [kmol/m^2 s],H_X(19) + OX(11) <=> OHX(13) + X(1) ROP [kmol/m^2 s],H_X(19) + OHX(13) <=> H2OX(9) + X(1) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX(11) Coverage,NOX(10) Coverage,NX(12) Coverage,X Coverage,Residence Time (s)
999,500,101325.0,0.00010717668854455032,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999982817891,0.0,0.0,0.01999999441438611,0.05000001100469033,3.6990150732253344e-09,7.898074485524838e-14,0.0009999926000393382,1.0035832192632864e-15,0.0,0.0006052493378356057,7.170011358977591e-08,0.7597713451627559,0.19412164207189514,0.04548991929911246,6.10489394533054e-08,7.503972743120186e-07,8.684549559807276e-08,1.0869376795938753e-05,6.70457825416165e-21,0.0,4.759782109250605e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.43086593298306e-12,4.861696818169998e-12,1.6205478677054294e-12,3.4601664262306326e-17,-3.2411312160485065e-12,4.3967234894881e-19,0.0,5.144064484477011e-19,6.459458144547734e-21,5.204946462694037e-19,9.87598569218374e-20,-9.243783185096456e-19,-6.1925445026982115e-19,2.1499982342851862e-19,-2.1537095063236799e-19,4.0388348644961546e-19,-6.7407548053553255e-34,0.0,2.315080640611136e-30,0.0,0.0,0.0,0.0,2.43086593298306e-12,3.2411312160485065e-12,3.2384918314740108e-12,3.2410845463723768e-12,-1.6178800649451623e-12,2.639164638907229e-15,4.6668612003213507e-17,4.859010873380492e-12,1.0752558153162668e-19,-4.861696818169998e-12,1.6205478677054294e-12,3.5561831257524545e-17,3.4601664262306326e-17,4.396723489488093e-19,4.3967234894881e-19,4.935764691980987e-21,1.4352540333787509e-21,4.1008172906154684e-21,-6.366686696666125e-25,1.0472472682329792e-20,0.0007399960661813934,99.99890528933909,0.0010675798649252967,2.71307959839081e-05,0.19412394130078162,0.7597803440987079,0.045490458093939146,0.0006052565065713851,-2.0301003344481607
999,500,101325.0,0.00012502301459914534,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.928999998527052,0.0,0.0,0.019999995211694637,0.05000000943384538,3.171005742477734e-09,6.770846772508087e-14,0.000999993656333566,8.603279392719994e-16,0.0,0.0006052497157479861,7.170015610611889e-08,0.7597713245622344,0.19412163298215315,0.045489948599265514,6.104895768141984e-08,7.503985355034492e-07,8.684561156206974e-08,1.0869387551288467e-05,6.682086756537226e-21,0.0,4.759786725305484e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.430869065514392e-12,4.861703006592711e-12,1.62054995530269e-12,3.4602571946074164e-17,-3.241135391920936e-12,4.396726202215997e-19,0.0,-3.4256472704833387e-17,8.219157355993068e-20,-3.4174882828307366e-17,3.5527012422625906e-17,3.3847977242854664e-17,-1.3521296612089194e-18,1.0246218615033994e-18,-1.0252237777754438e-18,3.2690587127193445e-19,2.792598419361492e-33,0.0,-7.359339429368201e-31,0.0,0.0,0.0,0.0,2.430869065514392e-12,3.241135391920936e-12,3.238495192500745e-12,3.2410887223993417e-12,-1.6178820707191818e-12,2.6391698625571426e-15,4.666868825381046e-17,4.859017132235342e-12,1.0752564574212343e-19,-4.861703006592711e-12,1.62054995530269e-12,8.673617379884034e-19,3.4602571946074164e-17,4.396726202216025e-19,4.396726202215997e-19,4.935771962813343e-21,1.4352568460217138e-21,4.100820487178463e-21,-6.366687271074731e-25,1.0472485965476562e-20,0.000634366643394689,99.99890526272772,0.0010676064944989256,2.7130777766084233e-05,0.19412393221329993,0.7597803235072105,0.04549048739499414,0.0006052568844956246,-2.096989966555183
999,500,101325.0,0.00014584098829439863,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999987373057,0.0,0.0,0.019999995895193527,0.05000000808722642,2.718365665023593e-09,5.804477339730436e-14,0.000999994561849953,7.375213970003869e-16,0.0,0.000605250039716127,7.170019255356119e-08,0.7597713069022947,0.1941216251898937,0.04548997371704002,6.104897330759317e-08,7.503996166701156e-07,8.68457109731237e-08,1.0869396771394454e-05,6.6628057481364715e-21,0.0,4.7597906824534085e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4308717509014834e-12,4.8617084733433525e-12,1.6205517449120967e-12,3.4603350101986543e-17,-3.2411389761408524e-12,4.396728527722279e-19,0.0,-3.376109453905889e-19,-1.4563334561741577e-20,-3.4855343522262927e-19,2.6524562275836807e-19,2.892196592761593e-19,8.330780605702897e-20,-1.3902075065185265e-19,1.426415888014788e-19,5.933378952584276e-20,0.0,0.0,-9.46380909813121e-31,0.0,0.0,0.0,0.0,2.4308717509014834e-12,3.2411389761408524e-12,3.23849993588525e-12,3.2410923023311347e-12,-1.617883588602223e-12,2.639174340574741e-15,4.666875362025172e-17,4.859022497687625e-12,1.0752570078701967e-19,-4.8617084733433525e-12,1.6205517449120967e-12,3.4694469519536136e-17,3.4603350101986543e-17,4.396728527722279e-19,4.396728527722279e-19,4.9357782013225965e-21,1.435259257183517e-21,4.10082322432859e-21,-6.3666877578535235e-25,1.047249735255687e-20,0.0005438150047030327,99.99890523991387,0.0010676293239929256,2.7130762148738112e-05,0.19412392442297804,0.7597803058550062,0.045490512513541824,0.0006052572084739316,-2.1638795986622075
999,500,101325.0,0.00019845354578058034,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999990720604,0.0,0.0,0.019999996983424598,0.050000005943210336,1.9976958878196106e-09,4.265789354680866e-14,0.000999996003565624,5.419955567988685e-16,0.0,0.0006052505555209992,7.170025058323767e-08,0.7597712787850232,0.1941216127835432,0.04549001370820847,6.104899818677586e-08,7.504013380483071e-07,8.684586925023936e-08,1.086941145116062e-05,6.6321075415986604e-21,0.0,4.75979698281732e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.430876026435442e-12,4.861717101220953e-12,1.6205545942338445e-12,3.460458911146026e-17,-3.2411446402501707e-12,4.396732230267399e-19,0.0,1.5387483947927074e-17,-9.261179409729351e-20,1.5262718468840403e-17,-1.9001192732986292e-17,-1.3563542370096719e-17,3.738473654948241e-18,-2.071456323453093e-18,2.0393003610113168e-18,-1.6991732118777039e-18,-2.8888949165808538e-34,0.0,3.183824004173916e-30,0.0,0.0,0.0,0.0,2.430876026435442e-12,3.2411446402501707e-12,3.238507525300457e-12,3.2410980021131767e-12,-1.6178846728043955e-12,2.6391814702485016e-15,4.666885769335957e-17,4.8590310402829126e-12,1.07525788426674e-19,-4.861717101220953e-12,1.6205545942338445e-12,5.0306980803327406e-17,3.460458911146026e-17,4.396732230267396e-19,4.396732230267399e-19,4.935788133377216e-21,1.435263096112783e-21,4.100827587321041e-21,-6.366688532679215e-25,1.0472515482480483e-20,0.0003996434375921551,99.99890520358873,0.0010676656739855312,2.7130737283672722e-05,0.19412391201971255,0.7597802777500512,0.0454905525059413,0.00060525772429499,-2.297658862876254
999,500,101325.0,0.00023149866718511557,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999992045179,0.0,0.0,0.01999999741402182,0.05000000509485434,1.7125373248159316e-09,3.656923936460882e-14,0.0009999965740315744,4.646289207961605e-16,0.0,0.000605250759617306,7.170027354471427e-08,0.7597712676595032,0.1941216078744438,0.045490029532144004,6.104900803105918e-08,7.504020191728726e-07,8.684593187820865e-08,1.0869417259732327e-05,6.619960708253619e-21,0.0,4.759799475777812e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4308777182018187e-12,4.861720574056037e-12,1.6205557216706256e-12,3.460507939342166e-17,-3.2411469035751453e-12,4.396733695312359e-19,0.0,1.5910376330803442e-18,-1.8240513356690144e-19,1.3844402325600543e-18,-1.1762664532465395e-18,-1.6233199929540112e-18,-2.0817380752381057e-19,-5.489795008920098e-20,3.07058155554078e-20,2.3887965638134486e-19,-1.1555579666323415e-33,0.0,-9.679073899134015e-30,0.0,0.0,0.0,0.0,2.4308777182018187e-12,3.2411469035751453e-12,3.2385077692459463e-12,3.2411002574331412e-12,-1.6178877356755328e-12,2.63918429135703e-15,4.666889887356866e-17,4.859034420462328e-12,1.0752582310425824e-19,-4.861720574056037e-12,1.6205557216706256e-12,3.642919299551295e-17,3.460507939342166e-17,4.396733695312346e-19,4.396733695312359e-19,4.9357920544103455e-21,1.4352646151224053e-21,4.1008293081224986e-21,-6.366688845883571e-25,1.0472522656218912e-20,0.00034259684256188194,99.9989051892147,0.0010676800578509676,2.7130727444935577e-05,0.19412390711183383,0.7597802666294046,0.04549056833036394,0.0006052579283977015,-2.3645484949832767
999,500,101325.0,0.00027004623524206814,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.928999999318068,0.0,0.0,0.01999999778315421,0.050000004367595385,1.4680832129957167e-09,3.1349568676153826e-14,0.0009999970630673782,3.983058921049809e-16,0.0,0.0006052509345802157,7.170029322858933e-08,0.7597712581220495,0.1941216036661237,0.045490043097307344,6.104901647014824e-08,7.504026030716411e-07,8.684598556645579e-08,1.0869422239167784e-05,6.609547753486687e-21,0.0,4.759801612885179e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.430879168480128e-12,4.861723189693778e-12,1.6205566881727832e-12,3.460549970174675e-17,-3.241148871762077e-12,4.396734951230434e-19,0.0,3.006080173437321e-18,1.02092958616416e-19,3.1187432746199643e-18,-2.214872394324408e-18,-3.558883163976673e-18,-9.038705576767618e-19,4.743026842952626e-19,-4.637317601581236e-19,4.401387846543024e-19,7.703719777548942e-34,0.0,2.3718188376993382e-30,0.0,0.0,0.0,0.0,2.430879168480128e-12,3.241148871762077e-12,3.2385092058138252e-12,3.2411021908217122e-12,-1.6178889011928682e-12,2.6391867097727927e-15,4.6668934175594245e-17,4.859037318144406e-12,1.0752585283188859e-19,-4.861723189693778e-12,1.6205566881727832e-12,3.8163916471489756e-17,3.460549970174675e-17,4.3967349512304415e-19,4.396734951230434e-19,4.9357954282698295e-21,1.4352659173040435e-21,4.100830793843405e-21,-6.36668912237489e-25,1.0472528805957696e-20,0.00029369326217960207,99.99890517689215,0.0010676923888345287,2.7130719010623243e-05,0.1941239029045602,0.7597802570961288,0.04549058189594486,0.0006052581033661017,-2.431438127090301
999,500,101325.0,0.000500030684249109,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999996317158,0.0,0.0,0.019999998802769783,0.050000002358764534,7.928533396381089e-10,1.693119502125647e-14,0.0009999984138795287,2.151089821672119e-16,0.0,0.0006052514178617497,7.170034759927465e-08,0.7597712317776919,0.1941215920420065,0.045490080566901916,6.104903978057926e-08,7.504042159150124e-07,8.684613386390643e-08,1.0869435993336866e-05,6.580785146452645e-21,0.0,4.759807515993552e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4308831744329314e-12,4.861731124698427e-12,1.620559357839481e-12,3.4606660726972876e-17,-3.2411542070108535e-12,4.396738420317716e-19,0.0,1.3342766412608325e-17,1.778328641892909e-19,1.3525922758345947e-17,-1.3122997786080109e-17,-1.3416785193300204e-17,-4.029249714705811e-19,5.173857168546028e-19,-5.1206240019238705e-19,-1.0913740117670566e-19,-1.7333369499485123e-33,0.0,1.1931727326157165e-29,0.0,0.0,0.0,0.0,2.4308831744329314e-12,3.2411542070108535e-12,3.238514491299416e-12,3.241107531220581e-12,-1.6178910153871046e-12,2.6391933899165768e-15,4.666903168675485e-17,4.859045322111208e-12,1.0752593494549991e-19,-4.861731124698427e-12,1.620559357839481e-12,4.8572257327350605e-17,3.4606660726972876e-17,4.396738420317697e-19,4.396738420317716e-19,4.9358047352507886e-21,1.43526951418673e-21,4.100834886256566e-21,-6.366689861570877e-25,1.0472545792748515e-20,0.00015861204712922655,99.99890514285335,0.0010677264509339403,2.713069571345131e-05,0.19412389128333346,0.759780230763311,0.04549061936669284,0.0006052585866628011,-2.6989966555183944
999,500,101325.0,0.0006804181968927094,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999997293524,0.0,0.0,0.01999999912017028,0.05000000173342696,5.826581403728986e-10,1.2442649964841619e-14,0.0009999988343796283,1.580808956350303e-16,0.0,0.0006052515683044836,7.170036452455298e-08,0.7597712235768231,0.19412158842351773,0.045490092230960816,6.104904703699209e-08,7.504047179842477e-07,8.684618002806446e-08,1.0869440274929868e-05,6.57183151202096e-21,0.0,4.7598093535978185e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4308844214635197e-12,4.861733791158147e-12,1.6205601888910957e-12,3.460702216300169e-17,-3.241155852901749e-12,4.396739500223495e-19,0.0,2.827688848500871e-17,5.073312011214314e-21,2.8270710760129417e-17,-3.107517565111544e-17,-2.6763241646654358e-17,2.8044643585156007e-18,-1.3082498353301522e-18,1.2969972624375848e-18,-1.5074670452902809e-18,-2.2148194360453205e-33,0.0,2.2276449257687246e-30,0.0,0.0,0.0,0.0,2.4308844214635197e-12,3.241155852901749e-12,3.238517960746368e-12,3.2411091936570103e-12,-1.6178904461809642e-12,2.6391954694095502e-15,4.6669062041446475e-17,4.859047813701495e-12,1.0752596050703666e-19,-4.861733791158147e-12,1.6205601888910957e-12,6.331740687315346e-17,3.460702216300169e-17,4.396739500223473e-19,4.396739500223495e-19,4.935807627214868e-21,1.4352706338766107e-21,4.10083615277275e-21,-6.366690072941687e-25,1.0472551080643876e-20,0.00011656203717080177,99.99890513225682,0.001067737054726721,2.713068846118877e-05,0.19412388766574445,0.7597802225660345,0.04549063103111079,0.000605258737110256,-2.832775919732441
999,500,101325.0,0.0009258810253973943,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999998011044,0.0,0.0,0.019999999353424083,0.05000000127387391,4.281882227210439e-10,9.14401548668648e-15,0.0009999991434000816,1.161716618483059e-16,0.0,0.0006052516788629444,7.17003769627242e-08,0.7597712175501629,0.1941215857642612,0.0454901008027505,6.104905236960657e-08,7.504050869487537e-07,8.684621395354481e-08,1.0869443421422207e-05,6.565251594244728e-21,0.0,4.7598107040294426e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4308853378907185e-12,4.8617356156671135e-12,1.6205607996219792e-12,3.460728778267985e-17,-3.241157104392929e-12,4.396740293834765e-19,0.0,-6.455690098377756e-18,1.3152469924865219e-20,-6.424024458446015e-18,5.7212231835934285e-18,6.589239720771175e-18,7.028013152705585e-19,-5.190727737696668e-19,5.375859834183779e-19,-1.6521534317819356e-19,1.3481509610710651e-33,0.0,3.2232814939095495e-30,0.0,0.0,0.0,0.0,2.4308853378907185e-12,3.241157104392929e-12,3.2385184215322914e-12,3.2411104153600993e-12,-1.6178923977448745e-12,2.639196997602121e-15,4.666908434871766e-17,4.8590496447390996e-12,1.0752597929177613e-19,-4.8617356156671135e-12,1.6205607996219792e-12,2.862293735361732e-17,3.460728778267985e-17,4.396740293834777e-19,4.396740293834765e-19,4.935809757139312e-21,1.4352714567231673e-21,4.1008370869812766e-21,-6.366690247719831e-25,1.0472554966645247e-20,8.565999183845346e-05,99.99890512446939,0.0010677448474635048,2.7130683131584692e-05,0.19412388500714922,0.7597802165420142,0.045490639603164344,0.0006052588476721864,-2.966555183946488
999,500,101325.0,0.001080052374516254,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999998294955,0.0,0.0,0.01999999944571904,0.0500000010920358,3.670668378690666e-10,7.838782958351854e-15,0.000999999265674751,9.95888232992522e-17,0.0,0.0006052517226093028,7.170038188433059e-08,0.7597712151654348,0.19412158471212515,0.04549010419445641,6.104905447968205e-08,7.504052329425568e-07,8.684622737733993e-08,1.0869444666438755e-05,6.562648021421894e-21,0.0,4.759811238376178e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4308857005075277e-12,4.861737225029713e-12,1.6205610412774417e-12,3.4607392885420944e-17,-3.2411575673493747e-12,4.396740607852264e-19,0.0,1.7867665455564864e-17,-8.71080716786502e-19,1.6994637333098042e-17,-1.8485712965590943e-17,-1.6452796998018353e-17,1.4910747434865474e-18,-9.511878066321356e-19,9.492378498459164e-19,-5.418368948396245e-19,-9.62964972193618e-35,0.0,6.218853369183458e-30,0.0,0.0,0.0,0.0,2.4308857005075277e-12,3.2411575673493747e-12,3.2385193159990837e-12,3.2411108987708837e-12,-1.6178922622196031e-12,2.6391976022870734e-15,4.666909317539697e-17,4.8590503692549925e-12,1.0752598672475672e-19,-4.861737225029713e-12,1.6205610412774417e-12,5.2041704279304207e-17,3.4607392885420944e-17,4.396740607852264e-19,4.396740607852264e-19,4.9358106010232646e-21,1.4352717823112004e-21,4.100837458140333e-21,-6.36669031368293e-25,1.0472556504287312e-20,7.34325249045209e-05,99.99890512138802,0.0010677479309634137,2.7130681022752087e-05,0.19412388395527477,0.7597802141583306,0.045490642994974656,0.0006052588914199175,-3.033444816053512
