,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),NHO_X(10),H2O_X(11),HX(13),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],NHO_X(10) ROP [kmol/m^2 s],H2O_X(11) ROP [kmol/m^2 s],HX(13) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],NH_X(9) + OX <=> NHO_X(10) + X(1) ROP [kmol/m^2 s],NHO_X(10) + OX <=> NOX + OHX ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NOX + NX <=> N2O(7) + 2 X(1) ROP [kmol/m^2 s],N2O(7) + X(1) <=> N2(4) + OX ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(11) + NX ROP [kmol/m^2 s],2 OHX <=> H2O(3) + OX + X(1) ROP [kmol/m^2 s],H2O_X(11) + OX <=> 2 OHX ROP [kmol/m^2 s],H2O_X(11) <=> H2O(3) + X(1) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX Coverage,NOX Coverage,NX Coverage,X Coverage,OHX Coverage,X(1) Coverage,NH3X Coverage,Residence Time (s)
9999,1015.075376884422,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1015.075376884422,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9287744935177218,0.0,0.0,0.01880029337593975,0.05147370933052976,3.845355538847392e-05,0.0008940572908517627,9.193001866185812e-06,9.799927702348347e-06,0.0004884087683949622,0.9875638809734968,7.062176655317843e-07,2.7680834938631806e-07,5.922120536599155e-11,0.011946589462458563,8.405768144867597e-17,7.534825885824972e-13,8.780299686896153e-14,1.3770957226486372e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.484333088774454e-11,3.089368411650724e-11,7.995254296034343e-13,1.858921840446732e-11,-2.0595789001036487e-11,2.0375986894182023e-13,4.372731980722458e-22,-5.307849969690854e-22,-8.037545991115845e-23,-1.3970076092141725e-21,-8.780909943162523e-22,6.153859087066664e-19,-1.9387045606711583e-26,-1.3741195225138422e-25,1.3732490638087374e-26,-6.129367820092617e-19,0.0,2.0595789001036487e-11,2.484333088774454e-11,2.0595789001914575e-11,2.0595789001914604e-11,2.0224043491663926e-11,1.917958784180096e-11,3.717205666153837e-13,3.7172056661537014e-13,4.119529503351541e-14,9.620900035117393e-13,7.583301345699189e-13,1.858921840446732e-11,2.4943635425131714e-17,1.3764615915946009e-18,-3.089365718347344e-11,3.089368274004564e-11,99.08069981338143,7.763969902225739,90.25737447136045,1.9786556264138095,0.9880472858308468,0.03927471644979708,5.678951804396916e-05,0.9606684892699676,2.769438449256208e-07,0.01195243722530832,4.7621914246298586e-08,5e-09
9999,1021.1055276381911,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1021.1055276381911,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9287739352037508,0.0,0.0,0.018802039791953145,0.05147571291266696,4.2168729119454056e-05,0.000889030878678872,7.836646663491776e-06,9.275837167249406e-06,0.0004666619233105041,0.9864138376733691,7.465511479211737e-07,2.9853332394264396e-07,5.3194588989066216e-11,0.013118305818893785,8.429109912189893e-17,8.248383538470891e-13,9.319851695607484e-14,1.494458420555441e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4806784446198533e-11,3.0935986002684745e-11,8.767717624948742e-13,1.8484720500335966e-11,-2.0623990209367754e-11,1.9286310665675428e-13,-2.8984745311827115e-20,-4.6800392718087125e-21,1.527681018453617e-22,8.7179223138342e-21,-4.386157509805107e-22,7.175673035931431e-19,2.5849394142282115e-26,-1.0935774611319659e-24,1.874081075315453e-25,-6.92333726029861e-19,0.0,2.0623990209367754e-11,2.4806784446198533e-11,2.062399020980637e-11,2.0623990209806344e-11,2.024826582545582e-11,1.9128449825710185e-11,3.756976539936789e-13,3.7569765399349134e-13,5.020786079917263e-14,1.0194270083524555e-12,8.265639016957015e-13,1.8484720500335966e-11,2.6730357939537494e-17,1.5427864322612954e-18,-3.0935957037206646e-11,3.093598445989832e-11,99.21633533365082,8.502445475873381,89.62727525784356,1.8702792662830452,0.9868752590704986,0.03434945792372852,5.4951188349616024e-05,0.9655955869724422,2.986729708719168e-07,0.01312444225653055,3.915479718781747e-08,5e-09
9999,1027.1356783919596,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1027.1356783919596,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9287734272075576,0.0,0.0,0.018804225090861517,0.051477400249191736,4.605490324603952e-05,0.0008834458122042024,6.692981478356343e-06,8.753755460344148e-06,0.0004457522094712249,0.9851660462897848,7.88000046105022e-07,3.216463785350369e-07,4.783741810079274e-11,0.014386929799202915,8.451867260663166e-17,9.029298910598289e-13,9.894604341786372e-14,1.6200627709730055e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4761133887991753e-11,3.0971654486433875e-11,9.57573576902766e-13,1.8368605945908844e-11,-2.0647769207494508e-11,1.820080889696723e-13,-6.977092549640747e-20,2.3797016870870267e-21,4.3329441085825185e-23,-6.785479931152838e-21,-4.313036036125127e-22,7.457172679646942e-19,9.693522803355792e-27,-4.068846434554892e-25,8.401053096241688e-26,-6.711522801052777e-19,0.0,2.0647769207494508e-11,2.4761133887991753e-11,2.0647769207925808e-11,2.06477692079258e-11,2.026813778324489e-11,1.9067638799982047e-11,3.796028081871362e-13,3.7960280818705214e-13,6.094593384125802e-14,1.0786357320311805e-12,8.96627643061508e-13,1.8368605945908844e-11,2.8616494181857705e-17,1.7266247079549627e-18,-3.097162347216272e-11,3.0971652759809176e-11,99.33070185216437,9.275322326844389,88.96169701871122,1.762980654444377,0.9856063188644589,0.03005043376712547,5.312310896240078e-05,0.9698964398989475,3.2179012291167833e-07,0.014393359345418202,3.224964753250337e-08,5e-09
9999,1039.1959798994976,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1039.1959798994976,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9287725406314608,0.0,0.0,0.018809766207764308,0.05148002571376694,5.435156146446922e-05,0.0008706698309527942,4.909906301216955e-06,7.736148289289729e-06,0.0004063306222765994,0.9823520227909864,8.740169304748995e-07,3.722911602742565e-07,3.8826738775482e-11,0.017240210466270313,8.497193027270924e-17,1.0808390663179433e-12,1.1149014612273095e-13,1.8977235661847692e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.464554966502219e-11,3.102726423897964e-11,1.1300787784700393e-12,1.810298467730333e-11,-2.0684842812594853e-11,1.6085015357900914e-13,2.694228376703405e-19,1.180714375183924e-20,-1.560723814309556e-22,3.859739883958635e-21,1.9269204681165454e-21,-2.6195282300360573e-19,2.5849394142282115e-26,-4.649509690555776e-25,1.769067911612432e-25,-2.490749391852564e-20,0.0,2.0684842812594853e-11,2.464554966502219e-11,2.068484281066793e-11,2.0684842810667907e-11,2.029757041283396e-11,1.8917935145852393e-11,3.8723969211827184e-13,3.872396921180949e-13,8.873904080473072e-14,1.2021898912443175e-12,1.0413397376653086e-12,1.810298467730333e-11,3.270571614030157e-17,2.1534324848854435e-18,-3.102722935492352e-11,3.1027262085547146e-11,99.5090093698783,10.92663650891369,87.51811690647187,1.5552465846144297,0.9827523906622222,0.023024937020748135,4.9526626042851206e-05,0.9769255341530715,3.724428914417614e-07,0.017247236894886428,2.200137439845614e-08,5e-09
9999,1045.2261306532664,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1045.2261306532664,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9287721531564423,0.0,0.0,0.018813066163980957,0.05148104298216149,5.8769029606588915e-05,0.0008635032478171164,4.2174073403272414e-06,7.24801265131057e-06,0.0003877585529484164,0.9807725931683672,9.184409978782131e-07,3.999520492226591e-07,3.5043275117874516e-11,0.018838124782613912,8.520450030014666e-17,1.181400661353173e-12,1.1827931912195202e-13,2.0506667990115078e-07,1.3570593029914358e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4576773711656826e-11,3.1048864340716104e-11,1.221927376276814e-12,1.7953984715832227e-11,-2.0699241227509628e-11,1.5070089027375113e-13,-2.2554051378867728e-20,-3.833852892212572e-21,2.7584151022138498e-22,7.226488441078088e-21,8.552562857658136e-22,2.522378452031119e-18,-7.108583389127582e-26,-1.0657243602904226e-24,3.6350710512584224e-25,-2.5043473687058838e-18,0.0,2.0699241227509628e-11,2.4576773711656826e-11,2.0699241226654365e-11,2.0699241226654443e-11,2.030821788265047e-11,1.882917699048252e-11,3.909884255897629e-13,3.909884255893994e-13,1.0644754375681746e-13,1.2661807227937475e-12,1.1154798325199966e-12,1.7953984715832227e-11,3.4918415276604386e-17,2.4000179333171497e-18,-3.104882451793553e-11,3.1048861940698176e-11,99.57825926596728,11.806494369350668,86.73740500878216,1.4561006218671597,0.9811541464502892,0.020167605447225342,4.776878686729526e-05,0.9797846239432811,4.0010764392224114e-07,0.01884545344206681,1.8226263245052907e-08,5e-09
9999,1051.2562814070352,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1051.2562814070352,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.928771797936994,0.0,0.0,0.018816690844966743,0.0514819050932204,6.337121177780834e-05,0.0008558283536499215,3.629538682046994e-06,6.777020709056557e-06,0.00036990482337037264,0.9790690332336424,9.63691556927804e-07,4.2925894803654155e-07,3.1667306362059676e-11,0.02055944759708545,8.544516466853127e-17,1.2901765641781355e-12,1.254052654180635e-13,2.2136231386677336e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.450125960706677e-11,3.1067196410815257e-11,1.317616586038896e-12,1.7794414811477393e-11,-2.07114641801774e-11,1.4090806597621415e-13,6.442444178963545e-20,9.255459583175074e-21,1.3402749304059887e-22,-1.4199791809852168e-20,1.1050939113252383e-22,7.38899438560879e-20,-2.261821987449685e-26,8.498849168738068e-25,-1.454028420503369e-26,-1.3361542138622822e-19,0.0,2.07114641801774e-11,2.450125960706677e-11,2.071146418006689e-11,2.0711464180066922e-11,2.0316727153262933e-11,1.8731049217059822e-11,3.9469977704293684e-13,3.946997770429513e-13,1.2719053381417234e-13,1.3313341182009378e-12,1.1904260522247236e-12,1.7794414811477393e-11,3.724976019235378e-17,2.6713644849695303e-18,-3.106715635607516e-11,3.106719373945077e-11,99.63704613179532,12.723548453074706,85.91577453065669,1.3606770162685882,0.9794324907488028,0.017673159871599266,4.604285717962231e-05,0.9822807957582337,4.2941830083529e-07,0.020567079832896268,1.5129874840243002e-08,5e-09
9999,1063.3165829145728,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1063.3165829145728,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9287711721170386,0.0,0.0,0.018824854163800687,0.051483259070553816,7.314675915292269e-05,0.0008389718550474847,2.7037585095198703e-06,5.8922758969059425e-06,0.0003362320672335886,0.9752606550888786,1.0562395830952104e-06,4.930731590253118e-07,2.5955454344819127e-11,0.024401306360886974,8.596208020750551e-17,1.5336830163460131e-12,1.4063073791855074e-13,2.571426286130875e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4331263842673625e-11,3.109611433485148e-11,1.520871154471262e-12,1.7443945642681692e-11,-2.0730712997180432e-11,1.22512501573089e-13,4.276082953949671e-20,1.920687532953988e-21,3.444314639391885e-22,-8.055175996967598e-22,-6.958592279616991e-22,4.479410941422555e-17,3.554291694563791e-26,9.921813232869963e-25,-3.8774091213423168e-25,-4.4837634624082325e-17,0.0,2.0730712997180432e-11,2.4331263842673625e-11,2.073071299787629e-11,2.0730712997876253e-11,2.0328639391534225e-11,1.850583078105785e-11,4.0203131753143347e-13,4.020313175318213e-13,1.7946724289719362e-13,1.4639164131471574e-12,1.3414039115740684e-12,1.7443945642681692e-11,4.2288809604994626e-17,3.2971572627469204e-18,-3.109602391124999e-11,3.109611103769422e-11,99.729624149048,14.672637239148022,84.14542076165124,1.1819419992007305,0.9755899610677171,0.013591397223536313,4.269602199214416e-05,0.9863659057052828,4.932396498382289e-07,0.024409545692632987,1.0491887136770916e-08,5e-09
9999,1069.3467336683416,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1069.3467336683416,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9287708963315882,0.0,0.0,0.018829370133413386,0.05148378890831051,7.832864931659179e-05,0.0008297955255296144,2.3403410522644815e-06,5.4801107894480825e-06,0.00032035505045447315,0.9731409014774742,1.1032858308825378e-06,5.277113261894556e-07,2.3541873496092392e-11,0.026536835728640518,8.624370356422515e-17,1.6689985620002626e-12,1.4870577596146608e-13,2.767209140491805e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4237251320644572e-11,3.1107404382912055e-11,1.6286137631684623e-12,1.7253155980916072e-11,-2.0738269178573693e-11,1.139427774288004e-13,1.1600206366448682e-19,-2.513776032154509e-21,-3.427748812817733e-22,5.6007842495966454e-21,8.028660261879436e-22,4.995065515103278e-19,-2.908056841006738e-26,1.1394525823913492e-24,-1.71252236192619e-25,-6.190566648465382e-19,0.0,2.0738269178573693e-11,2.4237251320644572e-11,2.0738269177770823e-11,2.0738269177770846e-11,2.0332564206328183e-11,1.837812576304673e-11,4.0565996443321494e-13,4.0565996443338614e-13,2.119269100352794e-13,1.5306296305619831e-12,1.4166868531331831e-12,1.7253155980916072e-11,4.500700831163755e-17,3.656415962087265e-18,-3.1107355100431114e-11,3.110740072649609e-11,99.76596589477354,15.70636158968528,83.19477353313964,1.0988648771750875,0.9734540958113576,0.01192760230412494,4.1078030765783444e-05,0.9880313187885876,5.27881164079362e-07,0.026545376307478365,8.765215474426077e-09,5e-09
9999,1075.3768844221106,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1075.3768844221106,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9287706423308064,0.0,0.0,0.01883416420348981,0.051484240832742036,8.371199749310164e-05,0.000820122481628746,2.029670914366021e-06,5.088482925765604e-06,0.0003050808884034391,0.9708671799191726,1.1506557597307948e-06,5.64256632477602e-07,2.1379082729724905e-11,0.028825726769304564,8.654424318342649e-17,1.8136844345443766e-12,1.5706819214101001e-13,2.9748737701734296e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.413746561347649e-11,3.1117093424029274e-11,1.740545122811868e-12,1.7052038456588973e-11,-2.0744728634782916e-11,1.0580005738942178e-13,-1.794638932013609e-19,-6.848543653935052e-20,1.5968059334611301e-24,9.256271758469918e-21,-2.748873040704297e-21,7.137987850446251e-19,-2.5849394142282115e-26,3.1851698719450376e-24,-6.3007898221812655e-25,-4.72360978272872e-19,0.0,2.0744728634782916e-11,2.413746561347649e-11,2.0744728637531782e-11,2.0744728637531808e-11,2.0335412361742182e-11,1.8239847730783936e-11,4.0926841094174417e-13,4.0926841094237435e-13,2.492673156000621e-13,1.5970778646012275e-12,1.491277807211806e-12,1.7052038456588973e-11,4.786484470375144e-17,4.05007941879541e-18,-3.1117041036744173e-11,3.111708937394986e-11,99.79703290856338,16.78060135822287,82.19937993415476,1.0200187076223746,0.9711648701689681,0.010472378303469906,3.949805730548548e-05,0.9894881229053542,5.644296465637153e-07,0.028834565401385223,7.33870427933156e-09,5e-09
9999,1081.4070351758794,101325.0,5e-09,0.001,0.02,0.05,0.929,0.05,1081.4070351758794,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.92877040820034,0.0,0.0,0.018839229719318028,0.05148462691769568,8.930036876307655e-05,0.0008099538358204118,1.7636281149907883e-06,4.717329947553885e-06,0.00029038377280796206,0.9684315987961256,1.1981884537399893e-06,6.027728362185878e-07,1.9438923146128707e-11,0.03127589695911952,8.686626742949547e-17,1.9679304154483487e-12,1.6569872998938166e-13,3.194890843831507e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4032044344435665e-11,3.112538745946907e-11,1.8567393581883918e-12,1.6840615639740313e-11,-2.075026020488548e-11,9.80830460222012e-14,-2.412346741546473e-19,-7.079117664744793e-20,7.722506500006781e-25,9.49309367094797e-21,-2.0384282920978152e-21,-2.5415980194131822e-18,-6.139231108792002e-26,-4.017256804898088e-24,3.8774091213423168e-25,2.846172118347453e-18,0.0,2.075026020488548e-11,2.4032044344435665e-11,2.0750260206923907e-11,2.0750260206923968e-11,2.0337349949162452e-11,1.809055984936741e-11,4.128593899075091e-13,4.128593899071214e-13,2.920185634416989e-13,1.6628038407688941e-12,1.5647207947466931e-12,1.6840615639740313e-11,5.0867858027658766e-17,4.481000786003102e-18,-3.112533495678237e-11,3.112538297846829e-11,99.82363718850092,17.896058344201663,81.15857476493706,0.9453668908612807,0.9687143679459979,0.009198826848401362,3.795641888363025e-05,0.9907632161169255,6.029488378718542e-07,0.031285029105164334,6.157895340070341e-09,5e-09
