,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(10) ROP [kmol/m^2 s],N2O_X(11) ROP [kmol/m^2 s],H_X(12) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH3X + OHX <=> H2O_X(10) + NH2_X(8) ROP [kmol/m^2 s],NH2_X(8) + OHX <=> H2O_X(10) + NH_X(9) ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(10) + NX ROP [kmol/m^2 s],2 OHX <=> H2O_X(10) + OX ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2O_X(10) ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX + NX <=> N2O_X(11) + X(1) ROP [kmol/m^2 s],N2O_X(11) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X + X(1) <=> H_X(12) + NH2_X(8) ROP [kmol/m^2 s],NH2_X(8) + X(1) <=> H_X(12) + NH_X(9) ROP [kmol/m^2 s],NH_X(9) + X(1) <=> H_X(12) + NX ROP [kmol/m^2 s],H_X(12) + OX <=> OHX + X(1) ROP [kmol/m^2 s],H_X(12) + OHX <=> H2O_X(10) + X(1) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX Coverage,NOX Coverage,NX Coverage,X Coverage,Residence Time (s)
9999,1050,101325.0,0.00011357333583431028,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.928930692586248,0.0,0.0,0.019615507781237343,0.050459321142543236,3.050938679432977e-07,0.00029780709429625725,0.0006912244899670846,5.141811840131864e-06,0.00012403965179598898,0.9509310515934912,0.02962399476835746,1.50778269674575e-06,5.688032603224263e-09,0.019297774846707357,8.421083620722064e-09,2.1386006752684185e-05,2.0412967741706095e-07,1.1864317734064964e-13,2.7111286371087462e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8085397143242584e-07,2.1865443403362023e-07,1.4406636712705345e-10,1.4062552770703355e-07,-1.457696226891592e-07,2.4279811234795474e-09,7.19080100611229e-19,1.316309052367884e-19,2.4029596794665454e-22,-2.822753840337207e-22,1.7378652210343826e-19,-8.921374516955918e-19,2.8915778522410325e-23,-2.5311726744122647e-22,-1.4188691085668025e-19,9.765280721494768e-21,1.716399771047532e-23,1.8085397143242584e-07,1.457696226891592e-07,1.4554234269547262e-07,1.4153119669496332e-07,8.170966964579747e-08,2.174259792300947e-10,4.232038945283834e-09,5.091551204583387e-08,1.6265922026284555e-07,-2.1865443403362023e-07,1.4406636712705345e-10,1.4305350883124194e-07,1.4062552770703355e-07,2.4279811234893127e-09,2.4279811234795474e-09,9.854014282708323e-12,6.38704873822649e-12,1.3144440997354294e-08,1.2530445260090225e-08,6.30236800284987e-10,30.877551003291536,0.19766308572419647,96.47107889397867,3.331258020297137,0.9509530558290488,0.0001240425220332286,0.02962468025797098,0.01929822139094708,-2.0552763819095468
9999,1050,101325.0,0.00013826221737646535,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289396865635472,0.0,0.0,0.019666606472788242,0.05039793339064403,2.809252486683701e-07,0.0002591300179750937,0.0007324820510329232,3.880578763763981e-06,0.00010763933615399229,0.9492593344916516,0.031364165388577836,1.5412668800350563e-06,6.010986418079649e-09,0.01924465949837574,8.891542054717413e-09,2.2413771121690235e-05,2.033210353712836e-07,8.929594369677841e-14,2.8023585916813034e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9090376010717363e-07,2.3061674166461807e-07,1.6148895743580728e-10,1.4896004057969375e-07,-1.5374449443956412e-07,2.2307379679144626e-09,5.76388301659504e-18,2.2343802706282384e-19,7.502528155855961e-22,2.737967827550521e-22,1.4831820619195025e-19,-2.2702071173191347e-18,5.004571952916529e-22,-2.2168440416421137e-22,-5.494923586062198e-18,1.6283058629912473e-18,-8.271806125530277e-25,1.9090376010717363e-07,1.5374449443956412e-07,1.534992392887315e-07,1.491700437557659e-07,8.546697246992714e-08,2.3487809624250325e-10,4.56772623461758e-09,5.454783950508551e-08,1.7059893411964092e-07,-2.3061674166461807e-07,1.6148895743580728e-10,1.511907785550004e-07,1.4896004057969375e-07,2.2307379695427684e-09,2.2307379679144626e-09,1.0377054441776506e-11,6.724449031809405e-12,1.3729682464402839e-08,1.307942026433978e-08,6.67363703536645e-10,26.75179489670768,0.21007445897052163,96.8880486625382,2.9018768784912794,0.9492823083435699,0.00010764194122731581,0.03136492446006125,0.019245125255141535,-2.140703517587939
9999,1050,101325.0,0.0002494508135230317,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289619909634343,0.0,0.0,0.019791755922357317,0.05024802311180819,2.0066483554499951e-07,0.00016325437136479375,0.0008332465473606586,1.5284188390994538e-06,6.737623434557444e-05,0.9451854719464258,0.03560487577103858,1.6178440986366375e-06,6.79212705861527e-09,0.01911555720599581,1.0027014709921513e-08,2.485267329573759e-05,2.0135841498372817e-07,3.493653409662764e-14,3.014720815576326e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1512248609637658e-07,2.593477952720323e-07,2.0811065197321616e-10,1.693120449833361e-07,-1.7289853017677412e-07,1.5851319451435787e-09,-8.166028336748526e-19,-1.1405828030371188e-19,-4.0717965652922787e-22,-1.1401650768277795e-21,-1.6686197509149382e-20,7.77549775799846e-18,2.351826346678844e-22,2.713152409173931e-22,-6.845877133832911e-18,1.8803676479708563e-20,-5.821283560841932e-23,2.1512248609637658e-07,1.7289853017677412e-07,1.7260830498750653e-07,1.6748397763796893e-07,9.43103661867552e-08,2.7859883412829994e-10,5.407022466198654e-09,6.348939966397982e-08,1.8941585142320272e-07,-2.593477952720323e-07,2.0811065197321616e-10,1.7089717692768187e-07,1.693120449833361e-07,1.585131945162382e-09,1.5851319451435787e-09,1.162635515597285e-11,7.53007262297744e-12,1.5098764326055294e-08,1.4360997876157349e-08,7.569228776769533e-10,16.675345263934144,0.24073154555967952,97.92567051290129,1.8335979415390309,0.9452107268826777,6.737803460864851e-05,0.03560582711751453,0.019116067965199147,-2.3969849246231156
9999,1050,101325.0,0.00030367711180354605,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289678097069772,0.0,0.0,0.019824041694636432,0.05020945231507523,1.7507366820373346e-07,0.00013825176018873001,0.000859175456910253,1.0939925438642614e-06,5.6965899868303456e-05,0.944139090254218,0.03669411869305349,1.6364705103886766e-06,6.991391418628098e-09,0.019082475031347124,1.031613328309714e-08,2.546481583838661e-05,2.0085617201272198e-07,2.4963873912607346e-14,3.067144301948066e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.212806211717874e-07,2.666307218276986e-07,2.2103868234927086e-10,1.7454930382722553e-07,-1.7775381455434471e-07,1.381216677413905e-09,6.532815017978155e-18,2.6739275045266657e-19,-4.559833126698565e-22,5.445950357895996e-22,-4.3848262660067796e-20,-1.1192693365018323e-17,-3.92190239100972e-22,5.922613185879677e-22,3.884001440631635e-18,5.520597204324313e-19,3.67061396820406e-23,2.212806211717874e-07,1.7775381455434471e-07,1.7745179644557747e-07,1.7211909237261546e-07,9.651348260105057e-08,2.900766422583662e-10,5.626988959267082e-09,6.580239436512294e-08,1.941315636988216e-07,-2.666307218276986e-07,2.2103868234927086e-10,1.7593052051172426e-07,1.7454930382722553e-07,1.3812166779659647e-09,1.381216677413905e-09,1.1941466552728812e-11,7.733222506403484e-12,1.5437937588214852e-08,1.4677914111161327e-08,7.796981661126228e-10,14.0824543089747,0.24870204098054324,98.19721971778922,1.554078241230232,0.9441649132793246,5.696745793520028e-05,0.03669512230910758,0.01908299695363264,-2.482412060301508
9999,1050,101325.0,0.00036969127071950173,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289728695715213,0.0,0.0,0.01985199620918416,0.050176090446317885,1.5128749486243287e-07,0.00011651304817019666,0.0008816037016892858,7.757356225014653e-07,4.794404311935305e-05,0.9432345656251172,0.03763569554405855,1.6522553905410955e-06,7.1631809548905995e-09,0.019053903807759516,1.0565218789995324e-08,2.598945547487015e-05,2.0042264017614324e-07,1.7675665362357427e-14,3.1118022270062845e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.265832398483183e-07,2.72894302098467e-07,2.3252799850591723e-10,1.790798764669311e-07,-1.819295347310984e-07,1.1923011339514924e-09,-7.711757287946654e-19,1.0377477092845263e-19,-3.2280723404881905e-22,-1.8952775785121247e-21,1.1874538938481848e-19,2.5949383734727525e-18,4.135741504051749e-23,-3.1763735522036263e-22,-1.9964407334515943e-18,-4.7269856489802175e-20,-5.893661864440322e-23,2.265832398483183e-07,1.819295347310984e-07,1.8161724936781088e-07,1.7610317447197326e-07,9.839628341811147e-08,3.000734011142475e-10,5.818452665194089e-09,6.780607483466695e-08,1.9817039536263284e-07,-2.72894302098467e-07,2.3252799850591723e-10,1.8027217760006413e-07,1.790798764669311e-07,1.1923011339042228e-09,1.1923011339514924e-09,1.221196205447304e-11,7.907593812236848e-12,1.5727176478201462e-08,1.4947990201205754e-08,7.993058328624732e-10,11.839629831071424,0.2556242435827153,98.43364725297899,1.3107285034382992,0.9432608740952398,4.794538036299523e-05,0.037636745269766084,0.019054435254631075,-2.5678391959798983
9999,1050,101325.0,0.0004500557675700489,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289772291632068,0.0,0.0,0.019875992474253538,0.05014747819941938,1.296607576140615e-07,9.778518566636382e-05,0.0009008396517004348,5.456649955889419e-07,4.01935173620984e-05,0.9424592019943584,0.03844282167637157,1.6655607639451768e-06,7.310097058367161e-09,0.019029431710098632,1.0778116572439088e-08,2.6435905249516142e-05,2.0005147688733e-07,1.2417907814200113e-14,3.149609282870994e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3111339668615012e-07,2.782398028380005e-07,2.426084227087764e-10,1.8296599600347676e-07,-1.8549320189668726e-07,1.0209945272553493e-09,-4.7902657930211365e-18,-1.0546221937806082e-18,-4.268251960773623e-22,1.3853207308731833e-21,-1.672734644882614e-18,-1.8951303403630902e-18,-8.921595270781895e-23,5.0954325733266505e-22,9.538667354855506e-18,-1.2736927072091518e-19,-1.0339757656912844e-24,2.3111339668615012e-07,1.8549320189668726e-07,1.8517206354796237e-07,1.7950163692965836e-07,9.999452120113807e-08,3.0869591619323474e-10,5.983508814502177e-09,6.952643651674447e-08,2.0160510848547315e-07,-2.782398028380005e-07,2.426084227087764e-10,1.8398699052581445e-07,1.8296599600347676e-07,1.02099452712798e-09,1.0209945272553493e-09,1.2442434204358267e-11,8.056154199544239e-12,1.5972244180477016e-08,1.5176689654254814e-08,8.160531146261069e-10,9.916034829956525,0.261582009711724,98.6375749224253,1.1008430678629708,0.9424859225087013,4.019465692490907e-05,0.03844391160362339,0.019029971230750422,-2.6532663316582905
9999,1050,101325.0,0.0005478901179593933,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.92898095596552,0.0,0.0,0.019896440422743567,0.050123115680800856,1.1034878772255905e-07,8.177729803311177e-05,0.0009172190633371225,3.8122077770938976e-07,3.358451085915709e-05,0.9417992733720204,0.039129784810420704,1.6767259759358582e-06,7.434889439074899e-09,0.01900861709448464,1.095886677364436e-08,2.6813542061887688e-05,1.9973591027296452e-07,8.666546444957626e-15,3.1814502014973555e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3495798416213942e-07,2.8277222427919996e-07,2.513565919373482e-10,1.862753851316918e-07,-1.8851481617592148e-07,8.683589322322393e-10,-3.5081473206949436e-18,-2.2842096307284327e-19,7.13133085597279e-22,-6.550236475654287e-22,-2.554985944089702e-19,1.9099692988078012e-17,5.2756674739837125e-22,-1.1580528575742387e-22,-1.493454753969548e-17,-1.7348138454587285e-19,-8.592338612894575e-23,2.3495798416213942e-07,1.8851481617592148e-07,1.8818610644402637e-07,1.823819890780722e-07,1.0134354951230913e-07,3.1607215380315517e-10,6.1246451627907505e-09,7.099249785710999e-08,2.045087468976738e-07,-2.8277222427919996e-07,2.513565919373482e-10,1.8714374406024238e-07,1.862753851316918e-07,8.683589320587577e-10,8.683589322322393e-10,1.2637578347472552e-11,8.18193531350773e-12,1.6178768806757458e-08,1.5369326127530804e-08,8.302621928877248e-10,8.278093666287754,0.26667038382521996,98.81206629074687,0.9212633254279172,0.9418263416609495,3.358547611286792e-05,0.03913090944106221,0.019009163421875416,-2.7386934673366827
9999,1050,101325.0,0.0008119844993184008,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289867929517132,0.0,0.0,0.019928346077063442,0.050085136833165664,7.85882252582429e-08,5.670847817491537e-05,0.0009427540143540133,1.830573034490948e-07,2.3263731601355395e-05,0.9407709864490734,0.04020019764409285,1.6938400718093025e-06,7.628874795060843e-09,0.018976210184994523,1.1239678103979116e-08,2.739773219630825e-05,1.9924482507554886e-07,4.155049256250388e-15,3.23045874683336e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4092811662513363e-07,2.8980287274191907e-07,2.6529663212564194e-10,1.9143539917504585e-07,-1.9320191514710122e-07,6.179613539925157e-10,6.686835014059764e-20,6.753102520882917e-21,-4.72526924920917e-23,-3.600303616137053e-22,-3.1366296886572127e-19,2.1003981872183286e-17,-3.035849783297645e-23,-1.3234889800848443e-22,-2.0796575225777206e-17,3.3002128296604714e-20,6.203854594147708e-25,2.4092811662513363e-07,1.9320191514710122e-07,1.9286134351981215e-07,1.8684782585477396e-07,1.0342522131145008e-07,3.276318391771453e-10,6.345712578636533e-09,7.327984030781248e-08,2.0899736942503e-07,-2.8980287274191907e-07,2.6529663212564194e-10,1.9205336052913827e-07,1.9143539917504585e-07,6.179613540255178e-10,6.179613539925157e-10,1.2939788425555446e-11,8.376714004364505e-12,1.649685352815248e-08,1.5665851460115988e-08,8.523185704664113e-10,5.724598564598674,0.2746314723882528,99.0856633222866,0.6397052053251437,0.9407985913521567,2.326441422557049e-05,0.04020137723251115,0.018976767001106617,-2.909547738693467
9999,1050,101325.0,0.0012033778407775856,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289909189750098,0.0,0.0,0.01995081128007188,0.05005842104307335,5.5032134678868474e-08,3.899015097333667e-05,0.0009607170277702773,8.649096660885054e-08,1.5990393698618978e-05,0.9400479855302312,0.0409528186797626,1.7056724042036791e-06,7.764927751048936e-09,0.01895344353963627,1.1436513150211243e-08,2.780543798160124e-05,1.988999950778587e-07,1.96122939590366e-15,3.2644847558929136e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.451108699960709e-07,2.9472305820496536e-07,2.753232942226494e-10,1.950659713805333e-07,-1.964820387981761e-07,4.3271041523142744e-10,-1.0972841889693954e-18,9.939402240437179e-21,-5.888491985611866e-23,1.1338578246570627e-21,-1.4148238399422488e-19,8.730580345586887e-18,-2.0669337114882166e-22,-3.705769144237564e-22,-7.489143339569087e-18,-1.2990716423780446e-20,-5.397353496908506e-23,2.451108699960709e-07,1.964820387981761e-07,1.961330816908013e-07,1.8997157027425032e-07,1.0487422353684213e-07,3.358061863688732e-10,6.5019557404618805e-09,7.4889987063375e-08,2.1212754485588893e-07,-2.9472305820496536e-07,2.753232942226494e-10,1.954986817946545e-07,1.950659713805333e-07,4.3271041521843683e-10,4.3271041523142744e-10,1.3150921147430546e-11,8.512783605577599e-12,1.6717828198101024e-08,1.5871727551472633e-08,8.677643513814539e-10,3.9282972229722697,0.28025288815705435,99.27928912608974,0.44045798575320716,0.9400759639363301,1.599086961658856e-05,0.04095403754795822,0.018954007646095183,-3.08040201005025
9999,1050,101325.0,0.001464971398307282,0.001,0.02,0.05,0.929,0.05,1050.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289924877286828,0.0,0.0,0.01995933369719388,0.05004829168854865,4.583737505736968e-08,3.225394986537125e-05,0.0009675279076896225,5.9190644368968666e-08,1.3229783798593425e-05,0.939773928050573,0.041238104006226316,1.7101151967699737e-06,7.816425457114027e-09,0.01894481784288376,1.1510993327235938e-08,2.7959331609125475e-05,1.9876938468540293e-07,1.3417545831857802e-15,3.277290739959943e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4669314204406393e-07,2.965830779278443e-07,2.79172566665372e-10,1.9644270549398424e-07,-1.9772205195359928e-07,3.605006632763476e-10,-6.082517538043835e-21,7.684507890617627e-20,-3.1210558487391425e-22,2.420330472330159e-21,-2.6406404803636966e-19,-2.7592098256808837e-18,6.456354707303787e-22,-6.61744490042422e-23,2.9489071555576684e-18,7.356220585010642e-22,-1.654361225106055e-24,2.4669314204406393e-07,1.9772205195359928e-07,1.973699068199917e-07,1.9115213852958494e-07,1.0542035029778171e-07,3.389144738328245e-10,6.5613492527414615e-09,7.550068245789273e-08,2.1330852623348293e-07,-2.965830779278443e-07,2.79172566665372e-10,1.9680320615725526e-07,1.9644270549398424e-07,3.6050066327708325e-10,3.605006632763476e-10,1.3230660038827224e-11,8.56417153628736e-12,1.680101919818834e-08,1.5949208516920163e-08,8.736055128432943e-10,3.247209231037752,0.2823889029135792,99.35295711973394,0.3646539773524698,0.9398020472252906,1.3230179649756141e-05,0.0412393379002693,0.018945384694790388,-3.165829145728642
