,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(13),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2_X(14),NHO_X(15),N2X(48),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],NO2(13) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NO2(13) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(10) ROP [kmol/m^2 s],N2O_X(11) ROP [kmol/m^2 s],H_X(12) ROP [kmol/m^2 s],NO2_X(14) ROP [kmol/m^2 s],NHO_X(15) ROP [kmol/m^2 s],N2X(48) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH3X + OHX <=> H2O_X(10) + NH2_X(8) ROP [kmol/m^2 s],NH2_X(8) + OHX <=> H2O_X(10) + NH_X(9) ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(10) + NX ROP [kmol/m^2 s],2 OHX <=> H2O_X(10) + OX ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2O_X(10) ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX + NX <=> N2O_X(11) + X(1) ROP [kmol/m^2 s],N2O_X(11) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X + X(1) <=> H_X(12) + NH2_X(8) ROP [kmol/m^2 s],NH2_X(8) + X(1) <=> H_X(12) + NH_X(9) ROP [kmol/m^2 s],NH_X(9) + X(1) <=> H_X(12) + NX ROP [kmol/m^2 s],H_X(12) + OX <=> OHX + X(1) ROP [kmol/m^2 s],H_X(12) + OHX <=> H2O_X(10) + X(1) ROP [kmol/m^2 s],NO2(13) + X(1) <=> NO2_X(14) ROP [kmol/m^2 s],NO2_X(14) <=> NO(5) + OX ROP [kmol/m^2 s],NOX + OX <=> NO2_X(14) + X(1) ROP [kmol/m^2 s],H_X(12) + NOX <=> NX + OHX ROP [kmol/m^2 s],H_X(12) + NO2_X(14) <=> NOX + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NHO_X(15) + X(1) ROP [kmol/m^2 s],NHO_X(15) + OX <=> NOX + OHX ROP [kmol/m^2 s],2 OHX <=> H2O(3) + OX + X(1) ROP [kmol/m^2 s],NH2_X(8) + NX <=> 2 NH_X(9) ROP [kmol/m^2 s],NHO_X(15) + NX <=> H_X(12) + N2O_X(11) ROP [kmol/m^2 s],NHO_X(15) + X(1) <=> H_X(12) + NOX ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> H_X(12) + OHX ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX Coverage,NOX Coverage,NX Coverage,X Coverage
999,500.0,101325.0,0.00013200884008314194,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289986249466552,0.0,0.0,0.01999552990704637,0.050008806938640585,2.960283997786953e-06,6.147562522530411e-12,0.0009940778893115453,2.8200891252112732e-11,6.245340996321482e-22,0.03745278991198276,0.009994987543185336,0.9479175956207171,1.3248713262659592e-09,3.222173598032385e-06,0.002615017853099202,3.927725050783403e-08,0.002015903058972557,3.098392432934319e-07,6.149699369385161e-18,1.328129048874721e-07,5.841081158801482e-10,6.679153948342278e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3961278658271463e-09,4.792237195747432e-09,1.597395522883668e-09,3.317279307476194e-15,-3.1948247986208784e-09,1.521745125172804e-14,3.3700414399670407e-25,-1.039145644519741e-23,-9.943100841939916e-21,1.1700044361396416e-20,7.64815333775558e-21,6.716617759477311e-19,-1.845724496736523e-18,4.182638767374384e-21,-1.8121115408192312e-20,1.1762876363999831e-18,-4.676682990512246e-26,9.975240809828319e-25,-1.6155871338926322e-27,2.3183011283441353e-21,0.0,2.3961278658271463e-09,3.1948247986208784e-09,3.1948243494970838e-09,4.9451330088108776e-20,6.389641454274848e-09,3.9362256005545055e-18,5.77278935907257e-20,1.2608856991390772e-16,6.555032763221141e-22,-1.2891163830852648e-16,1.597395522883668e-09,-3.5373993045539887e-10,2.391454486088825e-23,1.521745125166946e-14,1.521745125172804e-14,4.445159076410276e-16,1.1173736325958226e-21,8.014430622753694e-15,-4.438127762483244e-09,4.7470335971821155e-21,-3.3700414399670407e-25,3.3172792835616497e-15,-3.3906294104164523e-13,-3.537584641824147e-10,-3.4238022032554216e-13,1.0058516248644815e-18,-3.376394985191077e-21,7.635829365729215e-29,3.1948247978367372e-09,1.1812859885897915e-26,1.0069097069084687e-18,-4.792237066835793e-09,0.5922110688454715,99.99894353575093,0.00010383290218623738,0.0009526313468892927,0.01001521436095689,0.03752858297858868,0.9498358928058039,0.0026203098546505256
999,500.0,101325.0,0.00015343684089300132,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289988169487684,0.0,0.0,0.01999615407714762,0.0500075772039105,2.5469321019791786e-06,5.46961690155463e-12,0.0009949048083449789,2.4257013653378052e-11,6.16925390521097e-22,0.03744380271996082,0.009991889130746948,0.9479290908718244,1.3248364864604044e-09,3.224843476259808e-06,0.0026150088239699425,3.9299978075357366e-08,0.002016499751440632,3.098305544477926e-07,5.837331252500641e-18,1.328193426230561e-07,5.838023700168162e-10,6.67908286221621e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.396186116553283e-09,4.792353638867353e-09,1.5974342669394048e-09,3.430540396622429e-15,-3.194902426173363e-09,1.5213984229674894e-14,3.869352300109293e-25,-1.3700178895409518e-23,-2.4199862061433286e-21,1.1270217717260694e-21,1.4481815812402133e-21,3.378581720352513e-17,1.6501154724579432e-17,-5.4552561397872175e-22,-2.1139788183885432e-21,-5.0285858877953645e-17,-3.9294045213272446e-24,-2.750203880605841e-23,-1.9684919484523038e-25,1.4345027436229434e-21,0.0,2.396186116553283e-09,3.194902426173363e-09,3.1949019435468803e-09,4.9450348297564266e-20,6.389796640342397e-09,3.93939012964959e-18,5.775989479145211e-20,1.2612282998017075e-16,6.554701315552316e-22,-1.8041124150158796e-16,1.5974342669394048e-09,-3.537527678180405e-10,2.5879300396077547e-23,1.521398422573368e-14,1.5213984229674894e-14,4.449012752296598e-16,1.1180750514368172e-21,8.017199736975819e-15,-4.438231259277651e-09,4.747148890921616e-21,-3.869352300109293e-25,3.430540370743129e-15,-3.388941946530169e-13,-3.5377141133907925e-10,-3.4232473502395006e-13,1.0050045919172274e-18,-3.3764504323729008e-21,7.635443268827153e-29,3.194902392279763e-09,1.1812877430772292e-26,1.0069465277930999e-18,-4.792353458456111e-09,0.5095191655021163,99.99894023338753,0.00010737543672057733,0.0009523911757632719,0.010012115691504323,0.03751960013332201,0.9498479817941828,0.0026203023809907404
999,500.0,101325.0,0.0001783430876931913,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289989821446548,0.0,0.0,0.019996691104239437,0.05000651915764714,2.191290030041875e-06,4.848205903470497e-12,0.0009956162777147793,2.0865351958945517e-11,6.083935559743562e-22,0.03743607939041167,0.009989226361785744,0.9479389693462208,1.324806555794407e-09,3.2271405525644023e-06,0.002615001027770055,3.931952721280816e-08,0.002017012857373261,3.0982307545290946e-07,5.5687026788195306e-18,1.328248742967067e-07,5.835356262540142e-10,6.679021910243733e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.396236178910577e-09,4.792453608480065e-09,1.5974675592841773e-09,3.5343799978676708e-15,-3.1949690724332717e-09,1.5211004663839365e-14,4.435236575803079e-25,-3.4121200267812384e-24,-2.9138354571122227e-21,4.539968979104567e-21,2.5351643722827785e-21,-2.5244309733773744e-18,-1.4316742780394297e-18,2.031555584430236e-21,-6.890036658703503e-21,3.956461774743786e-18,3.0499886950741024e-25,1.4181825809701262e-25,1.5903435849255595e-26,3.4410287419220673e-22,0.0,2.396236178910577e-09,3.1949690724332717e-09,3.1949686257827533e-09,4.944950798901202e-20,6.3899300030727755e-09,3.94211277940764e-18,5.778742079298341e-20,1.2615229176222735e-16,6.55441657243139e-22,-1.2620113287731272e-16,1.5974675592841773e-09,-3.5376379815411363e-10,2.7680772647277243e-23,1.5211004664132547e-14,1.5211004663839365e-14,4.452328365625213e-16,1.1186783782739868e-21,8.019580863877002e-15,-4.438320195689091e-09,4.747247971255269e-21,-4.435236575803079e-25,3.5343799701868966e-15,-3.387438576495912e-13,-3.5378254253517094e-10,-3.4227823762023747e-13,1.0039458007331595e-18,-3.376498133677196e-21,7.635111577138794e-29,3.1949690748473148e-09,1.1812892725271067e-26,1.0069781841797515e-18,-4.7924534822789315e-09,0.438372228522073,99.99893719192488,0.00011062329290040112,0.0009521847821979838,0.01000945270182411,0.03751188054297644,0.9498583708329027,0.002620295922296691
999,500.0,101325.0,0.0002072921779595374,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289991242759278,0.0,0.0,0.019997153151738483,0.050005608835576656,1.8853026423319736e-06,4.2826840038988516e-12,0.0009962284118834367,1.7948411684987497e-11,5.988384305046846e-22,0.03742944111921921,0.009986937629793365,0.9479474598265686,1.32478083732934e-09,3.229116875736337e-06,0.002614994299975675,3.933634295907952e-08,0.0020174541168070425,3.0981663832382576e-07,5.3376749557943445e-18,1.3282962829201435e-07,5.833031206225359e-10,6.678969622558042e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.396279219578829e-09,4.792539615612417e-09,1.5974961777124509e-09,3.628898179149617e-15,-3.1950264107514603e-09,1.520844368487401e-14,5.07420974359633e-25,-1.0494854021766539e-23,5.535786446227919e-22,-5.273394534086278e-22,-3.0940664284552535e-22,9.540994456437732e-18,4.25549187264438e-18,-1.8611563782443125e-22,8.473654473926856e-22,-1.3796749999589686e-17,-1.0957751290062987e-24,3.8722594373530345e-24,-6.189718206726147e-26,-1.0659520486357175e-22,0.0,2.396279219578829e-09,3.1950264107514603e-09,3.1950259517479057e-09,4.9448788446816765e-20,6.390044653502377e-09,3.944455259200069e-18,5.781109837783327e-20,1.2617762939856527e-16,6.5541719263466415e-22,-1.43982048506075e-16,1.5974961777124509e-09,-3.5377327838268183e-10,2.932064711252544e-23,1.5208443683766418e-14,1.520844368487401e-14,4.455181045114417e-16,1.1191973517187223e-21,8.021628548434545e-15,-4.438396649526306e-09,4.7473331494996995e-21,-5.07420974359633e-25,3.628898149828971e-15,-3.386103349796439e-13,-3.537921147209058e-10,-3.4223923312991837e-13,1.0035222842595323e-18,-3.376539179138941e-21,7.634826593703072e-29,3.195026401102273e-09,1.1812906072766723e-26,1.0070054068306286e-18,-4.792539471630368e-09,0.37715881165633314,99.99893441301343,0.00011357959914743715,0.0009520073874264213,0.010007163780234894,0.037505245488394526,0.9498673003866936,0.0026202903446768317
999,500.0,101325.0,0.00024094035602395268,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289992465621899,0.0,0.0,0.01999755068608773,0.05000482561679129,1.6220386092421812e-06,3.771374991646004e-12,0.0009967550771106557,1.5439618816653912e-11,5.881615828158857e-22,0.037423734677915536,0.00998497013244287,0.9479547583591418,1.3247587344170754e-09,3.230817229516786e-06,0.0026149884969371576,3.93508078995801e-08,0.002017833612786303,3.098110982682031e-07,5.138974576637127e-18,1.328337145746288e-07,5.831006566504822e-10,6.678924749020125e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3963162191239177e-09,4.792613516881333e-09,1.597520775785624e-09,3.714368984895393e-15,-3.195075677409786e-09,1.5206242125911756e-14,5.792712594577376e-25,-9.977866138920895e-24,1.5086359697183653e-21,-1.321846431777392e-21,2.024527488889721e-21,-1.0146355564749507e-18,2.5576755412384637e-19,-3.477053704866652e-21,8.261305227256253e-21,7.553864398433577e-19,6.22474363091796e-26,1.1777781667371091e-23,-1.464125840090198e-27,-3.5180996758605244e-21,0.0,2.3963162191239177e-09,3.195075677409786e-09,3.195075228714411e-09,4.944817174686004e-20,6.390143206150014e-09,3.946470632707892e-18,5.783146591616767e-20,1.261994209334536e-16,6.553961668330171e-22,-1.2945373939476923e-16,1.597520775785624e-09,-3.537814259686252e-10,3.0803638960032675e-23,1.5206242125962192e-14,1.5206242125911756e-14,4.457635399409986e-16,1.1196437734346792e-21,8.023389566946233e-15,-4.438462365222996e-09,4.747406368075474e-21,-5.792712594577376e-25,3.714368954091753e-15,-3.38492103072334e-13,-3.5380034557607437e-10,-3.422064720270036e-13,1.0001341524705151e-18,-3.3765744817765628e-21,7.634581668255017e-29,3.1950756783194997e-09,1.1812917653821834e-26,1.0070288148152344e-18,-4.792613387427594e-09,0.3244922889344276,99.99893189217809,0.00011625292665139548,0.0009518548952436748,0.010005196119986197,0.03749954181417935,0.9498749765350492,0.0026202855307853753
999,500.0,101325.0,0.00028005038941836366,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289993517737908,0.0,0.0,0.01999789271327521,0.050004151757761496,1.3955337781075261e-06,3.3118061061919574e-12,0.0009972082048007236,1.3281769188916113e-11,5.762697756064098e-22,0.03741882868298022,0.009983278589643022,0.9479610330318521,1.3247397359226344e-09,3.2322801460514028e-06,0.002614983493541553,3.9363250965637545e-08,0.002018160007297251,3.098063305210677e-07,4.9680703704146006e-18,1.3283722739350145e-07,5.829245305568863e-10,6.67888622470114e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3963480341501136e-09,4.792677069588726e-09,1.5975419243000795e-09,3.791201032126622e-15,-3.1951180466957628e-09,1.5204349361326937e-14,6.596867382964046e-25,-1.576813042679209e-23,-5.761670845917506e-21,7.566622840401108e-21,5.482806449623182e-21,-1.804350691894276e-18,-1.356698627317623e-18,2.5034621238917386e-21,-1.0130016977618305e-20,3.161125627420166e-18,2.081046622409238e-25,2.4704346761135708e-24,1.0349855076499676e-26,2.7344750759794727e-22,0.0,2.3963480341501136e-09,3.1951180466957628e-09,3.195117598577204e-09,4.944764301361947e-20,6.390227944770672e-09,3.948204581855773e-18,5.78489866658942e-20,1.2621816382678084e-16,6.5537809510282185e-22,-1.2706849461530112e-16,1.5975419243000795e-09,-3.537884297719057e-10,3.2136807234795035e-23,1.5204349361523224e-14,1.5204349361326937e-14,4.459747049250796e-16,1.1200277974193834e-21,8.024904151999249e-15,-4.438518867402501e-09,4.747469323675504e-21,-6.596867382964046e-25,3.7912009999898146e-15,-3.3838771584257115e-13,-3.5380742431861183e-10,-3.4217891684323105e-13,1.0039458007331595e-18,-3.376604850803953e-21,7.63437115420711e-29,3.195118048389193e-09,1.1812927712438782e-26,1.0070489462634379e-18,-4.792676942520232e-09,0.279179519927647,99.99892962015063,0.0001186560550996407,0.0009517237942720317,0.010003504437201032,0.037494638199658085,0.9498815759850385,0.002620281378102438
9999,500.0,101325.0,0.00037834626171319327,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289995201752891,0.0,0.0,0.01999844016139145,0.05000307318021968,1.032990575089586e-06,2.535335768166241e-12,0.0009979334801602498,9.829157014778378e-12,5.485208932950975e-22,0.03741098318536515,0.009980573484353687,0.9479710670948148,1.3247093620226379e-09,3.23462165112996e-06,0.002614975465081212,3.938316317354924e-08,0.0020186822166149807,3.0979869693340184e-07,4.6946212153163934e-18,1.3284284444929117e-07,5.826385861507546e-10,6.678824722695165e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.396398920231346e-09,4.792778716864096e-09,1.5975757441961415e-09,3.921033767674114e-15,-3.195185812362227e-09,1.5201322462543962e-14,8.483172019586568e-25,-1.442396193139342e-23,-7.074842966415437e-21,6.128569345461401e-21,7.283769964560725e-21,2.9127627429091833e-19,-1.5338112313550271e-18,-1.1919672626889127e-21,-4.764615733162257e-21,1.2423534755394063e-18,-1.5777218104420233e-29,4.66298836519761e-25,-3.029225876048685e-28,-1.822262019442765e-22,0.0,2.396398920231346e-09,3.195185812362227e-09,3.195185361807277e-09,4.944680025274211e-20,6.3903634694615925e-09,3.9509798947867936e-18,5.787702472012153e-20,1.2624815216259329e-16,6.5534920399177485e-22,-1.2902005852577503e-16,1.5975757441961415e-09,-3.53799627380788e-10,3.438976068766435e-23,1.520132246253213e-14,1.5201322462543962e-14,4.463126936570669e-16,1.1206423405802906e-21,8.027327339515739e-15,-4.438609228346943e-09,4.747570010215083e-21,-8.483172019586568e-25,3.921033733284352e-15,-3.382150865735123e-13,-3.5381874873330006e-10,-3.421361203076447e-13,1.0035222842595323e-18,-3.3766534424646286e-21,7.634034607309315e-29,3.195185811963698e-09,1.1812943980720871e-26,1.007081152090997e-18,-4.792778587844038e-09,0.20665198397502427,99.9989257689314,0.0001227169247203397,0.0009515141438795478,0.010000799108174526,0.037486796511509296,0.9498921296696415,0.0026202747106747015
9999,500.0,101325.0,0.000439760360930273,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.928999587181006,0.0,0.0,0.019998657986975327,0.05000264402215343,8.887373097621076e-07,2.2114027980469006e-12,0.0009982220618882426,8.45581137995859e-12,5.325457825280731e-22,0.03740786391836542,0.00997949795486915,0.9479750564448344,1.324697288468192e-09,3.235553306437928e-06,0.0026149722638931358,3.93910846790944e-08,0.002018889925622958,3.097956588000111e-07,4.5858519389392284e-18,1.3284507754209564e-07,5.825233261643764e-10,6.678800305950967e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.396419154832256e-09,4.792819134819628e-09,1.5975891903918135e-09,3.975205234387593e-15,-3.195212756229557e-09,1.520011898704888e-14,9.573013040077822e-25,1.845646741758943e-23,2.7192817686705196e-20,-2.115887829175068e-20,-1.7714273969841297e-20,2.8130968705871863e-21,4.671353616882964e-19,-3.695429386580651e-21,3.425488676152721e-20,-4.793263592317978e-19,-9.466330862652142e-30,-1.0171332698204538e-23,-7.573064690121712e-28,-9.512378063201547e-21,0.0,2.396419154832256e-09,3.195212756229557e-09,3.1952123058274838e-09,4.9446466129809e-20,6.390417356772736e-09,3.9520841566130386e-18,5.788817892886931e-20,1.262600803592127e-16,6.553377201770502e-22,-1.3075478200175183e-16,1.5975891903918135e-09,-3.5380407831376537e-10,3.532982976681885e-23,1.5200118987037054e-14,1.520011898704888e-14,4.464471763605714e-16,1.1208868200442106e-21,8.028291147213603e-15,-4.438645156119076e-09,4.7476100452040385e-21,-9.573013040077822e-25,3.975205199057764e-15,-3.381443644799178e-13,-3.538232526342889e-10,-3.4211956967993217e-13,9.94204921839735e-19,-3.3766727690406125e-21,7.63390083459929e-29,3.195212756121984e-09,1.1812950510102736e-26,1.0070939608590269e-18,-4.792819004064846e-09,0.1777938111757445,99.99892415792527,0.0001244112845581474,0.0009514307901673755,0.009999723489777347,0.0374836787600482,0.9498963256993534,0.0026202720508209476
9999,500.0,101325.0,0.0005111433483440176,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289996448300492,0.0,0.0,0.019998845395412985,0.050002274791690456,7.646275640396156e-07,1.9254604871154257e-12,0.0009984703460833323,7.2744323171816535e-12,5.151313896777107e-22,0.03740518131536002,0.009978572981769716,0.9479784872997998,1.3246869063284073e-09,3.236354859910114e-06,0.002614969506713145,3.939789938218404e-08,0.002019068596378289,3.0979304456049965e-07,4.492286731535448e-18,1.3284699794782324e-07,5.824234410094656e-10,6.678779323439333e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3964365582699356e-09,4.792853895764636e-09,1.5976007542123813e-09,4.023026727116889e-15,-3.1952359292332616e-09,1.5199083976253237e-14,1.0763073885545435e-24,1.4527359507962551e-23,-1.4389494440560558e-20,9.356641685937419e-21,9.49611804467843e-21,-3.8638637663007473e-19,1.7265724382207096e-18,3.0605682664462024e-22,-1.4348416895574592e-20,-1.3354676681006471e-18,8.204153414298524e-29,-2.993390133935029e-23,-5.048709793414476e-29,4.876181075581345e-21,0.0,2.3964365582699356e-09,3.1952359292332616e-09,3.195235479103734e-09,4.9446179214344685e-20,6.390463702745416e-09,3.953034212811456e-18,5.789777468910093e-20,1.2627034111181629e-16,6.553278453192299e-22,-1.3162214373974024e-16,1.5976007542123813e-09,-3.5380790560296986e-10,3.6159725157683294e-23,1.5199083976241502e-14,1.5199083976253237e-14,4.465628796922048e-16,1.1210971410040123e-21,8.029120204947085e-15,-4.43867605518535e-09,4.7476444774022206e-21,-1.0763073885545435e-24,4.023026690957164e-15,-3.380825338971491e-13,-3.5382712670996066e-10,-3.421055605891825e-13,1.008604481943058e-18,-3.376689392701726e-21,7.633785804313323e-29,3.195235929510877e-09,1.1812956153357452e-26,1.0071049784472224e-18,-4.792853764142491e-09,0.1529653916667673,99.9989227338626,0.00012590703208560997,0.0009513591053079747,0.009998798440231531,0.037480997460848216,0.9498999343396326,0.0026202697592876928
9999,500.0,101325.0,0.0006905513520162345,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289997371015466,0.0,0.0,0.01999914535628845,0.050001683811413976,5.659808741391674e-07,1.4532009308587913e-12,0.0009988677430398814,5.383919636659226e-12,4.760612145877152e-22,0.03740088970683241,0.009977093205613777,0.9479839759000976,1.3246702994743104e-09,3.2376377940977296e-06,0.002614965087947558,3.940880557306174e-08,0.002019354506980233,3.097888596145699e-07,4.342558678504541e-18,1.3285007005131547e-07,5.822621141849898e-10,6.67874578671578e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.396464403111901e-09,4.792909507556526e-09,1.5976192538249413e-09,4.102014560734978e-15,-3.1952730044430394e-09,1.5197428156305654e-14,1.3437990525392743e-24,-1.41654679899706e-23,-3.448110852483364e-22,2.235030202153046e-21,1.6089200877306045e-21,-7.763689302312954e-20,8.518702994765104e-19,4.975491384506461e-22,-1.5174951202276583e-21,-7.754109256898304e-19,6.310887241768095e-30,-4.76714324823575e-24,1.1612032524853294e-27,-1.2824107371618871e-21,0.0,2.396464403111901e-09,3.1952730044430394e-09,3.1952725538180505e-09,4.9445721045670427e-20,6.390537851197314e-09,3.954554834505548e-18,5.791313171978178e-20,1.2628676074996695e-16,6.553120502016203e-22,-1.3108004265349746e-16,1.5976192538249413e-09,-3.5381402728669017e-10,3.7530523457725545e-23,1.5197428156293846e-14,1.5197428156305654e-14,4.467480709214882e-16,1.1214337377472926e-21,8.03044685726673e-15,-4.43872548895123e-09,4.747699565164824e-21,-1.3437990525392743e-24,4.1020145232044545e-15,-3.379815866511959e-13,-3.5383332572564857e-10,-3.420836011757453e-13,1.0024634930754643e-18,-3.3767159910222366e-21,7.633601810079829e-29,3.1952730044116987e-09,1.1812965234869222e-26,1.0071226079906834e-18,-4.7929093764764834e-09,0.11322569601185904,99.99892037798257,0.00012837759261669787,0.0009512444247990036,0.009997318541814897,0.03747670793895197,0.9499057074335934,0.0026202660856397687
