,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(13),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2_X(14),NHO_X(15),N2X(48),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],NO2(13) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NO2(13) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(10) ROP [kmol/m^2 s],N2O_X(11) ROP [kmol/m^2 s],H_X(12) ROP [kmol/m^2 s],NO2_X(14) ROP [kmol/m^2 s],NHO_X(15) ROP [kmol/m^2 s],N2X(48) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH3X + OHX <=> H2O_X(10) + NH2_X(8) ROP [kmol/m^2 s],NH2_X(8) + OHX <=> H2O_X(10) + NH_X(9) ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(10) + NX ROP [kmol/m^2 s],2 OHX <=> H2O_X(10) + OX ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2O_X(10) ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX + NX <=> N2O_X(11) + X(1) ROP [kmol/m^2 s],N2O_X(11) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X + X(1) <=> H_X(12) + NH2_X(8) ROP [kmol/m^2 s],NH2_X(8) + X(1) <=> H_X(12) + NH_X(9) ROP [kmol/m^2 s],NH_X(9) + X(1) <=> H_X(12) + NX ROP [kmol/m^2 s],H_X(12) + OX <=> OHX + X(1) ROP [kmol/m^2 s],H_X(12) + OHX <=> H2O_X(10) + X(1) ROP [kmol/m^2 s],NO2(13) + X(1) <=> NO2_X(14) ROP [kmol/m^2 s],NO2_X(14) <=> NO(5) + OX ROP [kmol/m^2 s],NOX + OX <=> NO2_X(14) + X(1) ROP [kmol/m^2 s],H_X(12) + NOX <=> NX + OHX ROP [kmol/m^2 s],H_X(12) + NO2_X(14) <=> NOX + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NHO_X(15) + X(1) ROP [kmol/m^2 s],NHO_X(15) + OX <=> NOX + OHX ROP [kmol/m^2 s],2 OHX <=> H2O(3) + OX + X(1) ROP [kmol/m^2 s],NH2_X(8) + NX <=> 2 NH_X(9) ROP [kmol/m^2 s],NHO_X(15) + NX <=> H_X(12) + N2O_X(11) ROP [kmol/m^2 s],NHO_X(15) + X(1) <=> H_X(12) + NOX ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> H_X(12) + OHX ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX Coverage,NOX Coverage,NX Coverage,X Coverage,Residence Time (s)
999,1000,101325.0,0.00012328467394420685,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9288289097073118,0.0,0.0,0.01907607592326668,0.051096534577012936,1.171017572794511e-06,0.0007344060707399849,0.00026265391308328244,1.6502393410624804e-07,8.376707822914183e-08,0.0021684633376755887,0.9528980858396312,0.0006122647229951021,5.499911094384378e-07,6.936863291438411e-09,0.04429814453530993,2.6093203365511816e-07,2.5134548811586813e-08,5.26474275801711e-07,1.6888911727657484e-14,4.011899209215037e-07,2.1270892790506988e-05,1.2828922419019e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6383762165005205e-07,5.573380066418444e-07,5.902390248504258e-10,3.701696139155139e-07,-3.715586710849732e-07,8.317856896998424e-11,4.2221909944505184e-11,-3.0835344191658544e-19,-1.898523919136441e-16,3.286217341603893e-19,-1.7949668298893405e-19,-1.185445223662361e-16,-4.550409223415871e-17,-1.241432663319584e-20,-1.2495597128379172e-22,1.6340556261636294e-16,-4.976008372389306e-22,2.5627378865872877e-19,1.9041028015546772e-16,1.389850837196618e-21,0.0,4.6383762165005205e-07,3.715586710849732e-07,3.7155805670593204e-07,1.5110644375571535e-07,5.916457653424345e-07,1.3678875495298064e-14,1.537078836894777e-12,8.139163160017647e-15,4.2742516144763215e-13,-2.077811013523334e-12,5.902390248504258e-10,3.699542204058798e-07,2.6116959025267652e-14,8.317856896514501e-11,8.317856896998424e-11,6.008187102396744e-13,2.0090319448348253e-11,4.797437088156241e-12,-5.52383728823379e-07,9.165238208822577e-14,-4.2221909944505184e-11,3.7016958779855494e-07,3.653235344812839e-07,-2.0938442776434943e-12,-4.888275417625838e-09,3.3870033437389006e-10,3.0226651375491613e-10,2.3224946370323867e-18,2.204306000495295e-07,4.341623449355866e-21,3.643382061324251e-11,-5.573359288285085e-07,73.73460869167175,0.3177458367053572,99.6374762972428,0.04477786605184149,0.9529200426081497,0.0021685133036145007,0.0006122788308572068,0.04429916525737855,-2.0909090909090917
999,1000,101325.0,0.00030538555088334185,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9288354697163196,0.0,0.0,0.019112965042259362,0.05105463378905682,2.6551664371742352e-06,0.0007031591697267888,0.00029083021195312997,2.3627648005193425e-07,5.062776692040594e-08,0.003245148761930032,0.9270343730682248,0.0014510138844897394,6.738851500774057e-07,1.178904508753319e-08,0.06824689555831903,3.4503188800528944e-07,7.100164709230394e-08,8.104350950477636e-07,4.626180380664203e-14,7.772915746823206e-07,1.9879269705670965e-05,2.2884662894533066e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1030720500369604e-06,1.327803616412285e-06,3.315069090410466e-09,8.779190640487352e-07,-8.852024109549293e-07,2.9499953180122093e-10,6.32105577821636e-11,-1.494561966238723e-17,9.719582690148552e-16,1.498852848392421e-17,-1.3844661416080899e-19,6.259286292955683e-17,-2.0455845676191357e-18,-1.5352472168984194e-20,3.606569509277142e-20,-7.373342228145505e-17,1.0037200838235091e-19,7.132447549799736e-20,-9.588369552480133e-16,-3.2148361582176343e-20,0.0,1.1030720500369604e-06,8.852024109549293e-07,8.852001496811296e-07,1.9438557627128025e-07,1.57535018144918e-06,3.0370471774646816e-14,2.49033668649397e-12,2.7588601331413986e-14,6.473016361149377e-13,-3.414024271619631e-12,3.315069090410466e-09,8.776642808454304e-07,6.727665003928641e-14,2.949995318832387e-10,2.9499953180122093e-10,2.2308407350000464e-12,4.0927562229219156e-11,2.0252426605469693e-11,-1.3138925383055985e-06,2.1835314248238087e-13,-6.32105577821636e-11,8.779189967720853e-07,8.642424870190411e-07,-7.626169089045847e-12,-1.3739719351989469e-08,6.053661500847376e-10,5.082400686537524e-10,3.517234627484515e-18,6.907734167221558e-07,1.835424258023103e-20,9.712608144477932e-11,-1.327800202384496e-06,70.91697880468702,0.7490503381992939,99.18429358524908,0.06665607655162861,0.9270552955261371,0.0032452220024595775,0.0014510466327651112,0.06824843583863813,-2.4848484848484853
999,1000,101325.0,0.00041320124001153433,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9288349806226248,0.0,0.0,0.019111351050968742,0.05105788379973037,3.754691225694766e-06,0.000703058303768528,0.0002886454625874853,2.831509060849132e-07,4.2918188419760407e-08,0.0038040847586375795,0.9147055365123764,0.0020071022170414753,7.226263733966675e-07,1.3591356842398569e-08,0.0794604975315841,3.612873918504603e-07,1.0286495255229801e-07,9.436572130005737e-07,6.993822523445986e-14,9.829356902364715e-07,1.965198921534322e-05,2.809713175940754e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.495218742814949e-06,1.8021175059986084e-06,6.342908176631605e-09,1.1876966714212498e-06,-1.2014116713265352e-06,4.783349919477247e-10,7.250292063441204e-11,1.788910899172783e-17,7.0692054558601995e-15,-1.7915636382169392e-17,-1.2092550631509986e-17,1.7714109089842794e-14,7.874899191941119e-15,7.178604227980195e-20,-5.1896277655811265e-21,-2.556757958052948e-14,-9.065389763528698e-19,-1.2830954346681646e-17,-7.064849185471601e-15,5.813270248657824e-21,0.0,1.495218742814949e-06,1.2014116713265352e-06,1.201408076833129e-06,2.0083663582401788e-07,2.201162904976997e-06,3.894307339747072e-14,2.7962722282076948e-12,4.22115055031911e-14,7.465815786942902e-13,-3.945928653270592e-12,6.342908176631605e-09,1.1874976188503555e-06,9.456357134225297e-14,4.783349910100148e-10,4.783349919477247e-10,3.5378362236417844e-12,4.9897373882431604e-11,3.341324151569092e-11,-1.7819984596040195e-06,2.9635268788741515e-13,-7.250292063441204e-11,1.1876965768576784e-06,1.1678885900338e-06,-1.2266111048359238e-11,-1.9880482679663837e-08,7.376173245671735e-10,6.018177651595754e-10,4.0566907826084634e-18,1.0005223241422258e-06,3.1170975605282354e-20,1.357995593706136e-10,-1.8021135600658985e-06,71.13545374125147,1.0559729341490716,98.86439343552121,0.07963363032971557,0.9147263730464632,0.0038041714137835017,0.0020071479378249314,0.07946230760192836,-2.616161616161617
999,1000,101325.0,0.0013848863713938743,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.928827622033209,0.0,0.0,0.01908497108133012,0.05110608491788033,1.7830768852017175e-05,0.0007065686015619799,0.0002562394302112983,6.617113964916968e-07,2.1455558777070403e-08,0.00746874156541185,0.8367863811518788,0.00800747116349722,9.457437620276258e-07,2.203439436733645e-08,0.1477127989039972,3.642891768885201e-07,4.8534299138836e-07,1.7558641541285518e-06,4.3860597228303004e-13,2.605176159151368e-06,1.8428698898382114e-05,6.523995626089249e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.159885321346667e-06,6.315186678609875e-06,1.0095787991355204e-07,4.00059422952228e-06,-4.210124446580172e-06,3.7466124204596665e-09,1.2148151734842956e-10,6.11559839325524e-17,8.217987581150325e-14,-6.121413290792119e-17,2.2028233549046783e-16,-1.6683164511628944e-13,-7.47618926402044e-14,7.623296525288702e-20,-4.0199199331760156e-19,2.4128855994922627e-13,1.7528945660830654e-17,2.1818276996026211e-16,-8.233087508357454e-14,3.686892882659104e-19,0.0,5.159885321346667e-06,4.210124446580172e-06,4.21010032666022e-06,1.852539208208679e-07,8.233024399479396e-06,1.0720091862667642e-13,3.690037889175812e-12,2.377951583082161e-13,1.3066595137956558e-12,-6.13891923406662e-12,1.0095787991355204e-07,4.0027526734751065e-06,4.0041384669445113e-13,3.746612437699865e-09,3.7466124204596665e-09,2.4179550678738718e-11,9.352672742873437e-11,2.5520916361929865e-10,-6.2234480748219e-06,1.038514314109486e-12,-1.2148151734842956e-10,4.000593829108434e-06,3.90995642195914e-06,-9.132493363261773e-11,-9.075880633576694e-08,1.618242799527117e-09,1.1077859161464211e-09,7.099979099231028e-18,4.024773475825556e-06,2.887470778138791e-19,5.104568827232598e-10,-6.315180539683541e-06,74.37605697887015,4.7960951465909485,95.02591865103129,0.17798620237776902,0.836806972641148,0.007468925354865482,0.00800766820991223,0.14771643379407434,-3.141414141414142
999,1000,101325.0,0.0018738174228603867,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9288269119657184,0.0,0.0,0.019088851586851127,0.051111028592863636,2.5808370321604695e-05,0.0006936669525897072,0.000252917404710576,7.97458605421829e-07,1.7668339440410386e-08,0.00870269893108355,0.8086309114943097,0.011205916415850376,1.0031734744299271e-06,2.5082270748680986e-08,0.17143534650894798,3.5867637977371936e-07,7.146505665949324e-07,2.038051545922898e-06,6.83660851911555e-13,3.31498817055224e-06,1.7671946731453115e-05,7.998576997696826e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.9517311511843126e-06,8.58292224653018e-06,1.9771708770588488e-07,5.314160046949102e-06,-5.721948164098214e-06,6.1093045072842325e-09,1.353565817542316e-10,1.5409563182245866e-16,1.7549677285834737e-14,-1.5415396315639063e-16,1.1131892652216811e-17,-6.176867188551484e-15,-2.5802588689803622e-15,-1.3552527156068802e-20,-1.0116451978748029e-18,8.873192703671623e-15,2.154612762617912e-18,7.389991887879347e-18,-1.7686359011519667e-14,1.0181555228859015e-18,0.0,6.9517311511843126e-06,5.721948164098214e-06,5.72190885737326e-06,1.76261682269666e-07,1.12651414720484e-05,1.4156913934858767e-13,3.8537944853221466e-12,3.6291563267836107e-13,1.4856692568473929e-12,-7.246512417902195e-12,1.9771708770588488e-07,5.31829346250845e-06,5.754292401896333e-13,6.109304508943434e-09,6.1093045072842325e-09,3.91713326830797e-11,1.068741740998495e-10,4.201998525450456e-10,-8.450848847815079e-06,1.4114370964093792e-12,-1.353565817542316e-10,5.314159471519861e-06,5.1836426284232216e-06,-1.4933250422519422e-10,-1.3065218199203667e-07,1.96189549637538e-09,1.2620917118491926e-09,8.072662052086079e-18,5.545575760036846e-06,4.954102608825078e-19,6.998037830126219e-10,-8.58291500000969e-06,74.7082595289424,6.910994593241758,92.87546103935831,0.21354436739992574,0.8086512301905878,0.008702917606246554,0.011206197990062958,0.17143965421310267,-3.2727272727272734
999,1000,101325.0,0.002535364493970117,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9288273246679352,0.0,0.0,0.019101459476534608,0.05110879328679937,3.645481465615495e-05,0.0006705937850848037,0.0002544228611137824,9.367443502476691e-07,1.4363525890869218e-08,0.010005349101681386,0.77651722319029,0.015491770570521328,1.0585287431751229e-06,2.894409036502235e-08,0.19795995907525907,3.536693639668949e-07,1.046918567924001e-06,2.3532775714062358e-06,1.0422815270788403e-12,4.200535265163369e-06,1.665609015964671e-05,9.744423163635094e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.275423244609323e-06,1.1589696960459247e-05,3.778779097049916e-07,6.951138980972397e-06,-7.726464614004334e-06,9.70996516212862e-09,1.4888689307768337e-10,-2.1116509868353784e-16,-1.7439771907959813e-12,2.1108226320291402e-16,1.3029056861751563e-15,-7.426364545133986e-13,-3.2838485823269946e-13,-4.743384504624082e-20,2.5935991680610287e-18,1.0731959669148255e-12,-1.4947735673112202e-16,1.3090834907508904e-15,1.7393401144946103e-12,-2.546058409920616e-18,0.0,9.275423244609323e-06,7.726464614004334e-06,7.726401956793005e-06,1.668977434954984e-07,1.5282844269581486e-05,1.89346871695058e-13,4.009660782908022e-12,5.498289405181735e-13,1.677090586478118e-12,-7.258624257211466e-12,3.778779097049916e-07,6.958383197523676e-06,8.219427467430179e-13,9.709965011816891e-09,9.70996516212862e-09,6.321050091136309e-11,1.2168627637639506e-10,6.870172375991801e-10,-1.1402199719583086e-05,1.905893042526921e-12,-1.4888689307768337e-10,6.951138159029649e-06,6.765861262000541e-06,-2.4093728245453985e-10,-1.8542752326230046e-07,2.37543719839705e-09,1.4239223156680024e-09,9.112785683144279e-18,7.559441917208179e-06,8.343687717975876e-19,9.515148844407373e-10,-1.1589689701825874e-05,74.55771388862176,9.78158210933847,89.96706998417416,0.25134790648738076,0.7765371786910461,0.010005606226373021,0.015492168689236663,0.19796504639334425,-3.404040404040405
999,1000,101325.0,0.003430469286314926,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.928829083767572,0.0,0.0,0.019124250551219343,0.05109790958581794,4.9992700913140555e-05,0.0006359409904987352,0.000261743673344164,1.067224974545884e-06,1.1505660061301736e-08,0.011322801567159152,0.7403623397665391,0.02110245686858236,1.1101468815793374e-06,3.3955285828072085e-08,0.2271860028947436,3.501270104112541e-07,1.52309683867218e-06,2.7001312637166816e-06,1.546315001196408e-12,5.294438120166777e-06,1.5386888252048762e-05,1.1777690551652243e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2230948979391928e-05,1.5527411109899696e-05,7.011573278398379e-07,8.919195309413769e-06,-1.0351607395477362e-05,1.4968037184214622e-08,1.613690610453774e-10,-9.251582370509128e-17,-3.0644078328196625e-13,9.249449774512792e-17,6.401259544875872e-16,-3.1811939168651043e-13,-1.4167009579346687e-13,1.5246593050577403e-20,8.824114620531931e-20,4.598532081419623e-13,-1.8826842499943723e-17,6.442734825932365e-16,3.0511146841878277e-13,-6.490121124636997e-20,0.0,1.2230948979391928e-05,1.0351607395477362e-05,1.0351506030106596e-05,1.5753151224453022e-07,2.0541554147196106e-05,2.560273022306325e-13,4.163036879069352e-12,8.258177967189145e-13,1.877535056853054e-12,-9.216002960776848e-12,7.011573278398379e-07,8.93107033379803e-06,1.1626999688613847e-12,1.496803716401409e-08,1.4968037184214622e-08,1.0142746285439434e-10,1.3825143458409635e-10,1.1143126217187251e-09,-1.5265902258495114e-05,2.5534391340468558e-12,-1.613690610453774e-10,8.919194146713804e-06,8.660872269905816e-06,-3.8247201928318283e-10,-2.584835509805008e-07,2.8722148417786e-09,1.5900398859584286e-09,1.0201938240330976e-17,1.0193933786880746e-05,1.3736934695936316e-18,1.282174954511379e-09,-1.5527401893886533e-05,73.8256326655836,13.547041160565971,86.16376181078407,0.28919702864997493,0.7403818850360873,0.01132310048459023,0.02110301396500052,0.22719200051432206,-3.5353535353535364
999,1000,101325.0,0.004641588833612792,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9288324162854285,0.0,0.0,0.01915830791972586,0.05107687912392448,6.624879604275937e-05,0.0005890775233993078,0.0002758871421411691,1.1741415240929909e-06,9.067813900247379e-09,0.012587668357217727,0.7002953748887712,0.02825689880482263,1.1562049418581819e-06,4.05440237109881e-08,0.2588327125212085,3.4858044581254647e-07,2.1961949178095e-06,3.074989875994636e-06,2.2225101605326104e-12,6.62960168063193e-06,1.3899168876756858e-05,1.4099481661538444e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.590406430387947e-05,2.0606761750515773e-05,1.25718281579273e-06,1.117874090973979e-05,-1.3737841159092e-05,2.228131877864556e-08,1.7207706759495173e-10,-2.604666215999723e-16,-1.3758217339052294e-13,2.605933464397928e-16,5.352643393787486e-16,-2.337194607283213e-13,-1.048047350402266e-13,7.453889935837842e-20,4.2321008592826045e-18,3.3816295159724374e-13,-5.324558294281388e-18,5.415071573280492e-16,1.3687175875584027e-13,-4.2170482400856716e-18,0.0,1.590406430387947e-05,1.3737841159092e-05,1.3737679555541764e-05,1.4834565463925366e-07,2.7321918471648066e-05,3.4884717806345503e-13,4.316550546726277e-12,1.227399768189234e-12,2.0820093020679983e-12,-1.1025368118477983e-11,1.25718281579273e-06,1.1197132669241161e-05,1.6217037065625718e-12,2.2281318771118987e-08,2.228131877864556e-08,1.614884225196755e-10,1.5681147027836797e-10,1.7902326578039653e-09,-2.024991348023434e-05,3.3887242750282653e-12,-1.7207706759495173e-10,1.1178739288036083e-05,1.0826485320431039e-05,-5.957016937998645e-10,-3.524261815443963e-07,3.4660712528193287e-09,1.7558528780556618e-09,1.1312987333206314e-17,1.3589334610151308e-05,2.202013577642929e-18,1.710218376778702e-09,-2.0606750725136335e-05,72.41128578588308,18.302709133879326,81.3729080543276,0.3243828117930845,0.7003145252891859,0.012588012581809194,0.028257671522944144,0.2588397906060609,-3.666666666666668
999,1000,101325.0,0.006280291441834273,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9288375738137492,0.0,0.0,0.01920424180029929,0.051044045526242254,8.444378053734929e-05,0.000530478717225605,0.00029796681559313343,1.242519940358791e-06,7.026412873652633e-09,0.013724477401257916,0.6567600734851184,0.03710861149013138,1.194823507052071e-06,4.9240593904069793e-08,0.2923781502128618,3.492828943165556e-07,3.1310009293694805e-06,3.471284224955277e-06,3.0822990049400088e-12,8.234417489329706e-06,1.2257191025149185e-05,1.6688427795238417e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0342281549429278e-05,2.703160589429139e-05,2.168197498781393e-06,1.362068980102844e-05,-1.8021070533320133e-05,3.190322097308602e-08,1.8041167377016846e-10,-7.096583645417396e-17,-7.206281250566797e-13,7.060451783439507e-17,4.759593947244631e-15,-1.831995104553745e-12,-8.189328731746277e-13,-2.0667603913004926e-19,3.672665376123192e-19,2.6489206554881188e-12,-9.344871138248367e-18,4.76244099893185e-15,7.131233270895123e-13,-3.606093880424924e-19,0.0,2.0342281549429278e-05,1.8021070533320133e-05,1.8020817527071105e-05,1.39400390942351e-07,3.5895549887992285e-05,4.76801411879809e-13,4.469636465759698e-12,1.8005226058152952e-12,2.2836103590598455e-12,-1.0826922691720142e-11,2.168197498781393e-06,1.3647697665555847e-05,2.2184525014826933e-12,3.190322096031838e-08,3.190322097308602e-08,2.5436144272101315e-10,1.774873868765769e-10,2.841666599783613e-09,-2.6557452311178715e-05,4.445272504693613e-12,-1.8041167377016846e-10,1.362068758257594e-05,1.315315627568929e-05,-9.074536119486522e-10,-4.677124316837471e-07,4.1690275501575155e-09,1.9152220630738453e-09,1.2408424418220499e-17,1.7881490017349753e-05,3.422773623841744e-18,2.2538054840215063e-09,-2.703159506735629e-05,70.20331844068667,24.063155033132926,75.58277567531816,0.3540692915489194,0.6567789147715399,0.01372487113227194,0.037109676070647184,0.292386538025541,-3.7979797979797993
999,1000,101325.0,0.015556761439304725,0.001,0.02,0.05,0.929,0.05,1000.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9288664429320524,0.0,0.0,0.01940764631228996,0.050858789935667316,0.00013160770869354547,0.00031184493136144416,0.0004225374673597227,1.1277069805125211e-06,3.005594928816216e-09,0.015704184445457927,0.516509322023215,0.07291123947678181,1.2517749140682587e-06,9.390546070531774e-08,0.39483867443313786,3.639949151114722e-07,8.16545683523316e-06,4.670742029766605e-06,6.412589817018369e-12,1.4686724916871964e-05,7.346762462933794e-06,2.5346018877317854e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.749082116868346e-05,5.5076196076554006e-05,8.370249226144887e-06,1.9833334245089005e-05,-3.671746388845805e-05,7.1722154099682e-08,1.9115576295571327e-10,1.708295915673575e-16,-5.806281633464964e-13,-1.7049940314358102e-16,1.696552074330481e-14,-4.834394170864251e-12,-2.1711186451098263e-12,-6.776263578034403e-21,-2.9904514746425325e-18,6.990755592261488e-12,6.341553034613695e-17,1.6972149935999027e-14,5.613841500054494e-13,2.8131568908703667e-18,0.0,3.749082116868346e-05,3.671746388845805e-05,3.6716582598110446e-05,1.1423128493323054e-07,7.330345522242906e-05,1.1646129113879541e-12,4.8793721841758835e-12,5.02974055731648e-12,2.778848183961753e-12,-1.5918946716375615e-11,8.370249226144887e-06,1.989563442497677e-05,4.7347010191356245e-12,7.172215415288386e-08,7.1722154099682e-08,8.849601288563468e-10,2.4974340836155657e-10,1.0064781476989954e-08,-5.417726506437635e-05,9.057128471795034e-12,-1.9115576295571327e-10,1.9833329510387988e-05,1.8953132533224988e-05,-2.687187248999926e-09,-8.803886943101042e-07,6.926504347078837e-09,2.277703601106663e-09,1.5099391856609883e-17,3.6602982815138456e-05,1.0213664468755282e-17,4.648800732945352e-09,-5.50761801575922e-05,57.74625326402773,45.59297371029593,54.016353778293244,0.3906725114108318,0.5165282164298183,0.0157047589195935,0.07291390663988204,0.39485311801070627,-4.191919191919192
