,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2(20),X(1),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H_X(19),H2X(33),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],NO2(8) ROP [kmol/m^3 s],H2(20) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NO2(8) surface ROP [kmol/m^2 s],H2(20) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],H2OX(9) ROP [kmol/m^2 s],NOX(10) ROP [kmol/m^2 s],OX(11) ROP [kmol/m^2 s],NX(12) ROP [kmol/m^2 s],OHX(13) ROP [kmol/m^2 s],NH3X(14) ROP [kmol/m^2 s],NH2X(15) ROP [kmol/m^2 s],NHX(16) ROP [kmol/m^2 s],N2OX(17) ROP [kmol/m^2 s],NO2X(18) ROP [kmol/m^2 s],H_X(19) ROP [kmol/m^2 s],H2X(33) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(11) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X(14) ROP [kmol/m^2 s],NH3X(14) + OX(11) <=> NH2X(15) + OHX(13) ROP [kmol/m^2 s],NH2X(15) + OX(11) <=> NHX(16) + OHX(13) ROP [kmol/m^2 s],NHX(16) + OX(11) <=> NX(12) + OHX(13) ROP [kmol/m^2 s],NH3X(14) + OHX(13) <=> H2OX(9) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + OHX(13) <=> H2OX(9) + NHX(16) ROP [kmol/m^2 s],NHX(16) + OHX(13) <=> H2OX(9) + NX(12) ROP [kmol/m^2 s],2 OHX(13) <=> H2OX(9) + OX(11) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(9) ROP [kmol/m^2 s],2 NX(12) <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX(12) + OX(11) <=> NOX(10) + X(1) ROP [kmol/m^2 s],NOX(10) <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX(10) + NX(12) <=> N2OX(17) + X(1) ROP [kmol/m^2 s],N2OX(17) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X(14) + X(1) <=> H_X(19) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + X(1) <=> H_X(19) + NHX(16) ROP [kmol/m^2 s],NHX(16) + X(1) <=> H_X(19) + NX(12) ROP [kmol/m^2 s],H_X(19) + OX(11) <=> OHX(13) + X(1) ROP [kmol/m^2 s],H_X(19) + OHX(13) <=> H2OX(9) + X(1) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX(11) Coverage,NOX(10) Coverage,NX(12) Coverage,X Coverage
999,1000.0,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1000.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288073536481066,0.0,0.0,0.018934575784731608,0.05148338261242418,0.00014192683097032804,0.0005456247100438488,3.95856902433875e-06,8.317784469907995e-05,0.0,0.0,0.00012426738142684872,1.4881453618056934e-09,5.815927963890059e-05,0.9945036725212796,0.0053138481977200005,3.9374540767913915e-08,1.75600347711957e-13,1.6391512367292161e-12,1.0730961521104393e-08,2.4770283494078654e-12,0.0,1.0219952194492472e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.24620551866141e-11,1.0199061325992708e-10,9.690506408312358e-12,3.725426483738159e-11,-6.799374218016647e-11,5.679232263243919e-12,0.0,0.0,-1.2916244319256533e-20,1.0321576796196296e-20,4.991207816144968e-21,2.1400713410395363e-22,7.057530835696573e-23,-1.6944696666520508e-22,7.536549551414197e-25,-7.007056990625637e-26,-2.673110082060402e-23,-2.6817195458969157e-21,0.0,1.960884386874797e-22,0.0,7.24620551866141e-11,6.799374218016647e-11,6.799350572704022e-11,6.786607987644922e-11,3.6584824347011396e-11,2.3340560260019927e-16,1.2575332571698696e-13,3.1397915283198894e-11,7.046530334370099e-11,-1.0199061325992708e-10,9.690506408312358e-12,4.2933497102935e-11,3.725426483738159e-11,5.679232260562199e-12,5.679232263243919e-12,3.047522883967443e-18,1.9089779995426158e-15,1.1002549982199572e-14,1.1506663279335311e-14,1.4079120292024047e-15,99.60414309756612,28.504112577266984,54.79072579721754,16.705161625515476,0.9945037248520006,5.815928269923824e-05,0.00531384847733436,0.00012426738796579055
999,1000.5384615384617,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1000.5384615384617,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288071389774016,0.0,0.0,0.018932936348758502,0.051483371015898456,0.00014052306528165986,0.0005493565501614639,3.958366391480497e-06,8.271567610677729e-05,0.0,0.0,0.0001243852017089973,1.4879118149183318e-09,5.78119006673436e-05,0.9945721780008892,0.005245567205512989,4.341030243799828e-08,1.7516064893860366e-13,1.6312115505247112e-12,1.1665408939970228e-08,2.455103412193906e-12,0.0,1.1233369829113014e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.25736941221179e-11,1.0199063393091912e-10,9.594662052622057e-12,3.7509076754323033e-11,-6.79937559531038e-11,5.6476775293693794e-12,0.0,0.0,-2.9807220728801066e-20,-1.2634175578125794e-21,2.7024035848547163e-20,2.0919914679348918e-22,-7.063993184232145e-23,-2.5471736016364916e-22,4.965996217572976e-25,1.693976242044444e-25,2.540753106116248e-23,3.90921033848586e-21,0.0,2.274747800759007e-22,0.0,7.25736941221179e-11,6.79937559531038e-11,6.799372708133459e-11,6.797802529232989e-11,6.366999223449836e-11,2.5818888110138353e-17,1.381959987484044e-14,4.304653647330495e-12,9.767018126064369e-11,-1.0199063393091912e-10,9.594662052622057e-12,4.3156754314625645e-11,3.7509076754323033e-11,5.647677533278589e-12,5.6476775293693794e-12,3.052880598362084e-18,1.9110608983903362e-15,1.9110071248865522e-14,1.907058188181409e-14,1.9536029185653467e-15,99.60416336085197,28.22218576702833,55.16547254631729,16.612341686654375,0.9945722353789763,5.781190400258297e-05,0.005245567508136186,0.00012438520888493194
999,1004.3478260869563,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1004.3478260869563,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928805563351598,0.0,0.0,0.01892135076908664,0.051483378400963176,0.00013072890971814528,0.0005757290412829133,3.89521213670634e-06,7.935431521445511e-05,0.0,0.0,0.00012521663156572278,1.4862632303372956e-09,5.536083147244322e-05,0.9950358795061156,0.004783490748338795,4.02119498973621e-08,1.675725560497652e-13,1.5501670744888415e-12,9.561670235330089e-09,2.3008966578796253e-12,0.0,1.0186052390860438e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.336254505004053e-11,1.0199710119264284e-10,8.925949875441172e-12,3.9309809707779144e-11,-6.799806756081402e-11,5.4181790544667225e-12,0.0,0.0,-1.4515908226357518e-19,1.4857803380390474e-19,3.422055887654679e-23,-3.260901071048889e-23,-2.462558688835845e-23,8.626424148760862e-24,1.575232399618227e-25,9.865218379377145e-26,1.0024718165803784e-24,-3.3958825682920505e-21,0.0,-9.933576529473394e-24,0.0,7.336254505004053e-11,6.799806756081402e-11,6.799782865445518e-11,6.787310852649352e-11,3.9033778134410655e-11,2.3581533728909385e-16,1.230583920313186e-13,2.8952737051856613e-11,7.29196002684855e-11,-1.0199710119264284e-10,8.925949875441172e-12,4.47279887588842e-11,3.9309809707779144e-11,5.418179051070841e-12,5.4181790544667225e-12,3.0910214063748488e-18,1.9006422889220303e-15,1.1552374545480048e-14,1.1986294355611636e-14,1.4698135101303954e-15,99.61047878632938,26.253539827637425,57.81018654493731,15.936273627425265,0.9950359315290891,5.536083436684646e-05,0.004783490998431699,0.00012521663811236258
999,1004.8896321070233,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1004.8896321070233,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288053343295652,0.0,0.0,0.018919721279880283,0.05148336745825451,0.00012935179872150063,0.0005794693646008874,3.894043239455146e-06,7.886172573807272e-05,0.0,0.0,0.00012533357668330892,1.4860165846318684e-09,5.50127345117633e-05,0.9950990132103956,0.00472058369178973,4.389927791403514e-08,1.6708174930301966e-13,1.5425303109126128e-12,1.0288690040347608e-08,2.279034043327245e-12,0.0,1.1086463090671071e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.347348530000584e-11,1.0199722081317674e-10,8.831925232684688e-12,3.956520244918854e-11,-6.799814730559073e-11,5.384547202258487e-12,0.0,0.0,-1.3530635304169707e-19,1.4521009605001472e-19,-6.107649611498669e-21,-2.6702424148977425e-23,-1.0481929324695398e-22,-2.480250077926784e-23,1.0522474097410763e-25,-6.486290464043985e-26,5.427807314382382e-23,-3.663007783977694e-21,0.0,-3.1111264407479076e-23,0.0,7.347348530000584e-11,6.799814730559073e-11,6.79981183948729e-11,6.798285485282833e-11,6.412684362251657e-11,2.581429276644751e-17,1.3389808362295244e-14,3.8523626015442495e-12,9.81294626300927e-11,-1.0199722081317674e-10,8.831925232684688e-12,4.494974964167638e-11,3.956520244918854e-11,5.3845471985954785e-12,5.384547202258487e-12,3.0964249597504813e-18,1.9026444000797307e-15,1.8941081475594465e-14,1.8866718236914393e-14,1.980104094830821e-15,99.61059567605449,25.97695843459297,58.1857065362863,15.837335029120743,0.9950990697187079,5.5012737635750706e-05,0.004720583959855735,0.00012533358380057945
999,1008.695652173913,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1008.695652173913,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288036782969806,0.0,0.0,0.018908329773998204,0.05148336539989929,0.00011983658941054378,0.000605630171100957,3.834212980299659e-06,7.532555563008783e-05,0.0,0.0,0.00012615046078843226,1.4842584978478902e-09,5.257760542466908e-05,0.995523125974288,0.004298093917781895,4.103806473246864e-08,1.599858522060407e-13,1.4667758240096998e-12,8.500983857134863e-09,2.126814050629479e-12,0.0,1.014656316757552e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.424897646473317e-11,1.02003347923833e-10,8.182257188168489e-12,4.135149242109136e-11,-6.800223194919928e-11,5.143112558788765e-12,0.0,0.0,-2.582271756752728e-20,-3.450289061680358e-23,1.7409126707333016e-20,7.638495969044365e-23,-3.3475773207822285e-23,-1.0328730485863122e-22,5.305970400115789e-25,1.2208253597019334e-25,6.064106307065994e-24,8.405525849221869e-21,0.0,9.625746872050644e-23,0.0,7.424897646473317e-11,6.800223194919928e-11,6.800199070064183e-11,6.787995480536979e-11,4.1396211283069365e-11,2.3811403451969726e-16,1.203848715263772e-13,2.659396315625073e-11,7.528723105827501e-11,-1.02003347923833e-10,8.182257188168489e-12,4.649460500569478e-11,4.135149242109136e-11,5.14311256719429e-12,5.143112558788765e-12,3.134522400356526e-18,1.892272302461661e-15,1.2057509872463235e-14,1.2422192889210647e-14,1.5307237118571394e-15,99.61657870197003,24.06467246073708,60.80902237558241,15.126305163680511,0.9955231777830235,5.257760816089808e-05,0.0042980941414620935,0.00012615046735351917
999,1009.2408026755852,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1009.2408026755852,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288034371282972,0.0,0.0,0.018906720490327943,0.051483354964547375,0.00011849379449364075,0.0006093541621549478,3.832256937782489e-06,7.480720324110142e-05,0.0,0.0,0.00012626592454585039,1.4839921457827667e-09,5.222996280196602e-05,0.995581232852328,0.004240215222877344,4.4394547654883496e-08,1.5945761307924054e-13,1.459442465169346e-12,9.060859968475651e-09,2.10516395150805e-12,0.0,1.0943228401899933e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.435852067295859e-11,1.0200354816369229e-10,8.090575326499817e-12,4.1605771596660615e-11,-6.800236543681782e-11,5.1077215865439675e-12,0.0,0.0,1.1098178881047403e-21,-8.464767693927719e-21,8.996825085671604e-22,-1.6679321570307537e-22,3.7036527250921646e-23,1.6753868925850918e-22,-8.834097134604795e-25,-1.5606114174077799e-25,-3.5355508838106357e-23,6.584647673812634e-21,0.0,-1.3082620082390336e-22,0.0,7.435852067295859e-11,6.800236543681782e-11,6.800233648136123e-11,6.798749223313985e-11,6.454312767084008e-11,2.5815502264222648e-17,1.2979018875894072e-14,3.4404758013839825e-12,9.854806171472582e-11,-1.0200354816369229e-10,8.090575326499817e-12,4.671349319068892e-11,4.1605771596660615e-11,5.107721593128615e-12,5.1077215865439675e-12,3.139955211973366e-18,1.8941848031127693e-15,1.8761964630144903e-14,1.8653484779726608e-14,2.0058047395692404e-15,99.61677430622174,23.794982060413307,61.18282994718096,15.022187992405716,0.9955812886421616,5.2229965728799945e-05,0.004240215460488192,0.0001262659316214708
999,1013.0434782608696,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1013.0434782608696,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288017178143388,0.0,0.0,0.01889559143199793,0.05148334464280994,0.00010930727449175568,0.0006351300609678387,3.7755968912863714e-06,7.113317850243794e-05,0.0,0.0,0.00012706429872644788,1.4820817873437198e-09,4.9818945724511266e-05,0.995968596217264,0.003854468649504864,4.185230414879607e-08,1.5281209224467225e-13,1.3885799811700645e-12,7.540761394057557e-09,1.955966868081973e-12,0.0,1.0101353898814137e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.511600754789037e-11,1.0200935042450779e-10,7.463347585704272e-12,4.336579085695093e-11,-6.800623362106218e-11,4.856873780063444e-12,0.0,0.0,-3.451488654059935e-20,7.08468396349362e-21,2.166702679354622e-20,2.569817518654976e-22,1.0426353127289491e-22,-1.5172135816870413e-22,7.425319547480451e-25,-2.1268794410025788e-25,7.245908295508454e-25,5.4016315716390525e-21,0.0,1.5080747424848874e-22,0.0,7.511600754789037e-11,6.800623362106218e-11,6.800599014111999e-11,6.788661446259305e-11,4.3662199426485183e-11,2.403020437776058e-16,1.1773535939389127e-13,2.4331517764739047e-11,7.755826668230381e-11,-1.0200935042450779e-10,7.463347585704272e-12,4.8222664664083035e-11,4.336579085695093e-11,4.856873785465074e-12,4.856873780063444e-12,3.1778976441011287e-18,1.8837990747026568e-15,1.2516429836691837e-14,1.2813083546298805e-14,1.5903231119323197e-15,99.62244031087137,21.949010235931773,63.767376266361666,14.283613497706558,0.9959686478968622,4.981894830955572e-05,0.003854468849508551,0.0001270643053196597
999,1017.3913043478259,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1017.3913043478259,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287997026889347,0.0,0.0,0.01888321319010455,0.05148331725698421,9.919559643485332e-05,0.0006640299527284129,3.719380510813012e-06,6.682193430233406e-05,0.0,0.0,0.00012795370685404336,1.4796869039807553e-09,4.709438431829444e-05,0.9963752210722574,0.0034496790209124933,4.265425696133911e-08,1.4602519377156358e-13,1.3152136557297122e-12,6.67342781427324e-09,1.789521410701346e-12,0.0,1.0050354610776262e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.595837925561737e-11,1.0201510717297249e-10,6.772951066895904e-12,4.533913336812707e-11,-6.801007144579347e-11,4.5625179720342646e-12,0.0,0.0,1.850971716952253e-21,-4.280946872918265e-21,4.999065224170656e-21,3.8050308177439273e-23,-2.7659659525808803e-23,-7.815278356840855e-23,-3.4104020980412177e-25,4.178430554165603e-25,-1.1237418258181938e-23,-2.5770803906153908e-21,0.0,8.695424194975689e-23,0.0,7.595837925561737e-11,6.801007144579347e-11,6.800982584409332e-11,6.789308368384511e-11,4.582306873486156e-11,2.4238068091943063e-16,1.1511260293527134e-13,2.2174074670866e-11,7.972402920759101e-11,-1.0201510717297249e-10,6.772951066895904e-12,4.990165134258332e-11,4.533913336812707e-11,4.562517969457184e-12,4.5625179720342646e-12,3.2210195875657754e-18,1.8751590130282927e-15,1.2928040077099277e-14,1.3158113404402888e-14,1.648306618358004e-15,99.6280619489187,19.917494344274825,66.6653223620486,13.417183293676581,0.9963752727000975,4.709438675852107e-05,0.00344967919965989,0.00012795371348404917
999,1017.9431438127092,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1017.9431438127092,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287994447704656,2.46927779142735e-41,8.654320669999622e-29,0.018881675328312364,0.05148330757905218,9.794371984744334e-05,0.0006676442267619104,3.7163004947928383e-06,6.626807506589569e-05,0.0,4.383978599828032e-42,0.00012806440824858858,1.4793624286753346e-09,4.675135527398205e-05,0.9964242064162526,0.0034009228721829238,4.540526809363137e-08,1.4545423436061473e-13,1.3084780357407175e-12,6.993590825968203e-09,1.7687507934084816e-12,0.0,1.0665978741109723e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.60630245294718e-11,1.0201542250428052e-10,6.6874763587141785e-12,4.5585922060666614e-11,-6.801028167497693e-11,4.524702189518699e-12,0.0,0.0,-2.304285795333584e-18,8.170132977995146e-21,2.0747911623269627e-18,-2.0729921632403144e-22,-6.678029417945195e-24,1.9537720130090198e-22,9.69536530201499e-24,2.256418290248921e-26,-6.447404354582022e-24,2.2152839256924637e-19,0.0,-1.8860322667535926e-22,0.0,7.60630245294718e-11,6.801028167497693e-11,6.801025261353069e-11,6.799619419705673e-11,6.526517709776296e-11,2.583497617160957e-17,1.2210609862916023e-14,2.7267286405352816e-12,9.927440279523024e-11,-1.0201542250428052e-10,6.6874763587141785e-12,5.011062654650488e-11,4.5585922060666614e-11,4.5247024110470904e-12,4.524702189518699e-12,3.226460363302872e-18,1.8768680475579426e-15,1.8375936675413458e-14,1.8201399525914902e-14,2.0546318460230276e-15,99.6283699505207,19.666075309772786,67.0279884535453,13.305936236681905,0.9964242611678146,4.675135784287761e-05,0.003400923059056986,0.00012806441528547742
999,1021.7391304347825,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1021.7391304347825,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287976547117196,0.0,0.0,0.01887126935577826,0.05148328444127294,8.955195457644069e-05,0.0006921352223010997,3.6655699397217034e-06,6.243874441171699e-05,0.0,0.0,0.00012881448716153934,1.4770319362870335e-09,4.4413555730277446e-05,0.996745709165377,0.003081010976728668,4.3443690065981625e-08,1.396009607668452e-13,1.2463397474956465e-12,5.891909772567425e-09,1.6285954628295571e-12,0.0,9.993561678904037e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.67710481747943e-11,1.0202061751743523e-10,6.114508763261648e-12,4.7258230168613614e-11,-6.801374501231883e-11,4.263248654282966e-12,0.0,0.0,-9.366191925332076e-21,1.0434804691149492e-21,7.779611850634918e-21,1.2372812506203334e-22,1.7090488495883212e-23,-9.286899953252464e-23,-1.871892883786819e-25,-1.202500120873649e-26,1.3777121232661155e-23,4.0285876873963203e-22,0.0,7.872687393673951e-23,0.0,7.67710481747943e-11,6.801374501231883e-11,6.801349739633761e-11,6.789935926196105e-11,4.787153594018473e-11,2.4435221725836634e-16,1.1251945522326128e-13,2.0128917358172108e-11,8.17772319626821e-11,-1.0202061751743523e-10,6.114508763261648e-12,5.152147883107904e-11,4.7258230168613614e-11,4.263248654685825e-12,4.263248654282966e-12,3.2637641494895473e-18,1.8662951347263198e-15,1.3291713948422955e-14,1.3456882584562459e-14,1.7043901840094321e-15,99.63344300602783,17.98021491958356,69.48335246947622,12.536432610940228,0.9967457608117611,4.4413558031566075e-05,0.003081011136371268,0.0001288144938360627
