,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2(20),X(1),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H_X(19),H2X(33),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],NO2(8) ROP [kmol/m^3 s],H2(20) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NO2(8) surface ROP [kmol/m^2 s],H2(20) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],H2OX(9) ROP [kmol/m^2 s],NOX(10) ROP [kmol/m^2 s],OX(11) ROP [kmol/m^2 s],NX(12) ROP [kmol/m^2 s],OHX(13) ROP [kmol/m^2 s],NH3X(14) ROP [kmol/m^2 s],NH2X(15) ROP [kmol/m^2 s],NHX(16) ROP [kmol/m^2 s],N2OX(17) ROP [kmol/m^2 s],NO2X(18) ROP [kmol/m^2 s],H_X(19) ROP [kmol/m^2 s],H2X(33) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(11) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X(14) ROP [kmol/m^2 s],NH3X(14) + OX(11) <=> NH2X(15) + OHX(13) ROP [kmol/m^2 s],NH2X(15) + OX(11) <=> NHX(16) + OHX(13) ROP [kmol/m^2 s],NHX(16) + OX(11) <=> NX(12) + OHX(13) ROP [kmol/m^2 s],NH3X(14) + OHX(13) <=> H2OX(9) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + OHX(13) <=> H2OX(9) + NHX(16) ROP [kmol/m^2 s],NHX(16) + OHX(13) <=> H2OX(9) + NX(12) ROP [kmol/m^2 s],2 OHX(13) <=> H2OX(9) + OX(11) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(9) ROP [kmol/m^2 s],2 NX(12) <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX(12) + OX(11) <=> NOX(10) + X(1) ROP [kmol/m^2 s],NOX(10) <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX(10) + NX(12) <=> N2OX(17) + X(1) ROP [kmol/m^2 s],N2OX(17) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X(14) + X(1) <=> H_X(19) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + X(1) <=> H_X(19) + NHX(16) ROP [kmol/m^2 s],NHX(16) + X(1) <=> H_X(19) + NX(12) ROP [kmol/m^2 s],H_X(19) + OX(11) <=> OHX(13) + X(1) ROP [kmol/m^2 s],H_X(19) + OHX(13) <=> H2OX(9) + X(1) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX(11) Coverage,NOX(10) Coverage,NX(12) Coverage,X Coverage
999,1000.0,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1000.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288296982717394,0.0,0.0,0.01905619587536412,0.05148427964393494,0.00023880981140078373,0.0002556493901605968,4.186345015447683e-06,0.00013118066238457387,0.0,0.0,0.0001165851285628624,1.396176445156254e-09,2.556561108055913e-05,0.9976781109884388,0.0021797051468854826,2.7865233053691185e-08,1.733074564334664e-13,1.6312875892999087e-12,3.181761674617016e-09,3.664957083101204e-12,0.0,6.763915252579182e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.418935692753253e-11,1.0196729538563684e-10,1.6305108203178034e-11,1.745485640388307e-11,-6.797819692521175e-11,8.956561986332294e-12,0.0,0.0,-8.109107453859339e-20,2.18056912172986e-21,1.1799726591307538e-20,1.8760973280585517e-21,-4.931256608780481e-23,-1.9237812403204294e-21,-1.592387954939295e-24,-3.027017065514066e-26,-1.2940852942479984e-24,6.528027160883378e-20,0.0,1.9304427162811395e-21,0.0,6.418935692753253e-11,6.797819692521175e-11,6.797800622814221e-11,6.787172254915104e-11,6.565003792369296e-11,1.6220330093452659e-16,8.862023394923656e-14,2.1435125111328367e-12,9.973313688063848e-11,-1.0196729538563684e-10,1.6305108203178034e-11,2.6411418467295363e-11,1.745485640388307e-11,8.956562051612566e-12,8.956561986332294e-12,2.8493770225363085e-17,1.7854142113124405e-14,1.8464649038888994e-13,2.0066556554589152e-13,1.8635587959054625e-15,99.58136549845524,47.97158199194455,25.677139479923515,26.351278528131942,0.9976781440365595,2.556561192742085e-05,0.0021797052190882884,0.00011658513242474868
999,1001.7792642140467,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1001.7792642140467,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288100865172492,0.0,0.0,0.018947472394041556,0.051452534823562296,0.00013115962320217134,0.0005553921970858545,2.4624761068511445e-05,7.872968379020955e-05,0.0,0.0,0.000123526185767157,1.4730052222310418e-09,5.623581953366816e-05,0.994844378706822,0.004975801925005765,4.31239579291683e-08,1.6911397225279597e-12,1.5650404749365354e-11,1.1648265822485396e-08,2.2979952467810696e-12,0.0,1.0980031693185794e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.158530460560337e-11,9.987404558135796e-11,8.955314655778797e-12,3.79210598740274e-11,-6.658269704578278e-11,5.3755040957133015e-12,0.0,0.0,3.3990634977999725e-19,-1.3125211718437588e-20,-3.219224811809562e-19,-3.085512931793505e-22,-8.591773157397713e-23,2.219825691316969e-22,2.946439974111388e-22,1.054265268173569e-25,6.866245319043687e-26,-4.757612495836134e-21,0.0,-2.233255243590233e-22,0.0,7.158530460560337e-11,6.658269704578278e-11,6.658241710912938e-11,6.643189382894536e-11,6.198438836106089e-11,2.5019604554038493e-16,1.323224866334516e-13,4.4148194642187735e-12,9.532475947976408e-11,-9.987404558135796e-11,8.955314655778797e-12,4.329656364306061e-11,3.79210598740274e-11,5.375504090955691e-12,5.3755040957133015e-12,2.9740313219322345e-17,1.848072990922073e-14,1.83489220208318e-13,2.0010574908319433e-13,1.8939415708892804e-15,97.53752389314884,26.899825355740898,56.95332476440052,16.146849879858586,0.9948444357739554,5.6235822759516434e-05,0.004975802210432067,0.00012352619285297412
999,1002.3411371237461,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1002.3411371237461,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288128673378724,0.0,0.0,0.019142544148301504,0.051486524605645116,0.00034573823858231347,0.00011426157290143965,2.067677973519361e-06,9.599641872394874e-05,0.0,0.0,0.00011089373578435559,1.3217329380701512e-09,1.0238699385886176e-05,0.9990776402945124,0.0008011988099348108,2.5526603440571098e-08,1.6881581956755483e-14,1.5862052364118061e-13,1.030717236801316e-09,2.5042398756373723e-12,0.0,5.786491329027915e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.827011162481947e-11,1.0218427430112695e-10,2.3606239249486067e-11,7.801547704025786e-12,-6.812284962704867e-11,6.5544300672723535e-12,0.0,0.0,2.8828733246726216e-17,1.394377065858496e-19,-2.1212569260752665e-17,-5.944442999232834e-21,-1.3775465255848916e-21,4.571129337182291e-21,7.498622370175263e-24,1.1559967705108707e-25,7.845291122182622e-24,-7.748281299259918e-18,0.0,-4.585002156709087e-21,0.0,5.827011162481947e-11,6.812284962704867e-11,6.812267495587656e-11,6.802653669372897e-11,6.696943526424978e-11,1.4744562482282745e-16,7.942112620402368e-14,9.767176846766292e-13,1.01126191698609e-10,-1.0218427430112695e-10,2.3606239249486067e-11,1.435594881044758e-11,7.801547704025786e-12,6.554422318991055e-12,6.5544300672723535e-12,2.722553978864974e-17,1.6891807108058246e-14,1.7669667810681924e-13,1.918192298894911e-13,1.7964854501771933e-15,99.79323220264806,69.30487100185195,11.452168461227313,19.242960536920755,0.9990776687286451,1.0238699677283485e-05,0.0008011988327372361,0.00011089373894043382
999,1004.3478260869563,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1004.3478260869563,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288293815580936,0.0,0.0,0.01904632387098152,0.051484353260564865,0.00022934598599914048,0.00027594071651205993,4.125562380386415e-06,0.00013052904546857264,0.0,0.0,0.00011735289063849148,1.3929551183296315e-09,2.486751833033537e-05,0.9978542010566688,0.0020035450963006352,2.8468570156953412e-08,1.6549946329008276e-13,1.543424904345822e-12,2.8973429587346285e-09,3.5469507213139705e-12,0.0,6.739380870892973e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.486293983470156e-11,1.0197352027227082e-10,1.5658956266703598e-11,1.8840284453513034e-11,-6.79823468573267e-11,8.91207494265153e-12,0.0,0.0,-3.981323685794291e-22,1.3713215069570622e-20,-1.0513302411248459e-20,-5.782380222657797e-22,-7.680339675812184e-23,4.985750347029462e-22,3.1022504218962037e-24,7.608405658675615e-26,-4.689241656123365e-24,-2.1524871281635008e-21,0.0,-4.913046180768343e-22,0.0,6.486293983470156e-11,6.79823468573267e-11,6.798215389810971e-11,6.787779343045709e-11,6.582732287021128e-11,1.640786737114613e-16,8.67897121488416e-14,1.972948810916964e-12,9.991173559873929e-11,-1.0197352027227082e-10,1.5658956266703598e-11,2.7752359383498767e-11,1.8840284453513034e-11,8.912074940499043e-12,8.91207494265153e-12,2.8880540159262557e-17,1.7763714717588662e-14,1.8207517619995999e-13,1.979856864437703e-13,1.8820855052422223e-15,99.58744376196137,46.06771312598402,27.713495223876908,26.21879165013907,0.9978542344229803,2.4867519161857013e-05,0.002003545163295302,0.00011735289456254482
999,1005.9565217391304,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1005.9565217391304,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288082570120872,0.0,0.0,0.018934699121478632,0.05145321678907342,0.00012091535251667483,0.0005837580480898173,2.4102503820079017e-05,7.505117293423578e-05,0.0,0.0,0.00012444556791887606,1.4714409182607754e-09,5.356321642871925e-05,0.9953286138625724,0.004493320814589081,4.360316389531957e-08,1.6172445478197895e-12,1.4845117711645677e-11,1.0360516027241148e-08,2.135612167937616e-12,0.0,1.084772170337546e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.245489138788481e-11,9.992752854311372e-11,8.255872767560254e-12,3.985790121897146e-11,-6.661835247612734e-11,5.12435285937294e-12,0.0,0.0,-1.5421526240495884e-19,1.709053336112446e-19,-3.6342285225680974e-20,-2.1031067074160726e-22,-2.0862076659955556e-23,1.899062860512651e-22,1.1475815983451693e-22,-8.649070964843172e-26,1.7367561689345794e-25,1.9768894472568508e-20,0.0,-1.9024959595063452e-22,0.0,7.245489138788481e-11,6.661835247612734e-11,6.661807193904847e-11,6.647143063687312e-11,6.243851518033318e-11,2.503713431809035e-16,1.2850641757910865e-13,3.9977910786005535e-12,9.579906108872818e-11,-9.992752854311372e-11,8.255872767560254e-12,4.498225406177101e-11,3.985790121897146e-11,5.124352879141834e-12,5.12435285937294e-12,3.0165620913703516e-17,1.8415421560431857e-14,1.8204621707876486e-13,1.985720466823381e-13,1.919757768021868e-15,97.5897496179921,24.78558073295614,59.83021155502552,15.38420771201834,0.9953286701369534,5.356321945710284e-05,0.004493321068634674,0.00012444557495484108
999,1006.5217391304348,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1006.5217391304348,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288135947718889,0.0,0.0,0.019136645609177837,0.051486579165085054,0.00033905128178625486,0.00012450337016819404,2.0581890120225607e-06,9.756761288191936e-05,0.0,0.0,0.00011141037295811228,1.3166715099365293e-09,1.0082332801581994e-05,0.9991322513200178,0.0007462270105791629,2.611411798503332e-08,1.6155947775914554e-14,1.504400932836954e-13,9.531490087922947e-10,2.4744827403083785e-12,0.0,5.770637774509703e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.867387409613487e-11,1.021852464313114e-10,2.3149650556744746e-11,8.500806429492889e-12,-6.812349762232223e-11,6.661694691023493e-12,0.0,0.0,-6.4506788265849945e-19,2.1789453967068687e-21,5.793218873621657e-19,4.6319658610526025e-21,-7.467889967705303e-23,-4.7141247272111875e-21,-2.701216402322141e-25,4.44444234001518e-26,-7.399389073228254e-25,5.902331751235644e-20,0.0,4.701619678898075e-21,0.0,5.867387409613487e-11,6.812349762232223e-11,6.812332062994951e-11,6.802868371666303e-11,6.703319150751254e-11,1.4945644543288187e-16,7.803045206569119e-14,9.165140446379412e-13,1.011887436295332e-10,-1.021852464313114e-10,2.3149650556744746e-11,1.516250175886159e-11,8.500806429492889e-12,6.66169475004681e-12,6.661694691023493e-12,2.753592755222381e-17,1.6783453593730625e-14,1.7379207017271634e-13,1.887942041843029e-13,1.8088508080766093e-15,99.79418109879775,67.9637763816534,12.478523289619318,19.55770032872728,0.9991322802585288,1.0082333093603094e-05,0.0007462270321926165,0.00011141037618496268
999,1008.695652173913,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1008.695652173913,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288289014843814,0.0,0.0,0.019036161700544018,0.051484416182392384,0.00021977008814356292,0.0002971595680342312,4.065872266316755e-06,0.00012952510423812312,0.0,0.0,0.00011813736595302295,1.390011045655416e-09,2.4159162419951268e-05,0.998017069013803,0.0018406006672541761,2.90859337164083e-08,1.5811248244843445e-13,1.4610070978947783e-12,2.637801126342033e-09,3.4247519610804905e-12,0.0,6.71779990343652e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.555610615749129e-11,1.019796332256184e-10,1.5005154603778974e-11,2.028904528747579e-11,-6.79864221498393e-11,8.843533963213756e-12,0.0,0.0,1.5938684729342867e-19,-8.686923224757193e-22,-4.959190756560338e-20,1.9316218266761733e-21,3.093009256094766e-22,-1.6240552275440432e-21,6.79885184722691e-24,-2.1218149539910603e-25,-1.3433607018317233e-24,-1.1117229884530263e-19,0.0,1.6239473744810815e-21,0.0,6.555610615749129e-11,6.79864221498393e-11,6.798622687557202e-11,6.788371299210218e-11,6.599067922652267e-11,1.6600023040999176e-16,8.503171239021627e-14,1.8161865906940602e-12,1.0007634819234523e-10,-1.019796332256184e-10,1.5005154603778974e-11,2.913257908992534e-11,2.028904528747579e-11,8.843533852041457e-12,8.843533963213756e-12,2.9274030074365715e-17,1.767744534032183e-14,1.795563326173241e-13,1.9536232127401082e-13,1.9007290897621263e-15,99.59341277336831,44.14162142775821,29.84279002313138,26.015588549110422,0.9980171027373697,2.415916323630316e-05,0.0018406007294491235,0.000118137369944952
999,1010.133779264214,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1010.133779264214,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928806355486932,0.0,0.0,0.018922162462096232,0.051453864941394464,0.00011096681172136518,0.0006118425361604897,2.3600127033777507e-05,7.120763466156612e-05,0.0,5.761149084234867e-30,0.00012534758990825274,1.4697227070738484e-09,5.0909955241153745e-05,0.995773199250209,0.004050487351877293,4.408794874783384e-08,1.5472738351559518e-12,1.4087683327825624e-11,9.204774877884074e-09,1.975542022441487e-12,0.0,1.0718198249354196e-09,8.876741159785177e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.330822588127394e-11,9.997897573783723e-11,7.57662063165923e-12,4.1775542720716376e-11,-6.665265051892615e-11,4.861933277925727e-12,0.0,0.0,-2.6196965095919237e-20,4.041033471823953e-20,-7.647478633508808e-21,3.518102542764596e-23,1.6808568541018945e-23,-1.7140853320377045e-23,9.44435922152525e-23,2.0415720227119786e-26,8.30411786820813e-25,-6.7123768004117525e-21,0.0,1.6293823389726846e-23,0.0,7.330822588127394e-11,6.665265051892615e-11,6.66523693388257e-11,6.650945665215086e-11,6.28564559021371e-11,2.5059001254184606e-16,1.248450746550033e-13,3.615688149169415e-12,9.623624714200752e-11,-9.997897573783723e-11,7.57662063165923e-12,4.6637475984282253e-11,4.1775542720716376e-11,4.861933271213349e-12,4.861933277925727e-12,3.058999347317267e-17,1.8348792025841662e-14,1.805064675243754e-13,1.969410271243072e-13,1.9448224030892135e-15,97.63998729662225,22.734641669276836,62.67649130579893,14.588867024924232,0.9957732548668979,5.0909958084615634e-05,0.004050487578108221,0.00012534759690926254
999,1010.7023411371238,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1010.7023411371238,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288142556109577,0.0,0.0,0.019130471806809855,0.0514866302815847,0.00033216227417894024,0.00013543600725963615,2.048534174477264e-06,9.899548503455429e-05,0.0,0.0,0.00011194482685294287,1.3119252071095596e-09,9.92205778888666e-06,0.9991830706625601,0.0006950329676181263,2.671339020558325e-08,1.5467484924884836e-14,1.427445126987494e-13,8.815896759973689e-10,2.441946441160503e-12,0.0,5.756749370477462e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.909633661674625e-11,1.0218623539881677e-10,2.267926864612416e-11,9.247217324281822e-12,-6.81241569321785e-11,6.7591714933152685e-12,0.0,0.0,-4.902007370488696e-17,-5.166191250823313e-22,3.870574038921941e-17,3.0269123552729507e-21,4.416772885992372e-22,-2.593037140840065e-21,-1.2514423166924972e-23,-1.2901977877070692e-25,6.4074185730181785e-24,1.0311420993676515e-17,0.0,2.55963914300661e-21,0.0,5.909633661674625e-11,6.81241569321785e-11,6.812397758287473e-11,6.803079231808555e-11,6.709250905298846e-11,1.5149706923802042e-16,7.66849431871062e-14,8.606686692648174e-13,1.012469088169385e-10,-1.0218623539881677e-10,2.267926864612416e-11,1.6006437834758475e-11,9.247217324281822e-12,6.759181804736264e-12,6.7591714933152685e-12,2.785224705057142e-17,1.667967091848805e-14,1.7097920993145768e-13,1.8586525869687112e-13,1.821471840486038e-15,99.79514658255228,66.58222110547835,13.574076794600783,19.84370209992087,0.9991831001236536,9.922058081440329e-06,0.000695032988111299,0.00011194483015365633
999,1013.0434782608696,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1013.0434782608696,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928828256260769,0.0,0.0,0.019025728845554042,0.05148446828332283,0.0002101035446510839,0.0003192707975908767,4.007292588955993e-06,0.00012816497552313834,0.0,0.0,0.00011893714859357217,1.3873212292947766e-09,2.3441502605549425e-05,0.9981677281641528,0.0016898590043638016,2.971740304193003e-08,1.511201476879174e-13,1.3836552615025972e-12,2.4008307043960804e-09,3.298694290839857e-12,0.0,6.698958595861895e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.626752365713914e-11,1.019856323635724e-10,1.43451658364726e-11,2.1798739572292863e-11,-6.799042158097308e-11,8.750674604756357e-12,0.0,0.0,-7.755355651588852e-19,7.964914545208413e-21,4.053922080827931e-19,1.9409663826586083e-21,-2.8367286690453777e-22,-2.2184132816201033e-21,-4.974787470238926e-23,3.0083999481508506e-26,9.40271711925512e-24,3.6057703914131043e-19,0.0,2.202837809959028e-21,0.0,6.626752365713914e-11,6.799042158097308e-11,6.799022394010798e-11,6.788948446599218e-11,6.614123408780979e-11,1.6796696859973378e-16,8.334212446400783e-14,1.6720985477503956e-12,1.0022810424900996e-10,-1.019856323635724e-10,1.43451658364726e-11,3.054941494301847e-11,2.1798739572292863e-11,8.750674965333396e-12,8.750674604756357e-12,2.967394624629061e-17,1.759499056660256e-14,1.7708894545320888e-13,1.9279412441889715e-13,1.9194833443228197e-15,99.5992707411044,42.19760884114445,32.06148664251964,25.740904516335906,0.9981677622818106,2.3441503406786676e-05,0.0016898590621236647,0.00011893715265887785
