,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2(20),X(1),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H_X(19),H2X(38),N2X2(45),N2X(46),NOX2(52),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],NO2(8) ROP [kmol/m^3 s],H2(20) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NO2(8) surface ROP [kmol/m^2 s],H2(20) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],H2OX(9) ROP [kmol/m^2 s],NOX(10) ROP [kmol/m^2 s],OX(11) ROP [kmol/m^2 s],NX(12) ROP [kmol/m^2 s],OHX(13) ROP [kmol/m^2 s],NH3X(14) ROP [kmol/m^2 s],NH2X(15) ROP [kmol/m^2 s],NHX(16) ROP [kmol/m^2 s],N2OX(17) ROP [kmol/m^2 s],NO2X(18) ROP [kmol/m^2 s],H_X(19) ROP [kmol/m^2 s],H2X(38) ROP [kmol/m^2 s],N2X2(45) ROP [kmol/m^2 s],N2X(46) ROP [kmol/m^2 s],NOX2(52) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(11) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X(14) ROP [kmol/m^2 s],NH3X(14) + OX(11) <=> NH2X(15) + OHX(13) ROP [kmol/m^2 s],NH2X(15) + OX(11) <=> NHX(16) + OHX(13) ROP [kmol/m^2 s],NHX(16) + OX(11) <=> NX(12) + OHX(13) ROP [kmol/m^2 s],NH3X(14) + OHX(13) <=> H2OX(9) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + OHX(13) <=> H2OX(9) + NHX(16) ROP [kmol/m^2 s],NHX(16) + OHX(13) <=> H2OX(9) + NX(12) ROP [kmol/m^2 s],2 OHX(13) <=> H2OX(9) + OX(11) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(9) ROP [kmol/m^2 s],2 NX(12) <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX(12) + OX(11) <=> NOX(10) + X(1) ROP [kmol/m^2 s],NOX(10) <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX(10) + NX(12) <=> N2OX(17) + X(1) ROP [kmol/m^2 s],N2OX(17) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X(14) + X(1) <=> H_X(19) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + X(1) <=> H_X(19) + NHX(16) ROP [kmol/m^2 s],NHX(16) + X(1) <=> H_X(19) + NX(12) ROP [kmol/m^2 s],H_X(19) + OX(11) <=> OHX(13) + X(1) ROP [kmol/m^2 s],H_X(19) + OHX(13) <=> H2OX(9) + X(1) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX(11) Coverage,NOX(10) Coverage,NX(12) Coverage,X Coverage
999,1000.5384615384617,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1000.5384615384617,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287685426677482,0.0,0.0,0.01924749639258746,0.05148244341873187,0.0004982265834448857,1.3383957676887508e-07,3.150349039920558e-06,6.74887096148348e-09,0.0,0.0,0.0003271611296356413,3.914002561335479e-09,4.1348097714410854e-05,0.9015271599916782,0.09810409946487628,4.655802062660993e-08,4.978108660254698e-13,1.5628736422385385e-10,1.7577966445091246e-07,2.308074419859741e-15,0.0,4.90762038492193e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.104148747324799e-10,1.020733671416975e-09,3.4019428303082443e-10,9.13870398327787e-14,-6.804885944051865e-10,4.439980925141494e-15,0.0,0.0,3.2247569137391136e-16,8.28308288410175e-17,2.236137149692232e-23,2.0117695482550594e-16,-1.9960686890774935e-16,-2.0119817279233467e-16,-5.750924826748187e-16,-8.608824417418499e-22,1.996068578690152e-16,1.682175933961249e-16,0.0,1.590436619500636e-18,0.0,0.0,0.0,0.0,5.104148747324799e-10,6.804885944051865e-10,6.804891371432605e-10,6.803758589992603e-10,-3.4016926775404244e-10,1.278303505252386e-17,2.5099839890731893e-14,1.0207085724790788e-09,6.318754546878193e-19,-1.020733671416975e-09,3.4019428303082443e-10,9.599523837367767e-14,9.13870398327787e-14,4.608198518537618e-15,4.439980925141494e-15,1.957137357805316e-17,8.821065937890863e-14,-5.033483336421549e-14,3.7825293027968215e-14,6.85139236834536e-17,99.68496509600794,99.98526544495496,0.013429616386412246,0.0013049386586269733,0.9015273685294691,4.1348107278893584e-05,0.09810412215793876,0.00032716120531329395
999,1001.0769230769232,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1001.0769230769232,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287680122887244,0.0,0.0,0.01924577061489651,0.05148584062419476,0.0004993669720493265,1.3671801393090865e-07,8.659440203629202e-07,6.838100762579462e-09,0.0,0.0,0.0003275896459862748,3.91506836019674e-09,4.1505763376483645e-05,0.9019536564023664,0.09767701775123803,4.6716319510855145e-08,4.944712828231641e-14,1.5560442512394907e-11,1.7488171146861513e-07,2.329849867336692e-15,0.0,4.908321200160135e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.115857502212283e-10,1.0230736372548836e-09,3.409731472951722e-10,9.33527776477625e-14,-6.820500834395671e-10,7.921037030049153e-15,0.0,0.0,1.2135526156333294e-15,-1.5879907163231752e-16,-4.717961115565457e-22,1.9571524578392696e-12,-1.9560525449875607e-12,-1.9571523894639042e-12,1.098375756443236e-15,-5.744483936716425e-19,1.9560525335392837e-12,-3.2518959366425017e-15,0.0,1.0992846294787958e-15,0.0,0.0,0.0,0.0,5.115857502212283e-10,6.820500834395671e-10,6.820489818170463e-10,6.820376328816963e-10,-3.429729000803405e-10,1.2801901493602949e-18,2.5176463840340213e-15,1.0230708898078543e-09,6.390331766334175e-19,-1.0230736372548836e-09,3.409731472951722e-10,9.802191826937303e-14,9.33527776477625e-14,4.669141093406651e-15,7.921037030049153e-15,1.966574216441754e-18,8.835110178602027e-15,-5.0566227942328785e-15,2.6120869790063894e-15,6.908235010040415e-17,99.91340559796372,99.98399032726836,0.013686976953169701,0.0023226957784707124,0.9019538642459386,4.150577294095081e-05,0.09767704025964538,0.00032758972147507823
999,1004.3478260869563,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1004.3478260869563,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287679597008078,0.0,0.0,0.019245589159121168,0.051486179000451895,0.0004994707265006793,1.5563716924233878e-07,6.384163414441303e-07,7.3596077062267006e-09,0.0,0.0,0.00032790330492988955,3.892800549538936e-09,4.251176348758543e-05,0.905132877323827,0.09449648357349637,4.752976495194788e-08,4.713621870420281e-15,1.5107185406903139e-12,1.6775084258528496e-07,2.434306205293032e-15,0.0,4.859333137505119e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.117089054244528e-10,1.0233065125219747e-09,3.4104401107877765e-10,1.0627069769916252e-13,-6.822043264914682e-10,4.480389614787622e-15,0.0,0.0,-5.494173831622932e-16,2.413590559570477e-18,9.0099630749543e-23,3.2334622349469983e-13,-3.233272398396194e-13,-3.233462255708893e-13,-1.6789830096103233e-17,-9.100611915793652e-21,3.233272396391541e-13,5.448280127374935e-16,0.0,1.8976897561042775e-17,0.0,0.0,0.0,0.0,5.117089054244528e-10,6.822043264914682e-10,6.822043429552938e-10,6.822032183126981e-10,-3.414246663169252e-10,1.277952773889356e-19,2.5245320586937117e-16,1.0233061900614461e-09,6.797473636725561e-19,-1.0233065125219747e-09,3.4104401107877765e-10,1.1129591541678729e-13,1.0627069769916252e-13,5.025217627525117e-15,4.480389614787622e-15,1.9820930761331293e-19,8.725244949115194e-16,-5.076937608923354e-16,2.744386749103933e-16,7.161337085536137e-17,99.93615836585559,99.98310892299108,0.015577571219867126,0.0013135057890498302,0.905133080104646,4.2511773011679e-05,0.0944965047439508,0.00032790337839148
999,1005.4314381270902,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1005.4314381270902,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287680086232396,0.0,0.0,0.01924574443883666,0.05148586620365972,0.0004993620050235784,1.6243456209112268e-07,8.487555772838055e-07,7.539101158117212e-09,0.0,0.0,0.00032795620246125465,3.884860705670168e-09,4.28485550110412e-05,0.9061727263099733,0.09345624696704267,4.7797275027493875e-08,4.4610363938370036e-14,1.437350147943908e-11,1.6542674999993362e-07,2.469044853574078e-15,0.0,4.842205394093521e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.116035711465739e-10,1.0230911169766078e-09,3.4096975693599214e-10,1.1091213737561472e-13,-6.820609607580137e-10,5.98033407339637e-15,0.0,0.0,5.790931828829379e-16,-3.4615566562438487e-17,-1.30234976396711e-22,8.20402778119719e-14,-8.199136500111406e-14,-8.204026561216605e-14,2.3920689598167608e-16,-2.2948249486698094e-20,8.199136451407504e-14,-8.325514117580897e-16,0.0,4.887826503952768e-17,0.0,0.0,0.0,0.0,5.116035711465739e-10,6.820609607580137e-10,6.820607183336479e-10,6.820495332301223e-10,-3.411046722856525e-10,1.2310804350735131e-18,2.5029237262763507e-15,1.0230885050653006e-09,6.93633558029367e-19,-1.0230911169766078e-09,3.4096975693599214e-10,1.1605991990701804e-13,1.1091213737561472e-13,5.14778266163828e-15,5.98033407339637e-15,1.986389284549818e-18,8.685420217289999e-15,-5.102570096456689e-15,3.463510945059256e-15,7.244730001907438e-17,99.91512444227162,99.98198510753234,0.016261289222514522,0.0017536032451600347,0.9061729274491108,4.2848564521944755e-05,0.09345626771111096,0.0003279562752562371
999,1009.2408026755852,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1009.2408026755852,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287684638545101,0.0,0.0,0.01924720989418307,0.051482952540805024,0.0004983688610164412,1.8863099253994148e-07,2.808021599852894e-06,8.196893234190776e-09,0.0,0.0,0.00032793508056484154,3.854686645421929e-09,4.404657461001172e-05,0.9097761944985672,0.08985160894490186,4.8728810261801365e-08,4.057453310976397e-13,1.334774999379402e-10,1.5740555643907766e-07,2.5912254566062953e-15,0.0,4.778416814803813e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.106093838704634e-10,1.0210843683182018e-09,3.402914606732996e-10,1.287992099804699e-13,-6.807228917391641e-10,5.5877890519811794e-15,0.0,0.0,1.0237166581440955e-17,3.2893629475128573e-18,2.7980612318263406e-24,2.9359402929548026e-17,-2.9355235189179315e-17,-2.9360255194121186e-17,-2.2665878999887028e-17,1.1051625737784287e-25,2.9355233939260765e-17,9.135179000957428e-18,0.0,5.020941904834876e-21,0.0,0.0,0.0,0.0,5.106093838704634e-10,6.807228917391641e-10,6.807228825909424e-10,6.806127811169031e-10,-3.402852895295627e-10,1.1835319095149064e-17,2.482041209162019e-14,1.0210594632688197e-09,7.439786732343679e-19,-1.0210843683182018e-09,3.402914606732996e-10,1.343961342142501e-13,1.287992099804699e-13,5.596924230982139e-15,5.5877890519811794e-15,1.9978781673651343e-17,8.531287604836971e-14,-5.12886894480963e-14,3.3968813005491594e-14,7.534735551355251e-17,99.7191978400147,99.97943733215392,0.018920945763955394,0.0016417220821306454,0.9097763900107472,4.404658407568237e-05,0.08985162825413863,0.0003279351510385502
999,1009.7859531772577,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1009.7859531772577,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287680053308124,0.0,0.0,0.01924571709516289,0.051485889582918526,0.0004993539805937604,1.9265964225086197e-07,8.33047725519382e-07,8.303144750817467e-09,0.0,0.0,0.0003283169460132719,3.855181593633346e-09,4.421248370859652e-05,0.9101769372814352,0.08945031917548402,4.888986927667802e-08,4.029901154292667e-14,1.3288693223392044e-11,1.565767576510253e-07,2.6146943826436444e-15,0.0,4.778218861264707e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.116221951078618e-10,1.0231072010328274e-09,3.40964278964479e-10,1.3155015674430837e-13,-6.820716577557392e-10,6.5296334127153726e-15,0.0,0.0,6.329991659405036e-16,-3.046523328554758e-17,-1.6236291132820351e-22,7.513068807611221e-14,-7.508375936523459e-14,-7.513067654775603e-14,2.1073050950336308e-16,-1.9901899983684622e-20,7.50837589190833e-14,-8.601533937315201e-16,0.0,4.6897933616105656e-17,0.0,0.0,0.0,0.0,5.116221951078618e-10,6.820716577557392e-10,6.820714438335236e-10,6.820604169925164e-10,-3.4110309021784246e-10,1.1850607373530001e-18,2.4887615152961947e-15,1.0231046039221955e-09,7.522184589467341e-19,-1.0231072010328274e-09,3.40964278964479e-10,1.3721963660092926e-13,1.3155015674430837e-13,5.669480018983853e-15,6.5296334127153726e-15,2.006645501552828e-18,8.541291099963862e-15,-5.150418140614137e-15,3.2700350673792178e-15,7.594660385595428e-17,99.91669522744807,99.97879854677014,0.019286810131370707,0.0019146430984992992,0.9101771321625182,4.421249317508194e-05,0.0894503383279964,0.000328317016310331
999,1013.0434782608696,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1013.0434782608696,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287679599703464,0.0,0.0,0.01924555540965544,0.0514861819537788,0.0004994386403069359,2.1864900236933132e-07,6.364574182417353e-07,8.919491556479141e-09,0.0,0.0,0.0003286191833991507,3.833759568121745e-09,4.5246110315725156e-05,0.9130301996766934,0.0865957263945058,4.9717503605130217e-08,3.8553442481940174e-15,1.2940329709116398e-12,1.5035003115795952e-07,2.7284883677375175e-15,0.0,4.732490987235085e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.117319535866633e-10,1.023308511617139e-09,3.4102210229225533e-10,1.4929562144564396e-13,-6.822056145336964e-10,3.1426922585796885e-15,0.0,0.0,-3.3343369258876088e-15,9.627001621640686e-18,5.688970721665425e-22,6.794384025587987e-12,-6.7939404622709876e-12,-6.7943840322339964e-12,-6.611550332421236e-17,-1.806649270560176e-19,6.793940457976103e-12,2.947621558642061e-15,0.0,4.4339490590886656e-16,0.0,0.0,0.0,0.0,5.117319535866633e-10,6.822056145336964e-10,6.822056803283283e-10,6.822045872029997e-10,-3.4789593428286025e-10,1.1860213060040108e-19,2.4966662433616797e-16,1.0233081919902855e-09,7.988548118682685e-19,-1.023308511617139e-09,3.4102210229225533e-10,1.5538593583176278e-13,1.4929562144564396e-13,6.09031381722175e-15,3.1426922585796885e-15,2.0226933162119385e-19,8.439602407650082e-16,-5.173355369309309e-16,-1.952377062103272e-16,7.8669773467159e-17,99.93635425817581,99.97719421652587,0.021884442739368813,0.0009213407347701091,0.9130303901668673,4.5246119755653236e-05,0.08659574446141638,0.00032861925196065654
999,1013.5919732441472,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1013.5919732441472,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287684293608708,0.0,0.0,0.019247078748622328,0.051483175930186656,0.0004984257518281986,2.2336880474006142e-07,2.657820553605265e-06,9.019133571129194e-09,0.0,0.0,0.00032831771575283765,3.825849809325245e-09,4.5427570600337654e-05,0.9135890707929846,0.08603697633521841,4.983217970274073e-08,3.670237564425648e-13,1.2351490764097325e-10,1.4908655243161282e-07,2.7426450451122236e-15,0.0,4.716977048197314e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.106984433905032e-10,1.0212382201250524e-09,3.403303189803753e-10,1.5251856058181766e-13,-6.808255466587324e-10,6.192993088183524e-15,0.0,0.0,-2.877523722761512e-17,-1.0266324870812762e-17,-9.34243552432175e-24,-3.286634370392199e-17,3.312249850102897e-17,3.286913541118215e-17,7.341957019469534e-17,1.1909931646213715e-23,-3.312250086011435e-17,-3.463417344861389e-17,0.0,2.5337335065498155e-19,0.0,0.0,0.0,0.0,5.106984433905032e-10,6.808255466587324e-10,6.808254416448002e-10,6.807168422074875e-10,-3.403361308051966e-10,1.1405442331110996e-17,2.4688405000680317e-14,1.0212134302737333e-09,8.061799376577667e-19,-1.0212382201250524e-09,3.403303189803753e-10,1.586769194872101e-13,1.5251856058181766e-13,6.15835891473491e-15,6.192993088183524e-15,2.0188919628003798e-17,8.394262666217641e-14,-5.179310688554865e-14,3.209048695176908e-14,7.896837113600976e-17,99.73421794463948,99.97577873677436,0.022402003312050462,0.0018192599135967997,0.9135892604408167,4.5427580030442016e-05,0.08603699419524603,0.0003283177839068305
999,1014.1404682274248,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1014.1404682274248,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928768002381773,0.0,0.0,0.01924568811234481,0.05148591096637347,0.0004993425971382633,2.281242467978989e-07,8.18683100359192e-07,9.135023342694338e-09,0.0,0.0,0.00032867734987173254,3.826081577859003e-09,4.55976443055215e-05,0.913977384990604,0.08564813317526879,4.9994639271377305e-08,3.64519801774266e-14,1.2296598305898214e-11,1.4829052242710747e-07,2.767022570824775e-15,0.0,4.71637082037336e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.116419429037724e-10,1.0231218597646838e-09,3.4095650726879183e-10,1.5576562068723682e-13,-6.820810964823588e-10,5.4794149432275395e-15,0.0,0.0,-6.42135135716979e-16,2.2940982613451848e-17,1.4653486928224263e-22,3.018799607076684e-14,-3.0168214322800184e-14,-3.018800447432238e-14,-1.5864723213578756e-16,-7.545188223220157e-21,3.016821414495552e-14,7.580745051777786e-16,0.0,1.9782860325644124e-17,0.0,0.0,0.0,0.0,5.116419429037724e-10,6.820810964823588e-10,6.820812519602917e-10,6.820703774586533e-10,-3.410630389222291e-10,1.141941235516272e-18,2.475150023076909e-15,1.0231193260142647e-09,8.150205956070168e-19,-1.0231218597646838e-09,3.4095650726879183e-10,1.62003110282177e-13,1.5576562068723682e-13,6.237489448405318e-15,5.4794149432275395e-15,2.027358176560701e-18,8.402528459929432e-15,-5.200169044287592e-15,3.105019496726924e-15,7.958441676583161e-17,99.91813168996408,99.97555645754541,0.02283686375412792,0.0016066787004569494,0.9139775740376797,4.559765373693792e-05,0.08564815089072803,0.00032867741785535317
999,1017.3913043478259,101325.0,1.67e-07,0.001,0.02,0.05,0.929,0.05,1017.3913043478259,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287679601982044,0.0,0.0,0.01924553444963362,0.05148618314832624,0.0004994182182968702,2.585119344340892e-07,6.356694743032121e-07,9.804130195292732e-09,0.0,0.0,0.00032897465426738967,3.805074423156164e-09,4.6645154197508614e-05,0.9166819515467765,0.08294222687103861,5.082954521816296e-08,3.4934695368541817e-15,1.199210854659642e-12,1.4246573523702244e-07,2.885713410751157e-15,0.0,4.672159670544171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.117462688424552e-10,1.0233093335321714e-09,3.4100815761724e-10,1.7651493290124182e-13,-6.822062542221338e-10,8.526802465047841e-15,0.0,0.0,1.6432807158368678e-15,-5.1644264667071025e-18,-3.7103472748351865e-22,2.322303796959972e-12,-2.3221447354462866e-12,-2.3223037855776344e-12,3.5368993599339004e-17,-5.885555258982044e-20,2.3221447339257646e-12,-1.832429212040276e-15,0.0,1.5899329386354706e-16,0.0,0.0,0.0,0.0,5.117462688424552e-10,6.822062542221338e-10,6.822062185343435e-10,6.822051401005204e-10,-3.4342440002887997e-10,1.144313558579477e-19,2.4835386166999056e-16,1.023308996626802e-09,8.648806895711118e-19,-1.0233093335321714e-09,3.4100815761724e-10,1.8320930578321466e-13,1.7651493290124182e-13,6.694373253007564e-15,8.526802465047841e-15,2.0436533350168086e-19,8.3045761363864e-16,-5.224198521968249e-16,6.684106393373135e-17,8.240776897803834e-17,99.93643305256968,99.97162624839719,0.0258739923152673,0.0024997592875372872,0.9166821365091412,4.66451636092768e-05,0.08294224360660366,0.00032897472064584286
