,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2(20),X(1),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H_X(19),H2X(38),N2X2(45),N2X(46),NOX2(52),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],NO2(8) ROP [kmol/m^3 s],H2(20) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NO2(8) surface ROP [kmol/m^2 s],H2(20) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],H2OX(9) ROP [kmol/m^2 s],NOX(10) ROP [kmol/m^2 s],OX(11) ROP [kmol/m^2 s],NX(12) ROP [kmol/m^2 s],OHX(13) ROP [kmol/m^2 s],NH3X(14) ROP [kmol/m^2 s],NH2X(15) ROP [kmol/m^2 s],NHX(16) ROP [kmol/m^2 s],N2OX(17) ROP [kmol/m^2 s],NO2X(18) ROP [kmol/m^2 s],H_X(19) ROP [kmol/m^2 s],H2X(38) ROP [kmol/m^2 s],N2X2(45) ROP [kmol/m^2 s],N2X(46) ROP [kmol/m^2 s],NOX2(52) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(11) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X(14) ROP [kmol/m^2 s],NH3X(14) + OX(11) <=> NH2X(15) + OHX(13) ROP [kmol/m^2 s],NH2X(15) + OX(11) <=> NHX(16) + OHX(13) ROP [kmol/m^2 s],NHX(16) + OX(11) <=> NX(12) + OHX(13) ROP [kmol/m^2 s],NH3X(14) + OHX(13) <=> H2OX(9) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + OHX(13) <=> H2OX(9) + NHX(16) ROP [kmol/m^2 s],NHX(16) + OHX(13) <=> H2OX(9) + NX(12) ROP [kmol/m^2 s],2 OHX(13) <=> H2OX(9) + OX(11) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(9) ROP [kmol/m^2 s],2 NX(12) <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX(12) + OX(11) <=> NOX(10) + X(1) ROP [kmol/m^2 s],NOX(10) <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX(10) + NX(12) <=> N2OX(17) + X(1) ROP [kmol/m^2 s],N2OX(17) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X(14) + X(1) <=> H_X(19) + NH2X(15) ROP [kmol/m^2 s],NH2X(15) + X(1) <=> H_X(19) + NHX(16) ROP [kmol/m^2 s],NHX(16) + X(1) <=> H_X(19) + NX(12) ROP [kmol/m^2 s],H_X(19) + OX(11) <=> OHX(13) + X(1) ROP [kmol/m^2 s],H_X(19) + OHX(13) <=> H2OX(9) + X(1) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX(11) Coverage,NOX(10) Coverage,NX(12) Coverage,X Coverage,Residence Time (s)
999,500,101325.0,0.00011052951411260219,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999524,0.0,0.0,0.019999999999845662,0.05000000000030407,1.0220731218075943e-13,2.6753607386782e-29,0.0009999999997955345,1.6195156490923797e-26,0.0,0.0,9.940759892761687e-08,1.1776192214409964e-11,7.191571078788833e-10,0.009847747265715587,0.9901468281587524,1.735828991703632e-12,1.232493052118803e-10,6.338971805233853e-10,5.323665807833455e-06,3.80548694037998e-32,0.0,1.2309735342416177e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.926708555163121e-17,1.3853416419990684e-16,4.617805703441091e-17,1.2087487494027147e-32,-9.235611405056379e-17,7.317097418592427e-30,0.0,0.0,-6.886806682715433e-24,6.903347911346503e-24,-2.562211648386524e-33,4.42743589617436e-19,-4.427395510084645e-19,-4.427435896170674e-19,4.018604868471416e-24,-4.036877674711501e-24,4.427395510085872e-19,-1.4433374182545614e-43,0.0,1.731077759707467e-27,0.0,0.0,0.0,0.0,6.926708555163121e-17,9.235611405056379e-17,9.23561034006134e-17,9.235600684430673e-17,-4.6620693416876684e-17,6.631313545227966e-24,3.0638030376912306e-23,1.385341338336961e-16,4.6841903535843217e-32,-1.3853416419990684e-16,4.617805703441091e-17,7.326622694437923e-30,1.2087487494027147e-32,7.317097418592281e-30,7.317097418592427e-30,3.197292084937163e-29,7.65864994751417e-23,-6.589899139791352e-23,1.0685594277761738e-23,2.1469462758122187e-28,2.0446556774078584e-08,99.99999999998414,1.3087912604267748e-14,1.584539906722087e-11,0.009847799699820645,7.191609370144541e-10,0.9901521001728902,9.94081282211035e-08,-4.043478260869565
999,500,101325.0,0.00012216773489967902,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999572,0.0,0.0,0.019999999999860376,0.050000000000275116,9.247060660798532e-14,2.4204944354685698e-29,0.0009999999998150128,1.4652336636735696e-26,0.0,0.0,9.940759892759266e-08,1.1776192214400314e-11,7.191571078700403e-10,0.009847747265590848,0.990146828158877,1.7358289916926202e-12,1.2324930521425068e-10,6.338971805315698e-10,5.323665807867781e-06,3.541341768315706e-32,0.0,1.2309735342490991e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.926708555164577e-17,1.3853417123094203e-16,4.6178057034420775e-17,1.2087487493881491e-32,-9.235611518793712e-17,7.317097418503153e-30,0.0,0.0,-9.940124666632407e-25,-1.2765810750074069e-25,-3.525176531352462e-33,1.0932773010803598e-18,-1.0932608538844548e-18,-1.0932773010800763e-18,1.7563687398941063e-23,-1.6444605957073358e-23,1.0932608538839622e-18,4.764414778704378e-44,0.0,2.5893593918787532e-27,0.0,0.0,0.0,0.0,6.926708555164577e-17,9.235611518793712e-17,9.235609099290422e-17,9.235600684432584e-17,-4.727121472036799e-17,6.631313545314143e-24,3.063803037711237e-23,1.3853413383372528e-16,4.684190353525392e-32,-1.3853417123094203e-16,4.6178057034420775e-17,7.325659729465728e-30,1.2087487493881491e-32,7.3170974185032e-30,7.317097418503153e-30,3.197292084937163e-29,7.658649947610898e-23,-6.589838555273831e-23,1.0685341842272068e-23,2.1469462758118757e-28,1.8498722519078026e-08,99.99999999998415,1.3087912604107243e-14,1.5845399067024156e-11,0.009847799699695906,7.191609370056111e-10,0.9901521001730149,9.94081282210793e-08,-4.08695652173913
999,500,101325.0,0.0001492495545051829,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.928999999999965,0.0,0.0,0.01999999999988571,0.05000000000022519,7.56915127254864e-14,1.98128780680602e-29,0.0009999999998485797,1.1993622250966637e-26,0.0,0.0,9.940759892755133e-08,1.1776192214383652e-11,7.191571078548006e-10,0.009847747265375994,0.9901468281590916,1.7358289916736522e-12,1.2324930521833693e-10,6.338971805456808e-10,5.323665807926927e-06,3.086145027755443e-32,0.0,1.2309735342620035e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.926708555167798e-17,1.3853417123094203e-16,4.6178057034442216e-17,1.2087487493631059e-32,-9.235611332678075e-17,7.317097418350431e-30,0.0,0.0,8.722973180077508e-25,-1.2759376603315867e-25,1.867427466001235e-33,-5.330433294550684e-19,5.33042400725314e-19,5.330433294554203e-19,-1.6682618430566833e-24,9.261431720402904e-25,-5.330424007249613e-19,-5.04467447156934e-44,0.0,-2.5855664804369452e-27,0.0,0.0,0.0,0.0,6.926708555167798e-17,9.235611332678075e-17,9.235610836369708e-17,9.235600684436956e-17,-4.5644911461639737e-17,6.631313545463403e-24,3.0638030377460533e-23,1.3853413383378963e-16,4.684190353424336e-32,-1.3853417123094203e-16,4.6178057034442216e-17,7.331052333310012e-30,1.2087487493631059e-32,7.31709741835038e-30,7.317097418350431e-30,3.197291144541682e-29,7.658649947778433e-23,-6.59025254947689e-23,1.0686376827779715e-23,2.146946275811529e-28,1.5142032593062904e-08,99.99999999998415,1.3087912603830006e-14,1.5845399066686075e-11,0.009847799699481056,7.191609369903717e-10,0.9901521001732299,9.9408128221038e-08,-4.173913043478261
999,500,101325.0,0.00018233480008684387,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999712,0.0,0.0,0.019999999999906447,0.050000000000184334,6.195704028372752e-14,1.6217766568229845e-29,0.0009999999998760553,9.817340282694034e-27,0.0,0.0,9.940759892751737e-08,1.1776192214369574e-11,7.19157107842326e-10,0.009847747265200043,0.9901468281592676,1.7358289916581169e-12,1.232493052216809e-10,6.338971805572276e-10,5.323665807975345e-06,2.713545223955636e-32,0.0,1.2309735342725554e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.92670855516991e-17,1.3853408520415835e-16,4.617805703445638e-17,1.2087487493425619e-32,-9.23561144641541e-17,7.31709741822446e-30,0.0,0.0,-8.629490288396894e-23,8.589923261192631e-23,5.192766307625681e-34,-4.2461814870441225e-19,4.246221861164414e-19,4.2461814870433386e-19,4.4321951743961065e-24,-4.0369682259907194e-24,-4.246221861167038e-19,2.942726775082116e-43,0.0,4.436607649451554e-28,0.0,0.0,0.0,0.0,6.92670855516991e-17,9.23561144641541e-17,9.23561034006134e-17,9.235600684439728e-17,-4.575333167888829e-17,6.631313545585053e-24,3.063803037774293e-23,1.3853413383383227e-16,4.684190353341253e-32,-1.3853408520415835e-16,4.617805703445638e-17,7.329704182348942e-30,1.2087487493425619e-32,7.317097418224754e-30,7.31709741822446e-30,3.197291558315693e-29,7.658649947914951e-23,-6.589990016567632e-23,1.0685972930996244e-23,2.1469462758110668e-28,1.2394469131593588e-08,99.99999999998414,1.308791260360355e-14,1.584539906640842e-11,0.009847799699305103,7.19160936977897e-10,0.9901521001734058,9.940812822100404e-08,-4.260869565217391
999,500,101325.0,0.0002462092401494625,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999784,0.0,0.0,0.019999999999930712,0.05000000000013651,4.588343048072823e-14,1.2010366561464086e-29,0.00099999999990821,7.270412664882254e-27,0.0,0.0,9.940759892747811e-08,1.177619221435402e-11,7.191571078277475e-10,0.00984774726499445,0.9901468281594734,1.7358289916399698e-12,1.2324930522559058e-10,6.338971805707293e-10,5.323665808031948e-06,2.2774874223826767e-32,0.0,1.2309735342848999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.926708555173015e-17,1.3853415634169102e-16,4.6178057034476716e-17,1.2087487493186029e-32,-9.235613276552515e-17,7.317097418078771e-30,0.0,0.0,-3.345931803772554e-23,1.476176050209231e-23,-1.9844321504799256e-33,-1.183555533570844e-18,1.1835637074820362e-18,1.183555533572309e-18,2.686946928975611e-23,-8.172912545651919e-24,-1.1835637074817043e-18,-2.368194404708941e-43,0.0,9.990204432205793e-28,0.0,0.0,0.0,0.0,6.926708555173015e-17,9.235613276552515e-17,9.235609926471034e-17,9.235600684443853e-17,-4.499439015814843e-17,6.631313545727802e-24,3.0638030378075963e-23,1.3853413383389287e-16,4.6841903532445276e-32,-1.3853415634169102e-16,4.6178057034476716e-17,7.327200473421237e-30,1.2087487493186029e-32,7.317097418078531e-30,7.317097418078771e-30,3.197291370236597e-29,7.65864994807524e-23,-6.589929432050114e-23,1.0686023418094176e-23,2.146946275810709e-28,9.179007380566429e-09,99.99999999998414,1.3087912603338363e-14,1.584539906608595e-11,0.009847799699099505,7.191609369633181e-10,0.9901521001736113,9.940812822096476e-08,-4.391304347826087
999,500,101325.0,0.0002721338768375309,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999808,0.0,0.0,0.019999999999937318,0.050000000000123515,4.1512378706370584e-14,1.0866207689254704e-29,0.0009999999999169547,6.577802067813419e-27,0.0,0.0,9.940759892746726e-08,1.1776192214349715e-11,7.191571078237631e-10,0.009847747264938266,0.9901468281595294,1.7358289916350142e-12,1.2324930522665955e-10,6.338971805744165e-10,5.323665808047407e-06,2.158906017794702e-32,0.0,1.2309735342882744e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.926708555173966e-17,1.3853416544067776e-16,4.6178057034483095e-17,1.2087487493120647e-32,-9.235611467094924e-17,7.317097418038652e-30,0.0,0.0,-6.263792664808756e-24,5.6627930911011835e-24,-1.0214671383885378e-33,4.427154651703941e-19,-4.4273955325913545e-19,-4.4271546516925035e-19,-2.348515049945993e-23,2.4087118721611078e-23,4.427395532593306e-19,4.90454462513686e-44,0.0,-9.699759258556651e-28,0.0,0.0,0.0,0.0,6.926708555173966e-17,9.235611467094924e-17,9.235613152475423e-17,9.235600684445115e-17,-4.6620693416876684e-17,6.631313545766998e-24,3.063803037816748e-23,1.385341338339122e-16,4.684190353218209e-32,-1.3853416544067776e-16,4.6178057034483095e-17,7.328163438393432e-30,1.2087487493120647e-32,7.317097418038701e-30,7.317097418038652e-30,3.197292498711174e-29,7.658649948119147e-23,-6.590131380441848e-23,1.0685972930996244e-23,2.1469462758106596e-28,8.30453327632652e-09,99.99999999998415,1.3087912603265762e-14,1.5845399065996882e-11,0.009847799699043324,7.191609369593338e-10,0.9901521001736675,9.940812822095392e-08,-4.434782608695652
999,500,101325.0,0.0003674661940736688,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999856,0.0,0.0,0.019999999999953583,0.05000000000009148,3.0742758752520676e-14,8.047170794618088e-30,0.0009999999999384993,4.871312808167637e-27,0.0,0.0,9.940759892744058e-08,1.1776192214339015e-11,7.191571078139807e-10,0.009847747264800292,0.9901468281596676,1.735828991622839e-12,1.2324930522928138e-10,6.338971805834723e-10,5.323665808085394e-06,1.8667391145169197e-32,0.0,1.2309735342965493e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.92670855517476e-17,1.3853416668144868e-16,4.617805703448855e-17,1.2087487492958807e-32,-9.235611632531048e-17,7.31709741793937e-30,0.0,0.0,-6.681679354094136e-24,4.422039132781103e-24,-1.3103565304759595e-33,7.680257484144806e-19,-7.680002013636634e-19,-7.680257484143966e-19,2.780004747874077e-23,-2.554372858386423e-23,7.680002013635015e-19,-7.987401246651456e-44,0.0,3.321428452212818e-27,0.0,0.0,0.0,0.0,6.92670855517476e-17,9.235611632531048e-17,9.235608189391748e-17,9.235600684446172e-17,-4.6945954068622336e-17,6.631313545861546e-24,3.0638030378385336e-23,1.3853413383392916e-16,4.6841903531525055e-32,-1.3853416668144868e-16,4.617805703448855e-17,7.327874548901773e-30,1.2087487492958807e-32,7.31709741793929e-30,7.31709741793937e-30,3.19729174639479e-29,7.658649948225265e-23,-6.589767873336722e-23,1.0685316598723098e-23,2.146946275810034e-28,6.150071771293675e-09,99.99999999998414,1.3087912603088983e-14,1.5845399065780012e-11,0.009847799698905346,7.191609369495512e-10,0.9901521001738055,9.940812822092722e-08,-4.565217391304348
999,500,101325.0,0.0004489251258218608,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999882,0.0,0.0,0.019999999999961996,0.05000000000007485,2.51643846697942e-14,6.586985345329802e-30,0.0009999999999496588,3.987397173349152e-27,0.0,0.0,9.940759892742656e-08,1.1776192214333474e-11,7.191571078089267e-10,0.009847747264729005,0.9901468281597386,1.7358289916165406e-12,1.2324930523063752e-10,6.338971805881527e-10,5.323665808105023e-06,1.715404500294375e-32,0.0,1.2309735343008306e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.926708555176767e-17,1.3853417288530328e-16,4.617805703450211e-17,1.2087487492876604e-32,-9.235612356314083e-17,7.317097417889709e-30,0.0,0.0,-7.712310743977736e-24,-1.781775056897114e-24,-5.399845029819762e-34,-1.6172628725472012e-18,1.6172445756943522e-18,1.6172628725470009e-18,-8.80269462678267e-24,1.8296816652733174e-23,-1.6172445756944161e-18,-7.42688186092153e-44,0.0,-3.5962992679319846e-29,0.0,0.0,0.0,0.0,6.926708555176767e-17,9.235612356314083e-17,9.235612573448993e-17,9.235600684448896e-17,-4.4560709289154226e-17,6.631313545912004e-24,3.0638030378505e-23,1.3853413383396956e-16,4.684190353119598e-32,-1.3853417288530328e-16,4.617805703450211e-17,7.328644920879528e-30,1.2087487492876604e-32,7.317097417889635e-30,7.317097417889709e-30,3.197291896858067e-29,7.658649948281889e-23,-6.590010211406807e-23,1.068625061003488e-23,2.146946275810213e-28,5.034124159197795e-09,99.99999999998415,1.3087912602996133e-14,1.584539906566782e-11,0.009847799698834061,7.191609369444975e-10,0.9901521001738768,9.940812822091322e-08,-4.6521739130434785
999,500,101325.0,0.0005484416576121015,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999904,0.0,0.0,0.019999999999968897,0.05000000000006128,2.0598224801715927e-14,5.39175531960391e-30,0.0009999999999587932,3.2638709202567204e-27,0.0,0.0,9.940759892741813e-08,1.177619221432916e-11,7.191571078049167e-10,0.009847747264672777,0.9901468281597948,1.735828991611772e-12,1.232493052317474e-10,6.338971805919876e-10,5.323665808120997e-06,1.5915300465815178e-32,0.0,1.2309735343043555e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.926708555178356e-17,1.3853415013783643e-16,4.6178057034509885e-17,1.2087487492811042e-32,-9.235614465624643e-17,7.317097417850331e-30,0.0,0.0,-5.155115765001374e-23,2.0965748734207745e-23,6.489659833964237e-33,7.706909726818903e-18,-7.706894110971749e-18,-7.706909726844256e-18,4.620481610793908e-23,-1.561762494732171e-23,7.706894110992608e-18,-5.633219826585765e-43,0.0,-1.7777673983531812e-27,0.0,0.0,0.0,0.0,6.926708555178356e-17,9.235614465624643e-17,9.235609182008484e-17,9.235600684452543e-17,-5.3884847972529564e-17,6.631313545954557e-24,3.0638030378607857e-23,1.3853413383402648e-16,4.6841903530946155e-32,-1.3853415013783643e-16,4.6178057034509885e-17,7.335674565176543e-30,1.2087487492811042e-32,7.317097417849768e-30,7.317097417850331e-30,3.197293100564282e-29,7.65864994832799e-23,-6.590343426253171e-23,1.0684660266449956e-23,2.1469462758108017e-28,4.120683828878757e-09,99.99999999998415,1.308791260292294e-14,1.5845399065579876e-11,0.009847799698777833,7.191609369404874e-10,0.9901521001739331,9.94081282209048e-08,-4.739130434782608
999,500,101325.0,0.0006061898993497572,0.001,0.02,0.05,0.929,0.05,500.0,1e-12,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999912,0.0,0.0,0.019999999999971863,0.05000000000005544,1.863594983395666e-14,4.878113653970347e-30,0.0009999999999627186,2.9529406208439538e-27,0.0,0.0,9.940759892741043e-08,1.1776192214326981e-11,7.191571078029909e-10,0.009847747264645287,0.9901468281598224,1.7358289916091523e-12,1.232493052322278e-10,6.338971805936454e-10,5.3236658081280485e-06,1.5382958746108488e-32,0.0,1.2309735343058508e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.926708555186372e-17,1.3853417081735174e-16,4.617805703456618e-17,1.2087487492786348e-32,-9.2356121081599e-17,7.317097417838807e-30,0.0,0.0,-7.299087282674054e-24,2.863682909449407e-25,-4.4368795497815665e-34,2.2591059964849563e-19,-2.258991175683038e-19,-2.259105996484497e-19,1.8494265587405318e-23,-1.1481813072299845e-23,2.2589911756779583e-19,1.3172205564653278e-43,0.0,2.6696033528691155e-28,0.0,0.0,0.0,0.0,6.926708555186372e-17,9.2356121081599e-17,9.235609595598788e-17,9.235600684461662e-17,-4.640385298237959e-17,6.631313545978064e-24,3.0638030378677393e-23,1.3853413383416138e-16,4.6841903530858886e-32,-1.3853417081735174e-16,4.617805703456618e-17,7.328741217376749e-30,1.2087487492786348e-32,7.31709741783894e-30,7.317097417838807e-30,3.1972914830840547e-29,7.658649948356339e-23,-6.590020308826394e-23,1.0685846713251408e-23,2.1469462758126546e-28,3.7281375903086555e-09,99.99999999998415,1.3087912602880248e-14,1.5845399065535603e-11,0.009847799698750343,7.191609369385615e-10,0.9901521001739605,9.940812822089709e-08,-4.782608695652174
