,T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_h2o initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NN_ads(45),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(10) ROP [kmol/m^2 s],N2O_X(11) ROP [kmol/m^2 s],H_X(12) ROP [kmol/m^2 s],NN_ads(45) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH3X + OHX <=> H2O_X(10) + NH2_X(8) ROP [kmol/m^2 s],NH2_X(8) + OHX <=> H2O_X(10) + NH_X(9) ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(10) + NX ROP [kmol/m^2 s],2 OHX <=> H2O_X(10) + OX ROP [kmol/m^2 s],H2O_X(10) <=> H2O(3) + X(1) ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NOX + NX <=> N2O_X(11) + X(1) ROP [kmol/m^2 s],N2O_X(11) <=> N2O(7) + X(1) ROP [kmol/m^2 s],NH3X + X(1) <=> H_X(12) + NH2_X(8) ROP [kmol/m^2 s],NH2_X(8) + X(1) <=> H_X(12) + NH_X(9) ROP [kmol/m^2 s],NH_X(9) + X(1) <=> H_X(12) + NX ROP [kmol/m^2 s],H_X(12) + OX <=> OHX + X(1) ROP [kmol/m^2 s],H_X(12) + OHX <=> H2O_X(10) + X(1) ROP [kmol/m^2 s],NH3(6) conversion (%),N2(4) Selectivity (%),NO(5) Selectivity (%),N2O(7) Selectivity (%),OX Coverage,NOX Coverage,NX Coverage,X Coverage
99999,1000,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,1000.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9288290167202724,0.0,0.0,0.018851232321494427,0.05143249240013288,9.419569126300648e-08,0.0007360151811804997,3.868598591359503e-05,0.00011246319531511916,0.0007574122988266921,0.9792255675141056,0.0040119328405643076,4.5011334408835756e-07,3.698490288608286e-10,0.01600256892556497,5.933634544944988e-10,1.826965510204417e-06,1.8998720799201558e-07,2.4512970856685807e-12,5.038921205687344e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.935739211790292e-09,9.991327765135337e-09,6.527998853099321e-13,5.100770738295304e-09,-6.660872926664018e-09,7.793982887468326e-10,2.0506437076430862e-18,7.940933880509066e-23,-2.1403298349809588e-23,-7.447981642812419e-23,1.757798605703195e-20,1.836857932861316e-14,9.186845332541391e-24,4.1359030627651375e-25,-1.837516565001586e-14,4.518109206023201e-18,-4.471516046282366e-25,0.0,7.935739211790292e-09,6.660872926664018e-09,6.6558808587713275e-09,6.572349076036978e-09,2.9771293271674306e-09,3.47380140573524e-12,8.851025583618172e-11,1.034068050291814e-09,8.86519889096005e-09,9.991327765135337e-09,6.527998853099321e-13,5.88016903361089e-09,5.100770738295304e-09,7.793982932649418e-10,7.793982887468326e-10,1.518266469378319e-12,1.3594773272054704e-14,2.649675549187186e-09,2.6511490189539293e-09,5.839147590754821e-14,96.1314014086405,0.01960103108362906,76.57811225282597,23.4022867160904,0.979228033622489,0.0007574142063144884,0.004011942944325423,0.016002609226871117
99999,1050,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,1050.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287992384672854,0.0,0.0,0.01880464755057173,0.051451641906504635,3.940764503574477e-08,0.0008643411318120052,2.481912445095177e-05,5.527241173009802e-05,0.00045106447457151483,0.9740724964992624,0.0012898346482222089,5.787645846287007e-07,2.5593232292809344e-10,0.024185005457804658,3.875335723636842e-10,7.238014283324126e-07,2.608384833025245e-07,1.5982646350853069e-12,3.4870578475181916e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.254405194578929e-09,1.0135477346295831e-08,2.731136700026915e-13,5.9902939618210185e-09,-6.75696825755927e-09,3.830640032606581e-10,1.360779114449226e-17,-3.8794770728737e-22,-1.8146274687882045e-23,1.6198584685956057e-22,2.3832547670912404e-21,2.4922217260281773e-14,-1.3383536438941046e-23,3.722312756488625e-23,-2.495996058684464e-14,2.413337399543696e-17,-9.687338133858858e-25,0.0,8.254405194578929e-09,6.75696825755927e-09,6.750305356901456e-09,6.68219524775309e-09,2.8421664276934304e-09,3.748694700507937e-12,7.474058581735734e-11,6.604654350329452e-10,9.396417524610972e-09,1.0135477346295831e-08,2.731136700026915e-13,6.373358002822842e-09,5.9902939618210185e-09,3.8306402739403203e-10,3.830640032606581e-10,2.9142059549222776e-12,3.242398645139779e-14,3.2543363948304866e-09,3.2572028785984002e-09,8.014617346088044e-14,97.51808755490484,0.008083911662547396,88.65357640204343,11.338339686294027,0.9740740539658843,0.0004510651957887405,0.0012898367105681017,0.024185044127758782
99999,1250,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,1250.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928771776198557,0.0,0.0,0.01875277898224102,0.05148268369470148,3.0644758745394627e-09,0.0009826582474432184,3.109667652279691e-06,6.9901449293171995e-06,0.00012992027257153395,0.803675611968372,3.8406449681957386e-05,2.6551175906165767e-06,9.136367777996736e-11,0.19615155994448133,1.1412284330768837e-10,1.7883291578843402e-08,1.581931329918914e-06,1.0967045477164683e-12,2.462260978282143e-07,2.413441149137829e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.61003610025672e-09,1.0383672588432091e-08,2.1238899183831588e-14,6.810488662606361e-09,-6.907424450994143e-09,4.844648337012925e-11,4.07644112614138e-16,9.496364304353779e-20,-1.4100844504614894e-23,-1.2558314220916884e-21,-1.102364331626087e-18,2.2535534997593604e-11,7.557312715566259e-24,-2.481541837659083e-24,-2.253591028666977e-11,-3.1346292996873e-17,-7.875341042873025e-23,0.0,8.61003610025672e-09,6.907424450994143e-09,6.844894759735262e-09,6.8033603774180624e-09,9.741974649562349e-10,1.1367458124298314e-11,1.0279419357684977e-10,1.5331709706497818e-10,1.0092961148832476e-08,1.0383672588432091e-08,2.1238899183831588e-14,6.858935522274311e-09,6.810488662606361e-09,4.844645202383625e-11,4.844648337012925e-11,5.1162234236946654e-11,1.2698811015875945e-12,5.779909890075288e-09,5.8316452248670815e-09,6.967805468186013e-13,99.68903323477203,0.0006149585968483455,98.59664843167286,1.4027366097302922,0.8036792296218416,0.0001299208573927203,3.840662256417986e-05,0.1961524428982015
99999,1350,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,1350.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9287693700261684,0.0,0.0,0.018748888328902345,0.05148442761661502,3.2285482831966153e-09,0.0009930181848775014,1.8581279118370098e-06,2.434486976549849e-06,6.823688981384915e-05,0.6129647970636247,1.6516397020209486e-05,4.4445624270174116e-06,7.29579957325418e-11,0.3869422052169696,8.543222646757087e-11,4.3320779374512974e-09,2.811181513165475e-06,6.494155198642751e-13,9.841975140981293e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.636664331889768e-09,1.16094867053107e-08,2.2376090382607272e-14,6.882270676966673e-09,-6.916098439325964e-09,1.6872245923527446e-11,3.7626128511381186e-14,9.977229209849229e-18,2.9339062351490197e-24,4.66840058209615e-23,1.5346529393270883e-19,1.2353009642680514e-09,-3.602759308580569e-25,-8.271806125530277e-25,-1.2353390465518965e-09,4.460247466838039e-16,-1.5183934119176512e-22,0.0,8.636664331889768e-09,6.916098439325964e-09,6.735625285683081e-09,6.780825527873574e-09,5.298902619717262e-10,1.929812377855459e-11,1.2971396945244623e-10,8.074288480614255e-11,1.0142250829404146e-08,1.16094867053107e-08,2.2376090382607272e-14,6.899180995043458e-09,6.882270676966673e-09,1.6872691948274127e-11,1.6872245923527446e-11,1.6117502971086457e-10,5.5589418464800084e-12,6.305465292394633e-09,6.470057412634614e-09,2.1418513175150557e-12,99.8141872088163,0.0006470762439371608,99.51143795146643,0.4879149722896359,0.612969850652227,6.823745239292427e-05,1.6516533189653686e-05,0.3869453953621906
99999,1400,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,1400.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.928768915210683,0.0,0.0,0.01874819324770195,0.05148469885372635,4.660415478913825e-09,0.0009949736280189902,1.6604934947446958e-06,1.553905959313897e-06,4.795666334344842e-05,0.5091581680707147,1.3457261964792556e-05,5.261764068829899e-06,6.977037726385456e-11,0.4907700113252968,7.998703137333534e-11,2.460878504380216e-09,3.4097625427791126e-06,4.928952117361471e-13,1.732540939933628e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.641418100220419e-09,1.1651138720480958e-08,3.229994409128389e-14,6.8958534299445864e-09,-6.917468177811418e-09,1.0769650606425388e-11,1.083424265318566e-14,1.2635034964237237e-17,-7.935764001680609e-24,3.4948380880365425e-23,-1.6611337663713333e-20,1.2749256006081425e-09,-4.604423331594002e-25,3.3087224502121114e-24,-1.2749364537387325e-09,6.269880641780178e-18,-3.984942600974211e-22,0.0,8.641418100220419e-09,6.917468177811418e-09,6.6268591350630704e-09,6.762523233953895e-09,3.9825458622714865e-10,2.4303155904376447e-11,1.4422240702888462e-10,6.002370856355997e-11,1.0143904123020669e-08,1.1651138720480958e-08,3.229994409128389e-14,6.906633921063546e-09,6.8958534299445864e-09,1.076965687630603e-11,1.0769650606425388e-11,2.663058868605834e-10,1.0722536845251331e-11,6.459189883037319e-09,6.732469434518814e-09,3.748872224737872e-12,99.83395065052552,0.0009338675338500869,99.68769014296518,0.3113759895009713,0.5091634667713092,4.795716241822813e-05,1.3457402011651163e-05,0.49077511866426105
99999,350,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,350.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999844,0.0,0.0,0.019999999999982945,0.0500000000000326,7.212755139931818e-39,3.321392520085288e-14,0.000999999999966768,2.813572640137503e-21,0.9999071658945412,1.1218994346350412e-06,7.692166654398264e-07,1.8015707018827858e-16,4.433850908835397e-08,3.718066796267146e-08,4.748993110532227e-09,9.085668243433516e-05,3.875169996831661e-11,4.82249034584758e-32,2.3254518482366127e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1581721093980046e-19,4.438452643612534e-19,5.0034406517036685e-44,2.301376851824753e-19,-2.3014514351152763e-19,2.9099254101857796e-26,-2.301377046888448e-19,-6.852897794949095e-24,2.9979870425131603e-21,1.3398061244761828e-29,7.027873771186777e-26,2.1220343275595147e-19,5.603470796362112e-24,2.271414632131109e-19,-2.122039895972555e-19,-9.592884652574642e-27,2.2722647682808425e-30,0.0,1.1581721093980046e-19,2.3014514351152763e-19,2.300608887161905e-19,1.5803875259874496e-21,1.7983761270180248e-28,8.517851693887282e-23,2.285590822360057e-19,2.997012366433541e-21,1.644619794635217e-27,4.438452643612534e-19,5.0034406517036685e-44,-2.279750009852661e-36,2.301376851824753e-19,1.950636944928316e-26,2.9099254101857796e-26,-9.940003394498704e-25,4.154908681421366e-34,9.94002611453817e-25,1.5466775238326182e-34,1.4163821831047681e-39,3.3232097629287694e-09,4.3482138811282945e-23,99.9999747114457,2.5288554301747178e-05,1.122001431082486e-06,0.9999980715279226,7.69286598060138e-07,3.718404820864426e-08
99999,400,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,400.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289999999946024,0.0,0.0,0.019999999994034533,0.05000000001140832,3.6748985181003064e-26,9.383852579658684e-12,0.0009999999905318745,3.907955073391499e-14,0.9728893591904032,1.6292261611354568e-05,0.009218793988977942,1.6989965582781178e-15,4.8238454911602e-08,7.191887117014149e-07,1.0735419149470876e-07,0.017874679471230115,2.995772469937988e-10,4.111892501918566e-24,6.840286745719996e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0534841335690287e-17,9.007009547923328e-17,2.5735884492026326e-31,6.408644449024723e-17,-6.555114277008452e-17,7.708273276306378e-18,-6.435864226844896e-17,-2.1249394061748928e-21,3.0760068027495017e-17,-1.4157974150665225e-26,-4.57818154643903e-21,1.551618557497935e-17,9.246569072647087e-23,3.452336268023526e-17,-8.998287854292382e-18,-7.436075498100802e-18,7.552346655131122e-27,0.0,4.0534841335690287e-17,6.555114277008452e-17,6.617827665477354e-17,1.4893136131346404e-17,3.8978800698633934e-22,-5.886802588610461e-21,5.0662492354824265e-17,3.0415207108010736e-17,-5.03530551107176e-24,9.007009547923328e-17,2.5735884492026326e-31,3.84894349297179e-30,6.408644449024723e-17,2.7219777820557595e-19,7.708273276306378e-18,-6.166689005539725e-19,-2.30444703027235e-28,6.166689096872404e-19,1.3504744376748544e-27,2.0237144013728183e-33,9.468125502370972e-07,6.474192770471232e-13,80.60884710073093,19.39115289926842,1.6588783383325e-05,0.9905961014217742,0.00938657751678092,7.322780614959341e-07
99999,450,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,450.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289999999865602,0.0,0.0,0.019999999981157996,0.05000000003642336,1.4861397216014078e-18,1.4970045309745662e-11,0.0009999999768051096,4.083291042852283e-12,0.0037850947162561726,2.059756025589648e-05,0.9880396846963598,6.167827884720849e-15,9.536205044702362e-09,1.31600697356839e-06,3.861503225616174e-08,0.008153258572819006,2.7082287986860304e-10,3.1668667111944976e-22,2.526923057667851e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2796254613379768e-16,-7.280959689326406e-16,1.0298045797912683e-23,6.434772078547666e-17,-1.5912242163983324e-16,-6.570460636342497e-16,-9.246554784881496e-17,-2.863963428421476e-19,1.645948524328084e-16,-1.517385319341874e-26,-7.3252297415240775e-19,-1.707723976156121e-15,-3.8455886554052924e-22,-3.2857372403069386e-17,9.843074568164107e-16,6.85163891439429e-16,-3.8960917895889792e-25,0.0,1.2796254613379768e-16,1.5912242163983324e-16,1.6397888464042099e-16,9.219340424058368e-17,3.906365099108843e-20,-2.0717038301137764e-20,6.76619250153332e-17,1.8857041485263102e-16,-1.349458934472095e-22,-7.280959689326406e-16,1.0298045797912683e-23,7.418411443757783e-25,6.434772078547666e-17,2.8117827805179437e-17,-6.570460636342497e-16,-4.103222988134205e-18,-8.306567978358977e-26,4.103223072298462e-18,3.907071765588249e-25,5.7980337081696676e-31,2.3194890452771233e-06,-1.6480243342888496e-06,-5.148870562023748,105.1488722100481,2.0766878996202923e-05,0.0038162094435022593,0.9961616968525164,1.326824985033379e-06
99999,500,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,500.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289999999999984,0.0,0.0,0.019999999999997117,0.050000000000005616,1.035336089651897e-15,2.0281245989369167e-19,0.0009999999999979275,6.427137191514262e-22,7.209812929076172e-15,1.2965781644691965e-07,0.9987726215764536,5.668378262825837e-18,2.07500411845866e-11,1.6772655764196278e-08,1.85343343446346e-10,0.001227231784885496,1.9783136060812072e-12,3.2483549565833983e-34,1.0954809733649784e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.971929637151009e-20,1.2705494208814505e-21,7.173835777027369e-21,1.4055797269973492e-24,-1.437050538430718e-20,4.4589334779083e-27,-1.3641350158720449e-28,4.628072204289426e-25,3.582695258165241e-20,1.4682946203750644e-30,2.1806091693782976e-23,-3.818805276592911e-20,-3.0076315101506875e-27,-3.5827336185912885e-20,3.816617061656792e-20,-5.36490332767656e-30,2.6490505409870795e-30,0.0,1.971929637151009e-20,1.437050538430718e-20,1.4660841571975914e-20,2.2482904774893598e-20,2.2928943355845284e-21,-6.088909076790877e-24,-8.134198887544064e-21,4.7577086901154276e-20,-7.906708407113467e-26,1.2705494208814505e-21,7.173835777027369e-21,1.4098968820703423e-24,1.4055797269973492e-24,4.4535685745806235e-27,4.4589334779083e-27,-3.0605337028572874e-22,-3.587104628267528e-27,3.060572494189838e-22,2.8937955934221744e-28,1.6963299794140639e-35,2.0725608729232903e-10,99.99014224607156,0.009795604555844517,6.214937260615249e-05,1.2981713218478503e-07,7.218671914196728e-15,0.9999998533895956,1.679326499626775e-08
99999,550,101325.0,1.6666666666666999e-07,0.001,0.02,0.05,0.929,0.05,550.0,1.0000000000000001e-11,9.999999999999999e-23,IdealGasReactor,off,0.9289999999998996,0.0,0.0,0.01999999999967322,0.050000000000643405,2.1604940012653988e-13,4.2711157731639017e-16,0.000999999999567358,3.865066382616009e-18,1.1736548785995664e-12,2.5884641437224542e-06,0.999993160417702,4.4380426496847855e-14,5.4055791429875184e-11,1.8345249285742732e-07,1.1208926449105227e-10,4.067484476293467e-06,1.3815178983279518e-11,1.1531997184159373e-29,6.879872550050811e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.249254713785306e-18,4.519767806548946e-18,1.4970012294937809e-18,2.95944610829138e-21,-2.9969964378417817e-18,2.678095439537459e-23,-1.3295635154234052e-31,2.030174487612329e-31,2.821366768684378e-30,-1.5640337803332748e-32,-1.9029162464017196e-23,2.4263635203701815e-20,-4.68013757346893e-34,-3.0395989347291546e-30,-2.42446060410503e-20,-2.3382140167870135e-32,1.526916684702258e-33,0.0,2.249254713785306e-18,2.9969964378417817e-18,2.995166724756916e-18,1.4986866352403083e-18,1.7335237916940413e-21,1.694762395475971e-21,1.4983288226843511e-18,2.9954359300358435e-18,6.368539216220375e-23,4.519767806548946e-18,1.4970012294937809e-18,2.986227062530416e-21,2.95944610829138e-21,2.678095437199245e-23,2.678095439537459e-23,1.5397985185408457e-22,9.079586494091463e-27,-1.5398682025186003e-22,2.1111239305236112e-27,6.326121262746074e-32,4.3264198647252616e-08,99.8994663841327,0.09874644094677254,0.0017871749205312388,2.588474672768958e-06,1.1736596526532562e-12,0.9999972280709145,1.8345323908365312e-07
